,ticker,change,change_percent,day_open,day_high,day_low,day_close,day_volume,day_vwap,ask,bid,timestamp,exchange,min_open,min_high,min_low,min_close,min_volume,prev_open,prev_high,prev_low,prev_close,prev_volume,prev_vwap
0,C:USDDJF,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,173.79592,173.79592,173.79592,173.79592,1,173.7959
1,C:USDJMD,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,153.12805,153.12805,153.12805,153.12805,1,153.1281
2,C:EUROMR,-0.012039999999999995,-2.919920453994276,0.4003,0.4003,0.4003,0.4003,1,0.4003,0.4283,0.4003,1686469770000,48,0.4003,0.4003,0.4003,0.4003,1,0.41363,0.41371,0.41224,0.41234,50,0.4131
3,C:HKDINR,0.000600000000000378,0.005710362966853132,10.398196,10.507813,10.398196,10.507813,2,10.453,10.52694,10.507813,1686475076000,48,10.507813,10.507813,10.507813,10.507813,1,10.412141,10.507952,10.398196,10.507213,5,10.4666
4,C:MKDUSD,0.00015282999999999963,0.8875511127346112,0.01737212,0.01737212,0.01737212,0.01737212,1,0.01737,0.01762813,0.01737212,1686469767000,48,0.01737212,0.01737212,0.01737212,0.01737212,1,0.01737212,0.01737212,0.01721929,0.01721929,2,0.0173
5,C:XAURUB,-23.60000000000582,-0.014549301479408621,162183.5,162183.5,162183.5,162183.5,1,162183.5,162216.0,162183.5,1686510280000,48,162183.5,162183.5,162183.5,162183.5,1,161210.7,163235.3,160392.8,162207.1,1153,161856.6182
6,C:HUFPLN,2.4499999999993277e-06,0.020325102081782634,0.01204526,0.01205848,0.01204526,0.01205647,61,0.01205,0.01210388,0.01205651,1686512922000,48,0.01205648,0.01205648,0.01205647,0.01205647,2,0.01209544,0.012134,0.01204083,0.01205406,70143,0.0121
7,C:GBPARS,0.44273999999995794,0.14418438562629393,307.00838,307.94016,307.00838,307.50789,3027,307.0519,307.58129,307.50789,1686512915000,48,307.50789,307.50789,307.45425,307.50789,3,307.31482,307.94016,307.00838,307.06515,3673,307.0717
8,C:RUBEUR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.01104972,0.01124536,0.01104972,0.01104972,3,0.0111
9,C:TZSZAR,-6.1000000000002025e-06,-0.07747527141746981,0.0078694,0.0078694,0.00786465,0.00786738,3,0.007867,0.00789337,0.00786738,1686512201000,48,0.00786738,0.00786738,0.00786738,0.00786738,1,0.00788694,0.00788694,0.00787348,0.00787348,2,0.0079
10,C:HKDDKK,0.013622200000000029,1.5659594700416681,0.8827686,0.8835579,0.8827571,0.883517,43,0.883,0.8847823,0.883517,1686512801000,48,0.883517,0.883517,0.883517,0.883517,1,0.8698948,0.8842202,0.8698948,0.8698948,3,0.8747
11,C:EURMXN,-0.005189999999998918,-0.027954325110411064,18.3979,18.567,18.3979,18.56081,57,18.526,18.64358,18.56081,1686512801000,48,18.56081,18.56081,18.56081,18.56081,1,18.3979,18.567,18.3979,18.566,4,18.4822
12,C:AEDNOK,-0.011032000000000153,-0.38386500422593034,2.862895,2.862895,2.862895,2.862895,1,2.8629,2.996298,2.862895,1686469768000,48,2.862895,2.862895,2.862895,2.862895,1,2.862895,2.929783,2.862895,2.873927,3,2.8889
13,C:SCRUSD,-0.006803509999999999,-9.079182606534946,0.06813176,0.06813176,0.06813176,0.06813176,1,0.06813,0.07800522,0.06813176,1686469770000,48,0.06813176,0.06813176,0.06813176,0.06813176,1,0.07493527,0.07493527,0.07493527,0.07493527,1,0.0749
14,C:JPYMXN,-1.2200000000003874e-05,-0.009840999297016987,0.12393936,0.12395895,0.12393936,0.12395895,4,0.124,0.12437968,0.12395895,1686511690000,48,0.12395895,0.12395895,0.12395895,0.12395895,1,0.12397115,0.12397115,0.12397115,0.12397115,1,0.124
15,C:XAUAUD,2.800000000000182,0.09638554216868096,2907.8,2907.8,2907.8,2907.8,1,2907.8,2913.6,2907.8,1686510280000,48,2907.8,2907.8,2907.8,2907.8,1,2925.0,2934.34,2904.0,2905.0,2327,2920.0747
16,C:CHFCZK,-0.0931999999999995,-0.38285845739261687,24.192,24.306,24.169,24.25,9,24.2186,24.634,24.25,1686512261000,48,24.25,24.25,24.25,24.25,1,24.3618,24.437,24.331,24.3432,39284,24.3715
17,C:XAUARS,-1336.7000000000116,-0.27826652466407165,479030.1,479030.1,479030.1,479030.1,1,479030.1,479125.9,479030.1,1686510280000,48,479030.1,479030.1,479030.1,479030.1,1,480287.0,481998.4,479137.0,480366.8,1159,480187.777
18,C:EURCNH,-0.017560000000000464,-0.22878405703446436,7.6357,7.6585,7.6295,7.6578,17,7.646,7.699,7.6578,1686512771000,48,7.6578,7.6578,7.6578,7.6578,1,7.67858,7.69942,7.6708,7.67536,72491,7.6839
19,C:GBPHUF,-9.70999999999998,-2.2547312202484573,420.93,421.19,420.93,420.94,3,421.02,439.68,420.94,1686512211000,48,420.94,420.94,420.94,420.94,1,430.26,430.85,428.98,430.65,37390,430.0077
20,C:ZARCNY,-0.0016144000000000158,-0.42469949564304615,0.3785132,0.3785132,0.3785132,0.3785132,1,0.3785,0.3834805,0.3785132,1686469770000,48,0.3785132,0.3785132,0.3785132,0.3785132,1,0.3785132,0.3801276,0.3785132,0.3801276,2,0.3793
21,C:KWDAED,-0.015562000000000964,-0.13304787004570207,11.68098,11.68098,11.68098,11.68098,1,11.681,12.22528,11.68098,1686469768000,48,11.68098,11.68098,11.68098,11.68098,1,11.696542,11.946951,11.696542,11.696542,3,11.78
22,C:ARSAUD,1.6900000000003718e-06,0.027885948122242293,0.00609347,0.00609347,0.00605698,0.00606209,18,0.006062,0.00606578,0.00606209,1686512843000,48,0.00606209,0.00606209,0.00606209,0.00606209,1,0.0060604,0.0060604,0.0060604,0.0060604,1,0.0061
23,C:SGDCHF,-0.003388900000000028,-0.5041285763652414,0.670706,0.6714309,0.6688404,0.6688404,9,0.6707,0.6745171,0.6688404,1686512261000,48,0.6688404,0.6688404,0.6688404,0.6688404,1,0.670859,0.6722293,0.670859,0.6722293,2,0.6715
24,C:CADJPY,0.4477070000000083,0.4307278337063748,103.979265,104.425661,103.941971,104.389678,98,104.1584,104.503187,104.389678,1686512876000,48,104.329,104.389678,104.329,104.389678,2,103.979265,103.987021,103.941971,103.941971,116,103.9629
25,C:ZARKES,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,7.355673,7.355673,7.355673,7.355673,1,7.3557
26,C:EURDZD,0.0,0.0,144.8811,146.031,144.8811,146.031,2,145.4561,147.031,146.031,1686469770000,48,144.8811,146.031,144.8811,146.031,2,144.8811,146.031,144.8811,146.031,4,145.4561
27,C:GBPDJF,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,218.11611,218.11611,218.11611,218.11611,1,218.1161
28,C:GBPCNY,-0.009999999999999787,-0.11174394188599623,8.921077,8.939031,8.88319,8.939031,3,8.9144,8.97085,8.939031,1686475076000,48,8.939031,8.939031,8.939031,8.939031,1,8.921077,8.951831,8.88319,8.949031,5,8.9252
29,C:GBPETB,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,67.95267,67.95267,67.95267,67.95267,1,67.9527
30,C:INRHKD,0.0011692999999999981,1.2473772062057555,0.09362163,0.09491044,0.09362163,0.09490999,44,0.09486,0.09504591,0.09490999,1686512801000,48,0.09490999,0.09490999,0.09490999,0.09490999,1,0.09374069,0.09374069,0.09374069,0.09374069,1,0.0937
31,C:RONCHF,3.610000000001112e-05,0.018442822906502614,0.1955875,0.1957762,0.1954783,0.1957762,10,0.1956,0.1969551,0.1957762,1686512802000,48,0.1957605,0.1957762,0.1957605,0.1957762,2,0.1957401,0.1957401,0.1957401,0.1957401,1,0.1957
32,C:EURUSD,-0.0005999999999999339,-0.05580357142856529,1.07449,1.0746,1.07449,1.0746,3,1.0746,1.07549,1.0746,1686512211000,48,1.0746,1.0746,1.0746,1.0746,1,1.0758,1.0758,1.0752,1.0752,2,1.0755
