Symbol,Change Percent,Change,Day Open,Day Close,Day High,Day Low,Day Volume,Day VWAP,Last Trade Conditions,Last Trade Exchange,Last Trade Price,Last Trade Size,Last Trade Timestamp,Last Trade ID,Last Quote Bid Price,Last Quote Ask Price,Last Quote Ask Size,Last Quote Bid Size,Last Quote Timestamp,Minute Data Accumulated Volume,Minute Data Volume,Minute Data Close,Minute Data Open,Minute Data High,Minute Data Low,Minute Data VWAP,Prev Day Open,Prev Day Close,Prev Day High,Prev Day Low,Prev Day Volume,Prev Day VWAP
NOAH,-1.084990958408678,-0.17999999999999972,16.53,16.41,16.74,16.26,1899,16.5245,"[38, 41]",10,16.41,0,1686351600003351040,52983560618826,15.64,17.55,1,1,1686355200130150656,1894,305,16.46,16.44,16.46,16.44,16.447,16.46,16.59,16.87,16.26,22277,16.6223
AEG,0.4158004158004254,0.020000000000000462,4.85,4.83,4.855,4.775,584818,4.8377,"[38, 41]",10,4.83,0,1686351600004477696,52983575950915,4.71,4.87,1,1,1686355200091828480,584713,1276,4.825,4.825,4.825,4.825,4.825,4.82,4.81,4.82,4.775,857942,4.7984
SIFY,-2.1126760563380302,-0.030000000000000027,1.42,1.3309,1.44,1.3957,73078,1.3861,[12],11,1.39,274,1686343945546547152,45,1.32,1.39,1,1,1686354161550536701,73077,274,1.39,1.39,1.39,1.39,1.39,1.42,1.42,1.4299,1.3957,43679,1.4094
BMTX.WS,-13.043478260869565,-0.03,0.1506,0.2,0.2,0.23,8358,0.197,"[38, 41, 60]",1,0.2,0,1686355200003363584,52983525620045,0.2,0.4,390,390,1686355200343214080,8298,100,0.2,0.2,0.2,0.2,0.2,0.23,0.23,0.23,0.23,1121,0.23
KMPB,1.658374792703155,0.3000000000000007,18.18,18.39,18.4,17.8971,13031,18.1638,"[38, 41]",10,18.39,0,1686351600001961728,52983577397057,13.14,19.39,5,5,1686348001582906624,13031,130,18.4,18.4,18.4,18.4,18.4,18.12,18.09,18.12,17.8971,8227,18.0687
BEAM,-4.334828101644253,-1.4500000000000028,34,32.21,34,32.81,415605,33.0028,[12],11,32,100,1686352919699596463,1540,31.6,32.9,1,1,1686352919699595527,415408,100,32,32,32,32,32,34.17,33.45,34.66,32.81,491730,33.5201
VYNE,-5.136530855455199,-0.29740000000000055,5.6,5.27,5.8379,5.61,13789,5.5555,[12],4,5.4925,100,1686345772850814635,25,5.3,5.5,2,2,1686351816040504504,13740,127,5.4925,5.4925,5.4925,5.4925,5.4941,5.8029,5.7899,5.99,5.61,8639,5.7637
SDOW,-0.4370282081843583,-0.11000000000000298,25.25,25.06,25.3,25.065,4379700.0,25.0999,"[38, 41]",11,25.06,0,1686355200002538240,52983576876357,25.07,25.08,2,2,1686352902497318144,4379640.0,484,25.08,25.08,25.08,25.08,25.08,25.54,25.17,25.64,25.065,6453941.0,25.3709
EGBN,-1.1334473909324234,-0.26500000000000057,23.42,23.115,23.63,22.92,178612,22.9548,,4,23.115,167,1686340773030574346,1343,21.92,24.29,1,1,1686355154665222265,178611,555,23.115,23.115,23.13,23.115,23.1228,23.79,23.38,23.79,22.92,399600,23.3485
FQAL,-0.06812947864629014,-0.03339999999999321,49.1,48.9909,49.2946,48.65,12049,49.1099,"[38, 41]",11,48.9909,0,1686355200004626432,52983560554823,44.32,0,0,0,1686355200336520192,11971,100,49.0361,49.0361,49.0361,49.0361,49.0361,48.76,49.0243,49.0243,48.65,12805,48.8768
WPM,-0.9931582432134248,-0.45000000000000284,45.06,44.86,45.28,44.995,1084571.0,44.8285,"[38, 41]",10,44.86,0,1686351600001537280,52983559705941,44.66,44.95,5,5,1686342790449365248,1084370.0,100,44.7917,44.7917,44.7917,44.7917,44.7917,45.62,45.31,45.92,44.995,1695237.0,45.373
TAP,0,0,66.5,66.46,67.105,65.84,1629440.0,66.5631,"[14, 12, 41]",11,66.4,100,1686355171550810368,52983560948308,64.75,66.4,5,5,1686355200346301440,1629440.0,100,66.4,66.4,66.4,66.4,66.4,66.59,66.4,66.655,65.84,2374477.0,66.3752
PYN,0.1451612903225718,0.008999999999999453,6.21,6.209,6.21,6.2,1446,6.1984,"[38, 41]",10,6.209,0,1686351600001970432,52983575893298,6.01,7.7,1,1,1686348000012417792,1442,100,6.19,6.19,6.19,6.19,6.19,6.2,6.2,6.2,6.2,279,6.226
SUZ,-0.4296455424275072,-0.040000000000000924,9.24,9.27,9.4,9.245,1030062.0,9.2913,"[38, 41]",10,9.27,0,1686351600004430080,52983577595720,9.12,11.53,1,1,1686355200028710912,1030036.0,1203,9.27,9.27,9.27,9.27,9.27,9.28,9.31,9.34,9.245,438681,9.2988
FLAG.U,0,0,0,0,0,0,0,0,,0,0,0,0,,0,13.47,1,1,1686348000743692800,0,0,0,0,0,0,0,0,0,0,0,0,0
PPA,-0.35215543412263756,-0.28999999999999204,82.35,82.06,82.5513,81.79,98425,82.2377,"[38, 41]",11,82.06,0,1686355200001458176,52983576736853,80.41,82.95,4,4,1686340812308179968,96761,200,82.07,82.07,82.07,82.07,82.07,81.91,82.35,82.5957,81.79,140919,82.2272
OIL,0,0,0,0,0,28.04,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,28.31,28.42,28.4498,28.04,10303,28.3343
DFGR,-0.40775676635415514,-0.09990000000000165,24.54,24.4,24.54,24.31,207922,24.4946,"[38, 41]",11,24.4,0,1686355200002359296,52983610033999,19.57,30.45,1,1,1686348000126890240,207922,381,24.4,24.4,24.4,24.4,24.4011,24.55,24.4999,24.55,24.31,156709,24.4666
FIXT,0.05885815185402368,0.016199999999997772,27.56,27.54,27.56,27.5238,1024,27.5469,"[14, 41]",12,27.54,700,1686330863341432373,3,11.01,44.03,2,2,1686348004160956054,831,700,27.54,27.54,27.54,27.54,27.54,27.5238,27.5238,27.5238,27.5238,45,27.4539
HYMCW,-1.435104873048414,-0.00036399999999999974,0.025,0.025,0.03,0.0251,349667,0.02554,,17,0.025,131,1686335342518947692,1,0.02,0.0403,2,2,1686348001070819639,349667,131,0.025,0.025,0.025,0.025,0.025,0.0297,0.025364,0.0391,0.0251,21421,0.0309
WNDY,1.1696405703065011,0.19180000000000064,16.531,16.59,16.5988,16.29,815,16.5803,"[14, 41]",12,16.59,500,1686321365326619841,4,6.64,26.46,2,2,1686348004068443361,796,500,16.59,16.59,16.59,16.59,16.59,16.39,16.3982,16.4385,16.29,7948,16.3796
STTK,-1.4055676855895163,-0.0411999999999999,2.85,2.89,3.12,2.86,15380,3.0478,,15,2.89,100,1686340320314976618,3,2.62,3.34,1,1,1686348000029075907,15379,198,2.89,2.89,2.89,2.89,2.8702,2.99,2.9312,2.99,2.86,11493,2.9423
BWB,-2.9411764705882253,-0.29999999999999893,10.28,10.12,10.28,10.19,47512,10.0405,[12],4,9.9,110,1686351879013954040,229,8,14,3,3,1686355102613710630,47512,110,9.9,9.9,9.9,9.9,9.9,10.94,10.2,10.94,10.19,195336,10.2848
CFO,-0.18000327278677702,-0.10999999999999943,61.01,61,61.05,61.0364,30304,60.9951,,4,61,300,1686336425117427626,60,57.55,64.51,2,2,1686344813776159604,30303,400,61,61,61,61,61,61.09,61.11,61.16,61.0364,40064,61.0965
GROV.WS,0,0,0,0,0,0.0091,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0091,0.0091,0.0091,0.0091,2151,0.0091
CRAI,-1.592515178660291,-1.5999999999999943,100.84,98.87,100.84,98.76,8736,99.1445,,4,98.87,100,1686336342396346030,147,39.66,158.48,1,1,1686355153489889373,8716,899,98.87,98.58,98.87,98.58,98.7979,99.99,100.47,100.96,98.76,24517,100.2301
GAN,-0.7299270072992706,-0.010000000000000009,1.37,1.3301,1.37,1.31,50508,1.3388,[12],4,1.36,100,1686344310162520548,26,1.31,1.37,14,14,1686355190663692869,50508,100,1.36,1.36,1.36,1.36,1.36,1.33,1.37,1.41,1.31,113110,1.351
OCTZ,0.13369614797804372,0.042500000000000426,31.831,31.831,31.831,31.7885,0,0,[38],19,31.831,0,1686355202622293248,52983525168186,26.4,39.69,1,1,1686348000040389632,0,0,0,0,0,0,0,31.7885,31.7885,31.7885,31.7885,0,0
CRUS,-0.40191883832490893,-0.3100000000000023,77.66,76.82,77.86,76.68,262472,77.1222,,4,76.82,200,1686340774034430528,2579,76.47,79.45,1,1,1686343673161909706,262432,638,76.82,76.82,76.82,76.82,76.8285,77.86,77.13,78.425,76.68,491631,77.2283
CEADW,-11.111111111111107,-0.0049999999999999975,0.04,0.04,0.04,0.045,3000,0.04,"[14, 41]",12,0.04,1000,1686329570098784105,4,0.025,0.08,93,93,1686348000117993757,3000,1000,0.04,0.04,0.04,0.04,0.04,0.045,0.045,0.045,0.045,14637,0.04489
TENX,-1.1627906976744036,-0.003999999999999948,0.342,0.3332,0.345,0.335,414775,0.3332,[12],4,0.34,500,1686347333722726053,54,0.3275,0.34,4,4,1686348232723565804,414630,500,0.34,0.34,0.34,0.34,0.34,0.34,0.344,0.364,0.335,322374,0.345
SBLK,-0.9021323127391971,-0.16499999999999915,18.28,18.125,18.36,18.04,523745,18.1511,,12,18.125,100,1686340774502008824,1822,18.12,18.2,15,15,1686347104152349348,523509,100,18.125,18.125,18.125,18.125,18.125,18.25,18.29,18.6,18.04,884631,18.3164
ROSS,0,0,0,0,0,10.43,0,0,,0,0,0,0,,10.22,11.87,1,1,1686348000008157696,0,0,0,0,0,0,0,10.45,10.43,10.47,10.43,13808,10.4503
DTF,-0.35034526109504144,-0.03790000000000049,10.78,10.78,10.78,10.75,102,10.7805,"[38, 41]",10,10.78,0,1686351600001978880,52983577593670,4.33,13.4,1,1,1686355200028281600,100,100,10.78,10.78,10.78,10.78,10.78,10.79,10.8179,10.87,10.75,33212,10.8249
VERX,-0.8264462809917257,-0.18999999999999773,23.15,22.8,23.65,22.16,208977,22.8608,,4,22.8,100,1686340453998812075,1232,22.25,23.65,1,1,1686342307762909894,208761,192,22.8,22.8,22.8,22.8,22.8047,22.4,22.99,23.24,22.16,362320,22.8524
MLAC,0.09451795841209629,0.009999999999999787,10.58,10.59,10.59,10.54,2100,10.5805,,8,10.59,100,1686319643882667601,1,10.55,10.7,4,4,1686340811454812822,2100,100,10.59,10.59,10.59,10.59,10.59,10.58,10.58,10.59,10.54,5202,10.5806
WRLD,-3.0697932345718133,-3.875,126.25,122.355,126.51,123.3,34318,123.8972,,4,122.355,509,1686335944097976514,257,49.22,150.43,1,1,1686355165121183316,34281,644,122.355,122.355,122.355,122.355,122.332,125.03,126.23,126.62,123.3,35617,125.4981
AFBI,-0.4291431602295183,-0.05339999999999989,12.3,12.39,12.39,12.39,2682,12.3211,,12,12.39,100,1686336100144848850,5,11.54,12.75,6,6,1686340808811816919,2681,100,12.39,12.39,12.39,12.39,12.39,12.39,12.4434,12.4434,12.39,335,12.3587
CBD,0.8670520231213945,0.03000000000000025,3.45,3.49,3.55,3.37,533214,3.5029,"[38, 41, 64]",10,3.49,0,1686351600002787584,52983575626546,3.29,3.58,1,1,1686355200061194752,532940,400,3.5,3.5,3.5,3.5,3.5,3.37,3.46,3.48,3.37,171332,3.4499
HOVNP,2.8694117647058826,0.4878,17.09,17.4878,17.5,17,18586,17.1584,,4,17.4878,125,1686333793553097544,3,0,18.5,5,5,1686348000119619592,18586,625,17.4878,17.37,17.4878,17.37,17.446,17,17,17.1,17,8447,17.0182
UAV,0.6973595125253836,0.15449999999999875,22.42,22.3095,22.4227,22.09,777,22.4204,"[38, 41]",11,22.3095,0,1686355200045091328,52983561075021,19.45,25.86,1,1,1686348000017022208,701,100,22.39,22.39,22.39,22.39,22.39,22.09,22.155,22.155,22.09,203,22.0691
ATHX,0,0,1,1,1.03,0.935,48630,1.0093,"[14, 41]",12,1,100,1686339604412561978,85,0.98,1.05,1,1,1686348007847534306,48625,106,1,1,1,1,1,0.98,1,1.03,0.935,84580,0.9801
PNOV,0.17035826768072349,0.05619999999999692,33.02,33.0455,33.1375,32.8328,28376,33.0635,[38],19,33.0455,0,1686355202853264384,52983525175869,31,35.09,1,1,1686348000018853376,28337,400,33.08,33.08,33.08,33.08,33.08,32.8328,32.9893,33.03,32.8328,230514,33.0163
RCMT,3.8235294117646976,0.6499999999999986,17.24,17.65,17.88,16.7975,69208,17.5487,"[14, 41]",8,17.65,100,1686340454949944562,122,17.35,17.99,2,2,1686340810032952522,69208,624,17.65,17.64,17.65,17.64,17.6468,16.95,17,17.35,16.7975,146325,17.0063
SVIX,-0.7609130957148488,-0.18999999999999773,25.03,24.78,25.13,24.18,649843,24.8038,[38],19,24.78,0,1686355203254353920,52983525175919,24.83,24.95,2,2,1686348491496184320,649843,380,24.83,24.83,24.83,24.83,24.83,24.34,24.97,25.1926,24.18,1321280.0,24.7959
PTIXW,-57.22317281838182,-0.018728,0.0249,0.014,0.0249,0.029949,34200,0.01669,,11,0.014,3000,1686327839818704792,4,0.0145,0.075,22,22,1686348000007666181,34200,5269,0.014,0.014,0.014,0.014,0.014,0.035,0.032728,0.035,0.029949,1100,0.033
IBMR,-0.060655074807927895,-0.015000000000000568,24.73,24.715,24.73,24.73,725,24.73,[38],19,24.715,0,1686355202073071104,52983525359180,21.2,28.71,1,1,1686348000109328384,725,400,24.73,24.73,24.73,24.73,24.73,24.7498,24.73,24.75,24.73,2377,24.7499
VNOpL,-1.1851851851851862,-0.16000000000000014,13.5,13.34,13.61,12.96,17703,13.3947,"[38, 41]",10,13.34,0,1686351600003479808,52983560619348,8.38,19.4,2,2,1686353357112652544,17659,838,13.3902,13.395,13.395,13.3902,13.3926,13.1,13.5,13.54,12.96,56189,13.2078
EMN,0.07460830639144773,0.060000000000002274,79.87,80.48,80.6,80.01,927907,80.0484,"[38, 41]",10,80.48,0,1686351600002507008,52983577593924,79.97,81.29,1,1,1686352779326460672,920505,20786,80.48,80.48,80.48,80.48,80.4799,83.88,80.42,83.88,80.01,1555884.0,80.7434
BFEB,0.09534293379531265,0.03170000000000073,33.3301,33.2801,33.34,33.1218,3020,33.3197,[38],19,33.2801,0,1686355200415166464,52983525167413,30.1,36.5,1,1,1686340803706115584,3020,162,33.29,33.29,33.29,33.29,33.29,33.1218,33.2484,33.26,33.1218,8612,33.1617
COLM,-0.7737941707505913,-0.6000000000000085,77.46,76.94,77.724,76.26,156429,77.0087,,4,76.94,100,1686340772796315197,1858,76.57,77.44,1,1,1686352864991476879,156415,184,76.94,76.94,76.94,76.94,76.9381,78.79,77.54,78.79,76.26,307221,77.4923
CREX,-5.190311418685118,-0.1499999999999999,2.82,2.74,2.87,2.75,24134,2.7275,,12,2.74,100,1686336066562511821,20,2.72,2.87,3,3,1686346934837318793,24134,100,2.74,2.74,2.74,2.74,2.74,2.84,2.89,2.89,2.75,17283,2.82
EBR,2.2135416666666656,0.16999999999999993,7.72,7.85,7.99,7.63,497419,7.8852,"[38, 41]",10,7.85,0,1686351600002940928,52983558984013,7.85,7.94,20,20,1686344400357997824,495364,306,7.845,7.84,7.845,7.84,7.8416,7.64,7.68,7.7,7.63,368135,7.6686
VTV,-0.014302059496574822,-0.020000000000010232,139.84,139.82,140.35,138.9525,1063303.0,139.8458,"[38, 41]",11,139.82,0,1686355200003101952,52983560098097,139.7,139.86,21,21,1686340800264559360,1050268.0,5211,139.81,139.83,139.84,139.8,139.8226,139.5,139.84,140,138.9525,1817020.0,139.532
PST,0.7556675062972253,0.16499999999999915,22.01,22,22.08,21.825,43646,22.0125,"[38, 41]",11,22,0,1686355200005283328,52983577000264,20,22.66,1,1,1686355200055951104,43646,200,22.4,22.4,22.4,22.4,22.4,22.06,21.835,22.07,21.825,56967,21.9276
NUBIW,-33.198924731182785,-0.024699999999999993,0.0497,0.0497,0.0497,0.0634,201,0.04968,,4,0.0497,200,1686324289393784133,1,0.035,0.0756,1,1,1686348000022742385,201,200,0.0497,0.0497,0.0497,0.0497,0.0497,0.0738,0.0744,0.0744,0.0634,1184,0.0698
CFFSW,-0.19940179461615726,-0.00020000000000000573,0.1001,0.1001,0.1001,0.1003,899,0.1001,,12,0.1001,100,1686324315079516445,7,0.1,0,0,0,1686348000121475791,899,300,0.1001,0.1001,0.1001,0.1001,0.1001,0.1003,0.1003,0.1003,0.1003,200,0.1003
WFC,-0.5664385178191997,-0.23999999999999488,42.33,42.13,42.465,41.555,9063750.0,42.1963,"[38, 41]",10,42.13,0,1686351600001038080,52983558916146,42.03,42.12,49,49,1686355200351740416,9063566.0,480,42.12,42.12,42.12,42.12,42.12,41.7,42.37,42.4,41.555,17159322.0,42.0084
USL,-0.6451573072554057,-0.20900000000000318,32.43,32.1862,32.75,31.9,4802,32.5268,"[38, 41]",11,32.1862,0,1686355200003324928,52983575885652,30.49,35.23,1,1,1686355200018406400,4664,300,32.145,32.145,32.145,32.145,32.145,33.01,32.3952,33.01,31.9,11690,32.6475
CMCAW,0,0,0,0,0,0,0,0,,0,0,0,0,,0.05,0,0,0,1686348000080297422,0,0,0,0,0,0,0,0,0,0,0,0,0
