,ticker,change,change_percent,day_open,day_high,day_low,day_close,day_volume,day_vwap,last_trade_conditions,last_trade_id,last_trade_price,last_trade_size,last_trade_exchange,last_trade_timestamp,min_open,min_high,min_low,min_close,min_volume,prev_open,prev_high,prev_low,prev_close,prev_volume,prev_vwap
0,X:MANAUSD,0.009000000000000008,1.9247219846022259,0.4676,0.479,0.461,0.4766,2207782.867642304,0.4703,[1],37339929,0.4766,203.22,1.0,1684277004846,0.4766,0.4766,0.4766,0.4766,1383.0,0.45663,0.47504,0.4497,0.4676,2396358.687571694,0.4648
1,X:UMAUSD,-0.12300000000000022,-5.2789699570815545,2.331,2.348,1.94,2.207,223647.32083458,2.2333,[1],14756936,2.207,4.751,1.0,1684276804551,2.207,2.207,2.207,2.207,4.751,2.355,2.394,2.29,2.33,120186.18040788018,2.3372
2,X:CHZUSD,0.00010000000000000286,0.09293680297398035,0.1076,0.1093,0.1066,0.1077,2782724.551885758,0.1078,[1],9338779,0.1077,338.1,1.0,1684276997518,0.1077,0.1077,0.1077,0.1077,679.5,0.1071,0.1087,0.1056,0.1076,1549692.920359551,0.1078
3,X:FETUSD,-0.0025000000000000022,-1.0133765707336855,0.2466,0.2489,0.2377,0.2442,6230575.27803163,0.2427,[2],16990675,0.2442,5.6,1.0,1684276954474,0.2445,0.2445,0.2442,0.2442,17.7,0.2413,0.2534,0.2353,0.2467,8114014.953113318,0.2472
4,X:XTZUSD,0.010000000000000009,1.1235955056179785,0.89,0.903,0.87677,0.9,642572.6181500732,0.8906,[1],30149256,0.9,5.47,1.0,1684277016321,0.899,0.9,0.899,0.9,7.69,0.889,0.905,0.876,0.89,591095.3226819389,0.8932
5,X:FUNUSD,3.8200000000000386e-05,0.7585385226370213,0.0050746,0.0050853,0.0048581,0.0050742,2489427.9949013707,0.005053,[2],1363875895,0.0050742,728.391058,2.0,1683833625100,0.0050737,0.0050737,0.0050737,0.0050737,10416.0,0.0049858,0.0050853,0.0049858,0.005036,7607.368282,0.0051
6,X:PAXUSD,0.00019000000000002348,0.0190209230153192,0.9992,1.0,0.99812,0.99909,68815.5510596,0.9988,[1],1352095522,0.99909,175.0,2.0,1681784611201,0.99812,0.99909,0.99812,0.99909,50334.68524785,0.9992,0.9992,0.9974,0.9989,569.6100000000005,0.9988
7,X:ETPUSD,-0.0012580000000000022,-5.470992432808568,0.023064,0.023319,0.021502,0.021736,369356.4253816215,0.0222,[2],1365749962,0.021736,3802.1393177,2.0,1684241092102,0.02174,0.02174,0.02174,0.02174,412.52162925,0.022602,0.024347,0.02248,0.022994,101357.66269315007,0.0232
8,X:NEXOUSD,-0.0047000000000000375,-0.7032348804500759,0.66884,0.67137,0.65573,0.66364,5581.58139662,0.6652,[2],1365915915,0.66364,3.08292523,2.0,1684276793926,0.66364,0.66364,0.66364,0.66364,6.16585046,0.66049,0.68086,0.65533,0.66834,1787.8139287899992,0.6695
9,X:HBARUSD,-7.000000000000062e-05,-0.1337664819415261,0.05235,0.0528,0.0516,0.05226,13383884.874450574,0.05226,[2],2543097,0.05226,3847.5,1.0,1684277040777,0.05229,0.05229,0.05224,0.05227,48809.8,0.05183,0.05324,0.05113,0.05233,18607910.100000005,0.0526
10,X:FXUSD,-0.0030999999999999917,-1.9833653230966037,0.1549,0.1566,0.1521,0.1532,62543.7,0.153,[1],2473440,0.1532,82.1,1.0,1684274260733,0.1532,0.1532,0.1532,0.1532,246.2,0.1523,0.1563,0.1515,0.1563,137994.00000000003,0.1554
11,X:GTCUSD,0.019999999999999796,1.4598540145985253,1.37,1.4,1.33,1.39,27195.32136161,1.3682,[2],3273130,1.39,72.93,1.0,1684276266225,1.39,1.39,1.39,1.39,72.93,1.36,1.39,1.33,1.37,19717.99959139999,1.3709
12,X:ORNUSD,-0.04499999999999993,-4.3062200956937735,1.045,1.057,0.98,1.0,39328.68,1.0165,[2],1617830,1.0,143.82,1.0,1684277004275,1.0,1.0,1.0,1.0,143.82,1.077,1.081,1.017,1.045,46223.830000000125,1.045
13,X:BOSONUSD,-0.00544,-2.841918294849023,0.19017,0.19137,0.18198,0.18598,11536.78239451,0.1867,[2],1365898947,0.18598,8.16496705,2.0,1684276741352,0.18598,0.18598,0.18598,0.18598,16.3299341,0.18365,0.19203,0.18274,0.19142,3444.0017612799993,0.1867
14,X:SRMUSD,-0.0020000000000000018,-2.500000000000002,0.08,0.083,0.076,0.078,177229.9571,0.07905,[2],2ae941a1-db4c-40d2-bf68-a526f4534c5a,0.078,92.0,23.0,1684274435990,0.078,0.078,0.078,0.078,324.0,0.079,0.085,0.079,0.08,83646.53978618002,0.0811
15,X:MASKUSD,0.11399999999999988,2.9765013054830254,3.84,4.18,3.75,3.944,168632.90942494,3.981,[2],bd19b321-b704-42f0-8dcf-7c75b32517ff,3.944,0.8698831,23.0,1684276760180,3.94,3.944,3.94,3.944,259.35,3.76,3.927,3.642,3.83,58727.2047734,3.8315
16,X:OXYUSD,0.00020000000000000052,1.3986013986014023,0.0142,0.015,0.0141,0.0145,29427.55516209,0.01462,[1],77621a27-b4ef-46b2-821c-397ef78a01d9,0.0145,1000.0,23.0,1684267525254,0.0145,0.0145,0.0145,0.0145,1000.0,0.0147,0.0149,0.014,0.0143,7201.039230000001,0.0145
17,X:GRTUSD,-0.0021000000000000046,-1.6773162939297162,0.1255,0.12585,0.1204,0.1231,24313525.741923988,0.1224,[2],35830698,0.1231,4109.17,1.0,1684277006338,0.1232,0.1232,0.1231,0.1231,4900.02,0.1169,0.1319,0.1149,0.1252,42623401.609519996,0.1254
18,X:BCHGBP,1.0400000000000063,1.1214147077852128,92.71,93.78,91.09,93.78,412.03052255,92.3901,[1],1698036,93.78,0.729,1.0,1684274772144,93.78,93.78,93.78,93.78,0.729,92.32,96.83,92.09,92.74,1038.3022492799998,94.6062
19,X:DDXUSD,0.006099999999999994,1.8484848484848464,0.33,0.3361,0.3279,0.3361,31616.19,0.332,[1],2580337,0.3361,172.53,1.0,1684276617175,0.3343,0.3361,0.3343,0.3361,1595.4,0.3349,0.3349,0.3252,0.33,60228.85999999999,0.3315
20,X:XRPBTC,4.399999999999992e-07,2.797202797202792,1.575e-05,1.623e-05,1.55e-05,1.617e-05,2173004.1207934525,1.573e-05,[1],285244787,1.617e-05,1573.27964893,6.0,1684276928812,1.617e-05,1.617e-05,1.617e-05,1.617e-05,1573.27964893,1.579e-05,1.582e-05,1.545e-05,1.573e-05,555723.23448549,0.0
21,X:ICXUSD,0.010300000000000031,4.012465913517738,0.2571,0.2706,0.2527,0.267,129428.70690391,0.2654,[2],7bfe3418-f9e8-4004-8d25-58f607b79b5b,0.267,302.27536,23.0,1684276195036,0.267,0.267,0.267,0.267,302.27536,0.26,0.2611,0.254,0.2567,45746.42099762,0.257
22,X:BCHEUR,0.7600000000000051,0.7112109301890371,106.97,108.18,104.86,107.62,1161.54608651,106.6409,[1],5898542,107.62,0.14774633,1.0,1684276834540,107.63,107.64,107.62,107.62,1.90035458,106.21,111.11,105.44,106.86,2402.440113179992,108.6646
