,release_id,eps,earnings_release_id,is_live,last_release_date,publish_status,quarter,qualifier,region_id,release_date,ticker_id,values,year,ticker,change,change_ratio,close_price,currency_code,currency_id,derivative_support,dis_exchange_code,dis_symbol,exchange_code,exchange_id,fifty_two_week_high,fifty_two_week_low,high_price,low_price,volume,vibrate_ratio,symbol,pe_ttm
0,,,,False,2023-03-17,1,Q1,AMC,6,2023-06-20,913254564,"{'earningReleaseId': 619593, 'tickerId': 913254564, 'regionId': 6, 'qualifier': 'AMC', 'year': 2023, 'quarter': 'Q1', 'releaseDate': '2023-06-20', 'isLive': False, 'lastReleaseDate': '2023-03-17', 'publishStatus': 1}",2023,<sdks.webull_sdk.top_gainers.Ticker object at 0x00000203DB596510>,0.035,0.0129,2.745,USD,247,1,NYSE,DLNG,NYSE,11,4.258,2.080,2.760,2.670,40208,0.0330,DLNG,2.382
1,,,,True,2023-03-16,1,Q4,AMC,6,2023-06-20,913255289,"{'earningReleaseId': 619610, 'tickerId': 913255289, 'regionId': 6, 'qualifier': 'AMC', 'epsEstimate': '4.8179', 'year': 2023, 'quarter': 'Q4', 'releaseDate': '2023-06-20', 'isLive': True, 'lastReleaseDate': '2023-03-16', 'lastEps': '3.05', 'lastYear': 2023, 'lastQuarter': 'Q3', 'publishStatus': 1}",2023,<sdks.webull_sdk.top_gainers.Ticker object at 0x00000203DB596510>,-1.86,-0.0080,231.60,USD,247,1,NYSE,FDX,NYSE,11,248.76,139.40,234.59,229.96,1998235,0.0198,FDX,19.97
2,,,,True,2023-02-22,1,Q4,AMC,6,2023-06-20,913255507,"{'earningReleaseId': 619442, 'tickerId': 913255507, 'regionId': 6, 'qualifier': 'AMC', 'epsEstimate': '0.72', 'year': 2023, 'quarter': 'Q4', 'releaseDate': '2023-06-20', 'isLive': True, 'lastReleaseDate': '2023-02-22', 'publishStatus': 1}",2023,<sdks.webull_sdk.top_gainers.Ticker object at 0x00000203DB596510>,0.24,0.0086,27.43,USD,247,1,NYSE,LZB,NYSE,11,33.06,21.49,27.68,27.18,305710,0.0185,LZB,6.82
3,,,,False,2023-03-17,1,Q1,AMC,6,2023-06-20,913323116,"{'earningReleaseId': 619593, 'tickerId': 913323116, 'regionId': 6, 'qualifier': 'AMC', 'year': 2023, 'quarter': 'Q1', 'releaseDate': '2023-06-20', 'isLive': False, 'lastReleaseDate': '2023-03-17', 'publishStatus': 1}",2023,<sdks.webull_sdk.top_gainers.Ticker object at 0x00000203DB596510>,0.26,0.0118,22.30,USD,247,0,NYSE,DLNG-PRA,NYSE,11,25.14,20.16,22.30,22.10,12232,0.0092,DLNG PRA,19.35
4,,,,False,2023-03-17,1,Q1,AMC,6,2023-06-20,950102434,"{'earningReleaseId': 619593, 'tickerId': 950102434, 'regionId': 6, 'qualifier': 'AMC', 'year': 2023, 'quarter': 'Q1', 'releaseDate': '2023-06-20', 'isLive': False, 'lastReleaseDate': '2023-03-17', 'lastYear': 2022, 'lastQuarter': 'Q4', 'publishStatus': 1}",2023,<sdks.webull_sdk.top_gainers.Ticker object at 0x00000203DB596510>,-0.09,-0.0040,22.61,USD,247,0,NYSE,DLNG-PRB,NYSE,11,25.95,20.69,22.68,22.61,1135,0.0032,DLNG PRB,19.62
5,,,,False,2023-03-15,1,Q4,AMC,6,2023-06-20,950175452,"{'earningReleaseId': 649516, 'tickerId': 950175452, 'regionId': 6, 'qualifier': 'AMC', 'year': 2023, 'quarter': 'Q4', 'releaseDate': '2023-06-20', 'isLive': False, 'lastReleaseDate': '2023-03-15', 'publishStatus': 1}",2023,<sdks.webull_sdk.top_gainers.Ticker object at 0x00000203DB596510>,0.00,0.0000,0.0380,USD,247,0,OTCMQB,CWSFF,OTCB,201,1.360,0.0286,,,0,,CWSFF,-0.7819
6,,,,True,2023-03-13,1,Q4,AMC,6,2023-06-21,913253762,"{'earningReleaseId': 619688, 'tickerId': 913253762, 'regionId': 6, 'qualifier': 'AMC', 'epsEstimate': '-0.01', 'year': 2023, 'quarter': 'Q4', 'releaseDate': '2023-06-21', 'isLive': True, 'lastReleaseDate': '2023-03-13', 'publishStatus': 1}",2023,<sdks.webull_sdk.top_gainers.Ticker object at 0x00000203DB596510>,-0.31,-0.0187,16.30,USD,247,1,NASDAQ,CDMO,NAS,10,21.05,11.34,16.55,15.87,297892,0.0409,CDMO,12.67
7,,,,True,2023-03-22,1,Q3,AMC,6,2023-06-21,913254974,"{'earningReleaseId': 619607, 'tickerId': 913254974, 'regionId': 6, 'qualifier': 'AMC', 'epsEstimate': '0.4', 'year': 2023, 'quarter': 'Q3', 'releaseDate': '2023-06-21', 'isLive': True, 'lastReleaseDate': '2023-03-22', 'publishStatus': 1}",2023,<sdks.webull_sdk.top_gainers.Ticker object at 0x00000203DB596510>,0.26,0.0095,27.68,USD,247,1,NYSE,EPAC,NYSE,11,28.57,16.06,27.77,27.18,82844,0.0215,EPAC,68.72
8,,,,True,2023-03-22,1,Q2,AMC,6,2023-06-21,913255452,"{'earningReleaseId': 619481, 'tickerId': 913255452, 'regionId': 6, 'qualifier': 'AMC', 'epsEstimate': '1.2875', 'year': 2023, 'quarter': 'Q2', 'releaseDate': '2023-06-21', 'isLive': True, 'lastReleaseDate': '2023-03-22', 'publishStatus': 1}",2023,<sdks.webull_sdk.top_gainers.Ticker object at 0x00000203DB596510>,0.08,0.0016,50.85,USD,247,1,NYSE,KBH,NYSE,11,51.71,24.62,51.71,50.67,1160800,0.0205,KBH,5.59
9,,,,True,2023-03-02,2,Q4,BMO,6,2023-06-21,913323448,"{'earningReleaseId': 619679, 'tickerId': 913323448, 'regionId': 6, 'qualifier': 'BMO', 'epsEstimate': '0.6286', 'year': 2023, 'quarter': 'Q4', 'releaseDate': '2023-06-21', 'isLive': True, 'lastReleaseDate': '2023-03-02', 'lastEps': '0.55', 'lastYear': 2023, 'lastQuarter': 'Q3', 'publishStatus': 2}",2023,<sdks.webull_sdk.top_gainers.Ticker object at 0x00000203DB596510>,-0.17,-0.0058,28.34,USD,247,1,NASDAQ,PDCO,NSQ,96,31.71,23.19,28.65,28.14,348373,0.0179,PDCO,14.14
