,operationId,auctionStatus,operationDate,settlementDate,maturityDate,operationType,operationMethod,settlementType,termCalenderDays,term,releaseTime,closeTime,note,lastUpdated,participatingCpty,acceptedCpty,totalAmtSubmitted,totalAmtAccepted
0,RP 062123 1,Results,2023-06-21,2023-06-21,2023-06-22,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-06-21 13:16:08,106.0,106.0,2037102000000,2037102000000
1,RP 062123 2,Results,2023-06-21,2023-06-21,2023-06-22,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-06-21 13:45:53,,,2000000,2000000
2,RP 062023 1,Results,2023-06-20,2023-06-20,2023-06-21,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-06-20 13:16:07,102.0,102.0,1989489000000,1989489000000
3,RP 062023 2,Results,2023-06-20,2023-06-20,2023-06-21,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-06-20 13:45:36,,,0,0
4,RP 061623 1,Results,2023-06-16,2023-06-16,2023-06-20,Reverse Repo,Fixed Rate,Same Day,4,Overnight,12:45,13:15,,2023-06-16 13:15:55,104.0,104.0,2011556000000,2011556000000
5,RP 061623 2,Results,2023-06-16,2023-06-16,2023-06-20,Repo,Multiple Price,Same Day,4,Overnight,13:30,13:45,,2023-06-16 13:45:45,,,0,0
6,RP 061523 1,Results,2023-06-15,2023-06-15,2023-06-16,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-06-15 13:15:57,103.0,103.0,1992140000000,1992140000000
7,RP 061523 2,Results,2023-06-15,2023-06-15,2023-06-16,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-06-15 13:45:36,,,0,0
8,RP 061423 1,Results,2023-06-14,2023-06-14,2023-06-15,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-06-14 13:16:09,106.0,106.0,2109105000000,2109105000000
9,RP 061423 2,Results,2023-06-14,2023-06-14,2023-06-15,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-06-14 13:45:39,,,0,0
10,RP 061323 1,Results,2023-06-13,2023-06-13,2023-06-14,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-06-13 13:15:49,105.0,105.0,2074520000000,2074520000000
11,RP 061323 2,Results,2023-06-13,2023-06-13,2023-06-14,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-06-13 13:45:40,,,0,0
12,RP 061223 1,Results,2023-06-12,2023-06-12,2023-06-13,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-06-12 13:15:58,106.0,106.0,2126870000000,2126870000000
13,RP 061223 2,Results,2023-06-12,2023-06-12,2023-06-13,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-06-12 13:45:40,,,0,0
14,RP 060923 1,Results,2023-06-09,2023-06-09,2023-06-12,Reverse Repo,Fixed Rate,Same Day,3,Overnight,12:45,13:15,,2023-06-09 13:15:51,102.0,102.0,2127652000000,2127652000000
15,RP 060923 2,Results,2023-06-09,2023-06-09,2023-06-12,Repo,Multiple Price,Same Day,3,Overnight,13:30,13:45,,2023-06-09 13:45:40,,,0,0
16,RP 060823 1,Results,2023-06-08,2023-06-08,2023-06-09,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-06-08 13:15:50,104.0,104.0,2141798000000,2141798000000
17,RP 060823 2,Results,2023-06-08,2023-06-08,2023-06-09,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-06-08 13:45:51,,,6000000,6000000
18,RP 060723 1,Results,2023-06-07,2023-06-07,2023-06-08,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-06-07 13:15:52,108.0,108.0,2161556000000,2161556000000
19,RP 060723 2,Results,2023-06-07,2023-06-07,2023-06-08,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-06-07 13:45:32,,,0,0
20,RP 060623 1,Results,2023-06-06,2023-06-06,2023-06-07,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-06-06 13:16:53,101.0,101.0,2134638000000,2134638000000
21,RP 060623 2,Results,2023-06-06,2023-06-06,2023-06-07,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-06-06 13:45:35,,,0,0
22,RP 060523 1,Results,2023-06-05,2023-06-05,2023-06-06,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-06-05 13:15:56,105.0,105.0,2131417000000,2131417000000
23,RP 060523 2,Results,2023-06-05,2023-06-05,2023-06-06,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-06-05 13:45:42,,,0,0
24,RP 060223 1,Results,2023-06-02,2023-06-02,2023-06-05,Reverse Repo,Fixed Rate,Same Day,3,Overnight,12:45,13:15,,2023-06-02 13:16:23,104.0,104.0,2142102000000,2142102000000
25,RP 060223 2,Results,2023-06-02,2023-06-02,2023-06-05,Repo,Multiple Price,Same Day,3,Overnight,13:30,13:45,,2023-06-02 13:45:52,,,0,0
26,RP 060123 1,Results,2023-06-01,2023-06-01,2023-06-02,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-06-01 13:16:16,102.0,102.0,2160055000000,2160055000000
27,RP 060123 2,Results,2023-06-01,2023-06-01,2023-06-02,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-06-01 13:45:51,,,0,0
28,RP 053123 1,Results,2023-05-31,2023-05-31,2023-06-01,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-05-31 13:15:58,107.0,107.0,2254859000000,2254859000000
29,RP 053123 2,Results,2023-05-31,2023-05-31,2023-06-01,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-05-31 13:45:43,,,0,0
30,RP 053023 1,Results,2023-05-30,2023-05-30,2023-05-31,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-05-30 13:16:26,103.0,103.0,2200479000000,2200479000000
31,RP 053023 2,Results,2023-05-30,2023-05-30,2023-05-31,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-05-30 13:45:39,,,0,0
32,RP 052623 1,Results,2023-05-26,2023-05-26,2023-05-30,Reverse Repo,Fixed Rate,Same Day,4,Overnight,12:45,13:15,,2023-05-26 13:16:36,107.0,107.0,2189681000000,2189681000000
33,RP 052623 2,Results,2023-05-26,2023-05-26,2023-05-30,Repo,Multiple Price,Same Day,4,Overnight,13:30,13:45,,2023-05-26 13:46:23,,,0,0
34,RP 052523 1,Results,2023-05-25,2023-05-25,2023-05-26,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-05-25 13:15:47,106.0,106.0,2197638000000,2197638000000
35,RP 052523 2,Results,2023-05-25,2023-05-25,2023-05-26,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-05-25 13:45:36,,,0,0
36,RP 052423 1,Results,2023-05-24,2023-05-24,2023-05-25,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-05-24 13:16:41,105.0,105.0,2250709000000,2250709000000
37,RP 052423 2,Results,2023-05-24,2023-05-24,2023-05-25,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-05-24 13:45:58,,,28000000,28000000
38,RP 052323 99,Results,2023-05-23,2023-05-23,2023-05-24,Repo,Multiple Price,Same Day,1,Overnight,10:30,10:45,,2023-05-23 10:56:30,,,76000000,76000000
39,RP 052323 1,Results,2023-05-23,2023-05-23,2023-05-24,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-05-23 13:16:06,102.0,102.0,2256689000000,2256689000000
40,RP 052323 2,Results,2023-05-23,2023-05-23,2023-05-24,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-05-23 13:46:26,,,0,0
41,RP 052223 1,Results,2023-05-22,2023-05-22,2023-05-23,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-05-22 13:16:03,105.0,105.0,2275311000000,2275311000000
42,RP 052223 2,Results,2023-05-22,2023-05-22,2023-05-23,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-05-22 13:45:55,,,0,0
43,RP 051923 1,Results,2023-05-19,2023-05-19,2023-05-22,Reverse Repo,Fixed Rate,Same Day,3,Overnight,12:45,13:15,,2023-05-19 13:15:52,106.0,106.0,2276720000000,2276720000000
44,RP 051923 2,Results,2023-05-19,2023-05-19,2023-05-22,Repo,Multiple Price,Same Day,3,Overnight,13:30,13:45,,2023-05-19 13:45:46,,,0,0
45,RP 051823 1,Results,2023-05-18,2023-05-18,2023-05-19,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-05-18 13:15:56,102.0,102.0,2238266000000,2238266000000
46,RP 051823 2,Results,2023-05-18,2023-05-18,2023-05-19,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-05-18 13:45:44,,,0,0
47,RP 051723 1,Results,2023-05-17,2023-05-17,2023-05-18,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-05-17 13:15:48,103.0,103.0,2213676000000,2213676000000
48,RP 051723 2,Results,2023-05-17,2023-05-17,2023-05-18,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-05-17 13:45:57,,,6000000,6000000
49,RP 051623 1,Results,2023-05-16,2023-05-16,2023-05-17,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-05-16 13:16:00,101.0,101.0,2203214000000,2203214000000
50,RP 051623 2,Results,2023-05-16,2023-05-16,2023-05-17,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-05-16 13:45:55,,,7000000,7000000
51,RP 051523 1,Results,2023-05-15,2023-05-15,2023-05-16,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-05-15 13:15:48,103.0,103.0,2220927000000,2220927000000
52,RP 051523 2,Results,2023-05-15,2023-05-15,2023-05-16,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-05-15 13:46:01,,,3000000,3000000
53,RP 051223 1,Results,2023-05-12,2023-05-12,2023-05-15,Reverse Repo,Fixed Rate,Same Day,3,Overnight,12:45,13:15,,2023-05-12 13:15:54,100.0,100.0,2229199000000,2229199000000
