quoteId,type,fiscalYear,fiscalPeriod,endDate,currencyId,publishDate,totalAssets,totalCurrentAssets,cashAndShortTermInvest,cashEquivalents,shortTermInvestments,totalReceivablesNet,accountsReceTradeNet,totalInventory,prepaidExpenses,otherCurrentAssetsTotal,totalNonCurrentAssets,ppeTotalNet,ppeTotalGross,accumulatedDepreciationTotal,otherLongTermAssetsTotal,totalLiabilities,totalCurrentLiabilities,accountsPayable,accruedExpenses,notesPayableShortTermDebt,currentPortofLTDebtCapitalLeases,totalNonCurrentLiabilities,totalLongTermDebt,longTermDebt,totalDebt,otherLiabilitiesTotal,totalEquity,totalStockhodersEquity,commonStock,additionalPaidInCapital,retainedEarnings,otherEquityTotal,totalLiabilitiesShareholdersEquity,totalCommonSharesOutstanding
913256135,2,2023,2,2023-04-01,247,2023-05-04,332160000000,112913000000,55872000000,4637000000,31185000000,35899000000,17936000000,7482000000,,13660000000,219247000000,43398000000,113066000000,69668000000,65388000000,270002000000,120075000000,42945000000,,1996000000,10578000000,149927000000,97041000000,97041000000,109615000000,52886000000,62158000000,62158000000,157230,69567842770,4336000000,-11746000000,332160000000,15723406000
913256135,2,2023,1,2022-12-31,247,2023-02-02,346747000000,128777000000,51355000000,2627000000,30820000000,54180000000,23752000000,6820000000,,16422000000,217970000000,42951000000,110995000000,68044000000,60924000000,290020000000,137286000000,57918000000,,1743000000,9740000000,152734000000,99627000000,99627000000,111110000000,53107000000,56727000000,56727000000,158420,66398841580,3240000000,-12912000000,346747000000,15842407000
913256135,2,2022,4,2022-09-24,247,2022-10-27,352755000000,135405000000,48304000000,5100000000,24658000000,60932000000,28184000000,4946000000,,21223000000,217350000000,42117000000,114457000000,72340000000,54428000000,302083000000,153982000000,64115000000,,9982000000,11128000000,148101000000,98959000000,98959000000,120069000000,49142000000,50672000000,50672000000,159430,64848840570,-3068000000,-11109000000,352755000000,15943425000
913256135,2,2022,3,2022-06-25,247,2022-07-28,336309000000,112292000000,48231000000,14650000000,20729000000,42242000000,21803000000,5433000000,,16386000000,224017000000,40335000000,111851000000,71516000000,52605000000,278202000000,129873000000,48343000000,,10982000000,14009000000,148329000000,94700000000,94700000000,119691000000,53629000000,58107000000,58107000000,160950,62114839050,5289000000,-9297000000,336309000000,16095378000
913256135,2,2022,2,2022-03-26,247,2022-04-28,350662000000,118180000000,51511000000,13800000000,23413000000,45400000000,20815000000,5460000000,,15809000000,232482000000,39304000000,109324000000,70020000000,51959000000,283263000000,127508000000,52682000000,,6999000000,9659000000,155755000000,103323000000,103323000000,119981000000,52432000000,67399000000,67399000000,162080,61180837920,12712000000,-6494000000,350662000000,16207568000
913256135,2,2022,1,2021-12-25,247,2022-01-27,381191000000,153154000000,63913000000,19127000000,26794000000,65253000000,30213000000,5876000000,,18112000000,228037000000,39245000000,107699000000,68454000000,50109000000,309259000000,147574000000,74362000000,,5000000000,11169000000,161685000000,106629000000,106629000000,122798000000,55056000000,71932000000,71932000000,163410,58423836590,14435000000,-927000000,381191000000,16340851000
913256135,2,2021,4,2021-09-25,247,2021-10-28,351002000000,134836000000,62639000000,17635000000,27699000000,51506000000,26278000000,6580000000,,14111000000,216166000000,39440000000,109723000000,70283000000,48849000000,287912000000,125481000000,54763000000,,6000000000,9692000000,162431000000,109875000000,109106000000,125567000000,52556000000,63090000000,63090000000,164270,57364835730,5562000000,163000000,351002000000,16426786000
913256135,2,2021,3,2021-06-26,247,2021-07-27,329840000000,114423000000,61696000000,19197000000,27646000000,33908000000,17475000000,5178000000,,13641000000,215417000000,38615000000,108857000000,70242000000,44854000000,265560000000,107754000000,40409000000,,8000000000,8039000000,157806000000,105752000000,105752000000,121791000000,52054000000,64280000000,64280000000,54989000000,,9233000000,-996000000,329840000000,16556942000
913256135,2,2021,2,2021-03-27,247,2021-04-28,337158000000,121465000000,69834000000,19022000000,31368000000,33036000000,18503000000,5219000000,,13376000000,215693000000,37815000000,107280000000,69465000000,43339000000,267980000000,106385000000,40127000000,,5000000000,8003000000,161595000000,108642000000,108642000000,121645000000,52953000000,69178000000,69178000000,54203000000,,15261000000,-1177000000,337158000000,16686305000
913256135,2,2021,1,2020-12-26,247,2021-01-27,354054000000,154106000000,76826000000,17281000000,40816000000,58620000000,27101000000,4973000000,,13687000000,199948000000,37933000000,105493000000,67560000000,43270000000,287830000000,132507000000,63846000000,,5000000000,7762000000,155323000000,99281000000,99281000000,112043000000,56042000000,66224000000,66224000000,51744000000,,14301000000,-2190000000,354054000000,16823263000
