quoteId,type,fiscalYear,fiscalPeriod,endDate,currencyId,publishDate,cashfromOperatingActivities,netIncome,depreciationAndAmortization,deferredTaxes,nonCashItems,changesinWorkingCapital,cashfromInvestingActivities,capitalExpenditures,otherInvestingCashFlowItemsTotal,cashfromFinancingActivities,financingCashFlowItems,totalCashDividendsPaid,issuanceRetirementofStockNet,issuanceRetirementofDebtNet,foreignExchangeEffects,netChangeinCash
913254235,2,2023,1,2023-04-01,247,2023-05-02,486000000,-139000000,982000000,-308000000,338000000,-387000000,-1237000000,-158000000,-1079000000,-259000000,-21000000,,-238000000,,,-1010000000
913254235,2,2022,4,2022-12-31,247,2023-01-31,567000000,21000000,1220000000,-177000000,343000000,-840000000,1067000000,-124000000,1191000000,-197000000,-35000000,,-162000000,0,,1437000000
913254235,2,2022,3,2022-09-24,247,2022-11-01,965000000,66000000,1165000000,-710000000,298000000,146000000,-1298000000,-123000000,-1175000000,-1233000000,-305000000,,-616000000,-312000000,,-1566000000
913254235,2,2022,2,2022-06-25,247,2022-08-02,1038000000,447000000,1180000000,-276000000,417000000,-730000000,-928000000,-132000000,-796000000,114000000,-32000000,,-845000000,991000000,,224000000
913254235,2,2022,1,2022-03-26,247,2022-05-03,995000000,786000000,609000000,-342000000,364000000,-422000000,3158000000,-71000000,3229000000,-1948000000,-36000000,,-1912000000,,,2205000000
913254235,2,2021,4,2021-12-25,247,2022-02-01,822000000,974000000,118000000,107000000,139000000,-516000000,0,-86000000,86000000,-727000000,-18000000,,-709000000,0,,95000000
913254235,2,2021,3,2021-09-25,247,2021-10-26,849000000,923000000,97000000,56000000,54000000,-281000000,-83000000,-85000000,2000000,-949000000,-205000000,,-744000000,0,,-183000000
913254235,2,2021,2,2021-06-26,247,2021-07-27,952000000,710000000,97000000,72000000,107000000,-34000000,119000000,-64000000,183000000,-211000000,-4000000,,-207000000,0,,860000000
913254235,2,2021,1,2021-03-27,247,2021-04-27,898000000,555000000,95000000,73000000,118000000,57000000,-722000000,-66000000,-656000000,-8000000,-10000000,,2000000,,,168000000
913254235,2,2020,4,2020-12-26,247,2021-01-26,554000000,1781000000,90000000,-1223000000,107000000,-201000000,-294000000,-74000000,-220000000,35000000,-5000000,,40000000,0,,295000000
913254235,2,2020,3,2020-09-26,247,2020-10-27,339000000,390000000,82000000,,135000000,-268000000,-549000000,-74000000,-475000000,-269000000,-72000000,,3000000,-200000000,,-479000000
