,ticker,change,change_percent,day_open,day_high,day_low,day_close,day_volume,day_vwap,ask,bid,timestamp,exchange,min_open,min_high,min_low,min_close,min_volume,prev_open,prev_high,prev_low,prev_close,prev_volume,prev_vwap
0,C:EURSGD,0.002990000000000048,0.2058222219162839,1.4527,1.45645,1.4518,1.4557,172333,1.4548,1.45671,1.4557,1684277029000,48,1.45584,1.45603,1.4554,1.45602,23,1.45277,1.45596,1.4514,1.45271,156707,1.4537
1,C:SGDPLN,-0.01919399999999971,-0.6194790231118449,3.1007,3.10254,3.076823,3.078228,43696,3.088,3.081804,3.079216,1684277025000,48,3.078112,3.07976,3.078112,3.078228,9,3.10714,3.1105,3.092902,3.09841,42082,3.1011
2,C:GBPMGA,13.534700000000157,0.2487787696921475,5448.8822,5453.9909,5448.8822,5453.9909,4,5452.7137,5569.0783,5453.9909,1684270800000,48,5453.9909,5453.9909,5453.9909,5453.9909,2,5441.3106,5441.3106,5440.4562,5440.4562,3,5440.741
3,C:GBPDZD,-0.5294499999999971,-0.31170950334540753,169.86697,170.09702,168.3609,169.32421,64,169.5932,170.47342,169.32421,1684276686000,48,169.32421,169.32421,169.32421,169.32421,1,167.94672,169.91295,167.94672,169.85366,52,169.5725
4,C:EURSVC,0.014999999999998792,0.16167277430479404,9.293,9.293,9.293,9.293,3,9.293,9.773,9.293,1684270800000,48,9.293,9.293,9.293,9.293,2,9.278,9.278,9.278,9.278,2,9.278
5,C:GHSEUR,-0.00012275999999999954,-0.14853959658358873,0.08252187,0.08252187,0.08252187,0.08252187,2,0.08252,0.08286377,0.08252187,1684270800000,48,0.08252187,0.08252187,0.08252187,0.08252187,1,0.08264463,0.08264463,0.08264463,0.08264463,2,0.0826
6,C:CADKWD,-0.00011649999999999161,-0.05119479421450119,0.2275486,0.2286126,0.2270534,0.2274449,1657,0.2276,0.2281877,0.2274457,1684277004000,48,0.2274449,0.2274449,0.2274449,0.2274449,1,0.2260372,0.2276822,0.2258773,0.2275622,1752,0.2269
7,C:BGNUSD,-0.0006340999999999708,-0.1144841290260094,0.5540111,0.5551368,0.5531963,0.5532418,44,0.5539,0.557501,0.5532418,1684276687000,48,0.5532418,0.5532418,0.5532418,0.5532418,1,0.5521366,0.554149,0.5521366,0.5538759,43,0.5537
8,C:MXNARS,-0.011682000000000414,-0.08837621304523091,13.219393,13.258676,13.171794,13.207428,1702,13.2156,13.20728,13.206807,1684277012000,48,13.207636,13.207636,13.207428,13.207428,2,13.069086,13.239759,13.014162,13.218489,1784,13.1113
9,C:IDRCAD,-9.290999999999999e-05,-50.61836011985834,0.00018363,0.0001837,9.031e-05,9.064e-05,1465,9.559e-05,9.07e-05,9.064e-05,1684272643000,48,9.064e-05,9.064e-05,9.064e-05,9.064e-05,1,9.103e-05,0.00018362,9.08e-05,0.00018355,1644,0.0001
10,C:BOBGBP,-0.00027170999999999446,-0.2410750076791537,0.11253661,0.11253661,0.11243595,0.11243595,3,0.1125,0.11857328,0.11243595,1684270800000,48,0.11243595,0.11243595,0.11243595,0.11243595,1,0.11267516,0.11270766,0.11267516,0.11270766,3,0.1127
11,C:AUDCHF,-0.003816700000000006,-0.6359380740575366,0.6001708,0.6006612,0.5940766,0.5964735,265888,0.5974,0.5967104,0.5963518,1684277038000,48,0.5964,0.5965401,0.5959,0.59642,45,0.5971415,0.6004365,0.5962,0.6001685,242713,0.599
12,C:EURMMK,3.599999999999909,0.1591230551626551,2266.0,2266.0,2266.0,2266.0,2,2266.0,2310.0,2266.0,1684270800000,48,2266.0,2266.0,2266.0,2266.0,1,2262.4,2262.4,2262.4,2262.4,2,2262.4
13,C:NZDMYR,-0.0046119999999998385,-0.16449245588805375,2.808768,2.813059,2.799164,2.799164,61,2.808,2.805707,2.799164,1684270800000,48,2.799164,2.799164,2.799164,2.799164,1,2.777666,2.803776,2.776015,2.803776,94,2.7903
14,C:EURBTN,0.0033999999999991815,0.003838962305905658,88.569,88.569,88.569,88.569,2,88.569,90.569,88.569,1684270800000,48,88.569,88.569,88.569,88.569,1,88.5656,88.5656,88.5656,88.5656,2,88.5656
15,C:HKDCHF,0.00011821000000000748,0.10348529473174625,0.11423349,0.11446219,0.11377554,0.11434443,249061,0.1142,0.114363,0.114347,1684277033000,48,0.11434342,0.11438027,0.11433269,0.1143696,24,0.11454802,0.11459887,0.11402362,0.11422879,237497,0.1143
16,C:VNDUSD,9.999999999994822e-09,0.02346316283433792,4.264e-05,4.264e-05,4.263e-05,4.263e-05,17,4.263e-05,4.264e-05,4.263e-05,1684270800000,48,4.263e-05,4.263e-05,4.263e-05,4.263e-05,1,4.261e-05,4.264e-05,4.26e-05,4.262e-05,32,0.0
17,C:GYDUSD,2.1400000000003014e-06,0.047241139526933,0.00453284,0.00453284,0.00453209,0.00453209,4,0.004532,0.00494329,0.00453209,1684270800000,48,0.00453209,0.00453209,0.00453209,0.00453209,2,0.00451006,0.00452995,0.00451006,0.00452995,3,0.0045
18,C:PENCLP,0.9898099999999772,0.46985188659907334,211.1192,211.65407,211.1192,211.65407,3,211.4758,218.68518,211.65407,1684270800000,48,211.65407,211.65407,211.65407,211.65407,1,210.66426,210.66426,210.66426,210.66426,2,210.6643
19,C:EURZMW,0.03200000000000003,0.15769761482357592,20.324,20.324,20.324,20.324,2,20.324,20.424,20.324,1684270800000,48,20.324,20.324,20.324,20.324,1,20.292,20.292,20.292,20.292,2,20.292
20,C:XAUARS,-4782.899999999965,-1.0294803888818025,464611.9,465503.4,458881.7,459810.7,1304,462827.278,459902.7,459810.7,1684276981000,48,459825.0,459825.0,459825.0,459825.0,1,462348.8,466380.5,461150.9,464593.6,1374,463643.4164
21,C:GBPCNH,0.009090000000000487,0.10425854283489745,8.71854,8.75661,8.69499,8.7278,78948,8.7325,8.7283,8.7278,1684272672000,48,8.7278,8.7278,8.7278,8.7278,1,8.67915,8.72302,8.67612,8.71871,76671,8.6987
22,C:USDNPR,-0.2463470000000143,-0.189198601337214,130.109799,130.109799,129.959161,129.959161,3,130.0094,133.079429,129.959161,1684270800000,48,129.959161,129.959161,129.959161,129.959161,1,130.567981,130.567981,130.205508,130.205508,3,130.3263
23,C:GBPALL,0.9891799999999904,0.7904170684188527,125.340411,126.135769,125.340411,126.135769,4,125.9369,131.890138,126.135769,1684270800000,48,126.135769,126.135769,126.135769,126.135769,2,124.417064,125.146589,124.417064,125.146589,3,124.9034
24,C:MYRZAR,0.0013019999999999143,0.03087583503482221,4.222854,4.257373,4.212056,4.220635,73415,4.2319,4.233958,4.218192,1684277040000,48,4.220676,4.220676,4.218298,4.218298,13,4.260816,4.267189,4.216628,4.21689,68928,4.2414
25,C:AUDUSD,-0.004989999999999939,-0.74456497411181,0.6702,0.67096,0.66124,0.66541,130602,0.6676,0.6656,0.6652,1684277038000,48,0.66541,0.66541,0.6651,0.6654,21,0.66465,0.67087,0.6639,0.67019,119663,0.6682
26,C:PLNNOK,0.0383,1.4985523123875106,2.5556,2.5975,2.5546,2.5941,31723,2.5793,2.5976,2.5941,1684277002000,48,2.594,2.5941,2.594,2.5941,4,2.5645,2.5809,2.5483,2.5558,31388,2.5664
27,C:ISKCHF,-5.999999999999929e-06,-0.09324009324009215,0.00636361,0.006441,0.00636361,0.006429,4284,0.006432,0.00646,0.006429,1684270800000,48,0.006429,0.006429,0.006429,0.006429,1,0.00641045,0.006466,0.00641045,0.006435,2801,0.0064
28,C:USDPGK,-0.32250000000000023,-9.293948126801158,3.461203,3.463927,3.1475,3.1475,4,3.3841,3.57,3.1475,1684271560000,48,3.1475,3.1475,3.1475,3.1475,1,3.478421,3.478421,3.463812,3.47,5,3.4704
29,C:EURMZN,-0.13427000000000078,-0.19519355177149636,68.660381,68.660381,68.653117,68.653863,4,68.6553,70.066047,68.653863,1684270800000,48,68.653863,68.653863,68.653863,68.653863,1,68.746465,68.788133,68.746465,68.788133,4,68.7777
30,C:GBPIDR,32.297999999998865,0.1742956777391688,18531.206,18592.572,18394.42,18562.067,7133,18542.2318,18580.354,18562.878,1684277033000,48,18562.067,18562.067,18562.067,18562.067,1,18353.958,18545.897,18351.901,18530.58,6872,18487.6473
31,C:MYRCAD,-0.0007780000000000009,-0.26011819663865804,0.2992338,0.2998488,0.2972632,0.2983229,1697,0.2988,0.2983657,0.2983168,1684277014000,48,0.2982984,0.2983229,0.2982984,0.2983229,2,0.3015002,0.3017851,0.2990335,0.2990948,1790,0.3004
32,C:ZARPLN,-0.0016500000000000126,-0.7585858121465737,0.21782,0.21787,0.21538,0.21585,20216,0.2164,0.21682,0.21586,1684276990000,48,0.21585,0.21586,0.21585,0.21585,6,0.21674,0.21861,0.2158,0.21751,20202,0.2174
33,C:GBPUAH,0.12134299999999598,0.26468421188329866,45.918347,45.965785,45.918347,45.965785,3,45.95,46.656309,45.965785,1684270800000,48,45.965785,45.965785,45.965785,45.965785,1,45.861311,45.861311,45.844442,45.844442,3,45.8501
34,C:DKKTHB,0.04007700000000014,0.8128587327094894,4.929271,4.98285,4.92,4.970454,68763,4.9625,4.970921,4.970454,1684277038000,48,4.970387,4.970454,4.969486,4.970454,16,4.941835,4.978515,4.91,4.930377,69130,4.9368
35,C:SGDUSD,-0.002377900000000044,-0.3177682695707708,0.7483126,0.7489627,0.7454453,0.7456566,110390,0.7475,0.7460794,0.7459347,1684277011000,48,0.7459347,0.7459347,0.7456566,0.7456566,6,0.7469543,0.74855,0.746,0.7483126,100665,0.7475
36,C:GBPMAD,0.01081899999999969,0.08847767048981979,12.249135,12.249135,12.238763,12.238763,3,12.2422,13.021366,12.238763,1684270800000,48,12.238763,12.238763,12.238763,12.238763,1,12.122342,12.227944,12.122342,12.227944,3,12.1927
37,C:THBSGD,-0.00022863999999999524,-0.5778365903193043,0.03956801,0.03963322,0.03921621,0.03933261,170111,0.03937,0.03934666,0.03933964,1684277026000,48,0.0393364,0.03934153,0.03932451,0.03934072,17,0.03947101,0.03969316,0.03914767,0.03956828,154383,0.0395
38,C:INRTWD,0.00039450000000001983,0.10558887679397906,0.3736967,0.375022,0.3735954,0.3742892,15191,0.3745,0.3743779,0.3740134,1684277038000,48,0.3742649,0.374508,0.3742649,0.3742892,6,0.3747055,0.3751163,0.3730925,0.3736189,15684,0.3744
39,C:NZDHKD,-0.01132000000000044,-0.23133247094550896,4.89323,4.906429,4.8752,4.881672,123532,4.8912,4.8834,4.88207,1684277040000,48,4.881817,4.882319,4.8794,4.8817,27,4.858156,4.895814,4.8496,4.89339,120296,4.8756
40,C:OMRAED,-0.0007540000000005875,-0.007910122543960323,9.534717,9.550492,9.526969,9.531336,71,9.5368,9.543292,9.531336,1684276686000,48,9.531336,9.531336,9.531336,9.531336,1,9.37108,9.547836,9.37108,9.53209,53,9.5337
41,C:AUDINR,-0.3807770000000019,-0.6911922466780369,55.087005,55.139861,54.69104,54.711855,3343,54.8765,54.807115,54.709106,1684277029000,48,54.711855,54.711855,54.711855,54.711855,1,54.324854,55.115138,54.324854,55.089883,2567,54.987
42,C:DKKCHF,-0.00020000000000131024,-0.0015294378551263716,13.0768,13.0826,13.046,13.0765,53585,13.0708,13.0789,13.0765,1684277012000,48,13.0766,13.0767,13.0765,13.0765,6,13.0915,13.097,13.0584,13.0767,49729,13.0809
43,C:GBPIQD,4.13779999999997,0.2579910961959232,1606.3378,1607.9916,1606.3378,1607.9916,3,1607.4403,1677.0437,1607.9916,1684270800000,48,1607.9916,1607.9916,1607.9916,1607.9916,1,1604.5339,1604.5339,1603.8538,1603.8538,3,1604.0805
44,C:USDUYU,0.003416000000001418,0.008889610605912887,38.402867,38.430296,38.402867,38.430296,3,38.4212,39.531714,38.430296,1684270800000,48,38.430296,38.430296,38.430296,38.430296,1,38.577062,38.577062,38.42688,38.42688,3,38.4769
45,C:MXNCLP,0.2844959999999972,0.6463998566221727,44.248659,44.296882,44.248659,44.296882,3,44.2808,45.768417,44.296882,1684270800000,48,44.296882,44.296882,44.296882,44.296882,1,44.599101,44.599101,44.012386,44.012386,3,44.208
46,C:CNYUSD,-0.000515180000000004,-0.35823556571708576,0.14380833,0.14381454,0.14308199,0.14329522,2394,0.1435,0.1433363,0.14329522,1684274615000,48,0.14329932,0.14330138,0.14329316,0.14329522,6,0.14350702,0.14391181,0.14348643,0.1438104,2101,0.1437
47,C:NOKEUR,-0.0010025099999999981,-1.1557546264597935,0.08673772,0.086805,0.08544759,0.0858126,142140,0.08623,0.08596442,0.08573822,1684277038000,48,0.085837,0.08585017,0.08573675,0.08583912,37,0.08628,0.08684174,0.08592689,0.08674073,138888,0.0864
48,C:CHFMXN,0.036599999999999966,0.18787922343254299,19.48253,19.59401,19.426029,19.4751,146232,19.5126,19.5272,19.5172,1684277040000,48,19.4755,19.5178,19.4755,19.5174,7,19.5849,19.683728,19.3854,19.4806,148468,19.5772
49,C:MADUSD,0.00020517000000000452,0.2135161765275242,0.09615028,0.09629625,0.09615028,0.09629625,3,0.09625,0.10245388,0.09629625,1684270800000,48,0.09629625,0.09629625,0.09629625,0.09629625,1,0.09650513,0.09650513,0.09609108,0.09609108,3,0.0962
50,C:EURISK,-0.15000000000000568,-0.10063737001006755,148.9,148.9,148.9,148.9,2,148.9,152.9,148.9,1684270800000,48,148.9,148.9,148.9,148.9,1,149.05,149.05,149.05,149.05,2,149.05
51,C:NZDINR,-0.1019020000000026,-0.19858958558967651,51.329832,51.418328,51.171245,51.213785,3343,51.2946,51.30271,51.21096,1684277029000,48,51.213785,51.213785,51.213785,51.213785,1,50.594246,51.330005,50.594246,51.312862,2567,51.1511
52,C:USDPHP,0.1910000000000025,0.3406577727045775,56.06,56.285,55.915,56.259,5269,56.109,56.289,56.259,1684275109000,48,56.259,56.259,56.259,56.259,1,55.764,56.228,55.764,56.068,3518,56.0274
53,C:THBMYR,-0.001610239999999985,-1.208665122508089,0.13319502,0.13319502,0.13161442,0.13161442,60,0.1326,0.13192206,0.13161442,1684270800000,48,0.13161442,0.13161442,0.13161442,0.13161442,1,0.13239462,0.13348368,0.13233992,0.13322466,93,0.1331
54,C:BZDUSD,0.00014969999999997485,0.030871071516946062,0.4852187,0.4852187,0.4850697,0.4850697,3,0.4851,0.5076721,0.4850697,1684270800000,48,0.4850697,0.4850697,0.4850697,0.4850697,1,0.4827573,0.48492,0.4827573,0.48492,3,0.4842
55,C:KMFGBP,3.5499999999999508e-06,0.2016186284253841,0.001767,0.001767,0.0017643,0.0017643,3,0.001765,0.00176819,0.0017643,1684270800000,48,0.0017643,0.0017643,0.0017643,0.0017643,1,0.00176087,0.00176087,0.00175843,0.00176075,4,0.0018
56,C:HKDSGD,0.0005300000000000027,0.31091791180490935,0.1704398,0.1710566,0.1699925,0.1709471,219909,0.1706,0.171021,0.170993,1684277038000,48,0.171004,0.1710056,0.1709362,0.171004,25,0.1706894,0.1708307,0.1702,0.170463,206962,0.1706
57,C:AUDMAD,-0.029164999999999885,-0.4304189696627293,6.776057,6.783741,6.660376,6.748921,129660,6.731,6.750848,6.746791,1684277038000,48,6.748921,6.748921,6.745777,6.74882,18,6.62645,6.778079,6.618973,6.775956,118209,6.7287
58,C:HKDKRW,0.7947800000000029,0.466527045484657,170.28022,171.29096,169.91969,171.15138,1962,170.8084,171.41089,171.15575,1684277029000,48,171.15138,171.15138,171.15138,171.15138,1,171.06046,171.11694,169.96729,170.36097,2052,170.502
59,C:OMRGBP,0.00702999999999987,0.34023433095071876,2.065835,2.075998,2.065206,2.073253,73,2.0705,2.088179,2.073253,1684276686000,48,2.073253,2.073253,2.073253,2.073253,1,2.079354,2.079354,2.008445,2.066223,57,2.0696
60,C:SAREUR,0.0002762000000000042,0.11276967549117449,0.244858,0.2453386,0.2441883,0.2452002,103,0.2449,0.2458029,0.2452002,1684276686000,48,0.2452002,0.2452002,0.2452002,0.2452002,1,0.245062,0.2452363,0.2446543,0.244924,57,0.2449
61,C:GBPARS,-0.45227999999997337,-0.15655871564529078,288.86254,289.82428,287.50788,288.5113,8337,288.7289,288.66726,288.43614,1684277037000,48,288.50868,288.5113,288.50253,288.5113,4,286.49401,289.08789,284.14456,288.88842,7389,287.3936
62,C:USDARS,0.46229999999999905,0.20043234075318817,230.64907,231.27776,229.06069,231.1264,8885,230.8411,231.1237,231.1137,1684277032000,48,231.1243,231.12725,231.1243,231.1264,3,229.95597,230.70902,228.2574,230.6514,7268,229.8753
63,C:COPCAD,3.110000000000016e-06,1.060854141083373,0.00029248,0.00029627,0.00029248,0.00029627,3,0.000295,0.00030237,0.00029627,1684270800000,48,0.00029627,0.00029627,0.00029627,0.00029627,1,0.00029066,0.00029316,0.00029066,0.00029316,3,0.0003
64,C:INRCNY,0.0002939700000000045,0.348308947441575,0.08440004,0.08471183,0.08397269,0.08469318,73,0.08459,0.08491693,0.08469318,1684276686000,48,0.08469318,0.08469318,0.08469318,0.08469318,1,0.08446652,0.08454245,0.08399803,0.08439921,55,0.0844
65,C:EURBOB,0.01100000000000012,0.1503348366817018,7.328,7.328,7.328,7.328,2,7.328,7.728,7.328,1684270800000,48,7.328,7.328,7.328,7.328,1,7.317,7.317,7.317,7.317,2,7.317
66,C:ALLUSD,-4.3799999999998354e-05,-0.4585383931683889,0.00955819,0.00955819,0.00950829,0.00950829,4,0.009521,0.00994206,0.00950829,1684270800000,48,0.00950829,0.00950829,0.00950829,0.00950829,2,0.00956664,0.00956664,0.00955209,0.00955209,3,0.0096
67,C:ZARSZL,-0.0003638000000000252,-0.036760392869375526,0.9906305,0.9906305,0.9892883,0.9892883,3,0.9897,1.0085146,0.9892883,1684270800000,48,0.9892883,0.9892883,0.9892883,0.9892883,1,0.9970824,0.9970824,0.9896521,0.9896521,3,0.9921
