name,ticker,change,change_percent,open,high,low,close,previous_close
Dow Jones Americas Basic Materials Index,I:A1BSC,-0.91,-0.192,470.06,474.44,469.71000000000004,474.06,474.06
Dow Jones Americas Consumer Services Index,I:A1CYC,-3.13,-0.235,1312.3500000000001,1333.8600000000001,1312.28,1333.58,1333.58
Dow Jones Americas Index,I:A1DOW,-1.31,-0.125,1034.59,1046.64,1034.51,1046.43,1046.43
Dow Jones Americas Oil & Gas Index,I:A1ENE,0.05,0.00756,658.66,661.67,651.7,661.37,661.37
Dow Jones Americas Financials Index,I:A1FIN,2.99,0.38,787.84,794.73,786.07,786.09,786.09
Dow Jones Americas Health Care Index,I:A1HCR,-2.19,-0.158,1378.88,1386.26,1376.28,1386.14,1386.14
Dow Jones Americas Industrials Index,I:A1IDU,-1.52,-0.152,992.72,1001.5600000000001,992.62,1000.1,1000.1
Dow Jones Americas Consumer Goods Index,I:A1NCY,0.29,0.0316,901.95,917.85,901.89,916.94,916.94
Dow Jones Sustainability North America Composite Index (USD),I:A1SGI,1.26,0.377,334.95,336.28000000000003,334.18,334.29,334.29
Dow Jones Americas Technology Index,I:A1TEC,-4.28,-0.0957,4387.51,4482.4800000000005,4387.45,4473.05,4473.05
Dow Jones Americas Telecommunications Index,I:A1TLS,-0.89,-0.575,152.81,155.0,152.75,154.79,154.79
Dow Jones Americas Utilities Index,I:A1UTI,1.41,0.427,331.94,334.96,329.77,329.83,329.83
Cboe 100 Aave / US Dollar RealPrice Index,I:AAVE100,-3.09,-4.14,74.25750000000001,75.08420000000001,69.40390000000001,69.72460000000001,74.7176
Cboe 10 Aave / US Dollar RealPrice Index,I:AAVE10RP,-3.08,-4.12,74.2906,75.0836,69.4086,69.757,74.7119
Cboe 25 Aave / US Dollar RealPrice Index,I:AAVE25RP,-3.08,-4.12,74.27720000000001,75.0823,69.4064,69.7467,74.7132
Cboe 400 Aave / US Dollar RealPrice Index,I:AAVE400,-3.11,-4.16,74.2485,75.08840000000001,69.3939,69.7211,74.7072
Cboe 50 Aave / US Dollar RealPrice Index,I:AAVE50RP,-3.09,-4.14,74.265,75.0834,69.4068,69.7508,74.7176
ABA NASDAQ Community Bank,I:ABAQ,-2.02,-0.622,323.0782433724,325.10392934659,320.86409747389,324.98849387999,324.98849387999
NASDAQ OMX ABA Community Bank,I:ABQI,-14.5,-0.646,2230.47320217374,2244.38833966429,2213.76798673428,2243.38904385123,2243.38904385123
