Date,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
2022-07-31,21.0,7.84995,2.67517627500812,4.077669902912619,-48.055,-52.676,-54.571000000000005,-49.585,-17.866,-45.126
2022-01-31,22.0,7.79755,2.82139902918224,3.786574870912217,-51.439,-45.005,-46.868,-44.333,-20.986,-47.502
2021-07-31,21.0,7.7729,2.70169434831273,3.7168141592920394,-52.182,-45.572,-50.152,-46.122,-28.018,-45.366
2021-01-31,20.5,7.75535,2.64333653542393,3.621908127208477,-53.3,-46.8,-52.8,-43.5,-34.300000000000004,-48.1
2020-07-31,20.5,7.75095,2.64483708448642,3.590192644483365,-53.681,-47.7,-48.8,-41.4,-33.2,-44.1
2020-01-31,20.5,7.77535,2.63653726198821,3.615520282186954,-53.5,-47.9,-46.400000000000006,-43.2,-31.3,-43.1
2019-07-31,20.5,7.8105,2.6246719160105,3.5714285714286,-54.3,-48.8,-46.9,-39.4,-31.7,-41.9
2019-01-31,20.0,7.83435,2.5528601607025,3.584229390681,-54.2,-48.3,-49.6,-41.1,-34.2,-46.2
2018-07-31,20.0,7.84825,2.5483388016437,3.6297640653358,-53.8,-48.0,-50.6,-43.3,-32.4,-46.1
2018-01-31,20.5,7.819,2.6218186468858,3.8825757575758,-50.344343808981,-43.921913095396,-49.962208642967,-42.510216696608,-26.896033173329,-44.309710149878
2017-07-31,19.2,7.8115,2.4579146130705,3.622641509434,-53.624252583576,-48.428649249167,-49.202524454358,-40.085149779674,-29.94741392416,-42.971516135906
2017-01-31,19.2,7.75595,2.4755187952475,3.7944664031621,-51.076703651235,-44.856297096513,-43.817112356261,-32.734555285287,-31.132287317953,-41.037762664768
2016-07-31,19.2,7.7554,2.4756943549011,3.8095238095238,-50.879080259899,-44.74711541609,-45.651298239815,-36.361214607116,-35.17071881236,-39.566515161797
2016-01-31,19.2,7.75235,2.4766683650764,3.894523326572,-49.763319166807,-42.769237597841,-38.086581444631,-38.091847912154,-23.521385816311,-36.803180140728
2015-07-31,19.2,7.7508,2.4771636476235,4.0083507306889,-48.28468376569,-41.511331724497,-38.80889491065,-42.280449403612,-19.637123555395,-35.500937928789
2015-01-31,18.8,7.75135,2.4253839653738,3.9248434237996,-49.365679219754,-41.960469270631,-42.736754435653,-43.712459046836,-22.41951428121,-38.801847635692
2014-07-31,18.8,7.75045,2.4256656065132,3.9207507820647,-49.412604660831,-41.849154710497,-50.887455141657,-49.576079197219,-26.89545060947,-37.880680182167
2014-01-31,18.0,7.75785,2.3202304762273,3.8925932600469,-49.82381381379,-41.947723654032,-50.171933803915,-47.305352125261,-11.869323935399,-42.638181330538
2013-07-31,17.0,7.75665,2.191667794731,3.730797366496,-51.901950371668,-44.891808165655,-50.098169975318,-42.910854600157,-23.191811101095,-41.082395271767
2013-01-31,17.0,7.7591,2.1909757574976,3.8924797862952,-49.83335971575,-42.57742199111,-52.370718059867,-46.011919912294,-30.207177831569,-40.078478605318
2012-07-31,16.5,7.75815,2.126795692272,3.8128249566724,-50.853941253102,-42.47120562752,-48.1954709368,-46.388898739857,-41.667801959721,-38.856749052928
2012-01-31,16.5,7.76735,2.1242766194391,3.931173491025,-49.38848524883,-40.280009703915,-49.110484072195,-41.554206218075,-42.361718077566,-40.06682586276
2011-07-31,15.1,7.7918,1.9379347519187,3.7146371463715,-52.326328366084,-42.711987308065,-57.971558912757,-47.304162270855,-45.692968198358,-44.554378288355
2010-07-31,14.8,7.7742,1.9037328599727,3.9642857142857,-49.007155536445,,,,,
2010-01-31,14.8,7.75655,1.9080647968491,4.1340782122905,-46.702100646673,,,,,
2009-07-31,13.3,7.7505,1.7160183213986,3.7254901960784,-51.932259904801,,,,,
2008-06-30,13.3,7.7974,1.7056967707184,3.7254901960784,-52.221378971472,,,,,
2007-06-30,12.0,7.81555,1.5354005796137,3.5190615835777,-54.973590040653,,,,,
2007-01-31,12.0,7.79845,1.5387673191468,3.7267080745342,-52.212195057554,,,,,
2006-05-31,12.0,7.7533,1.5477280641791,3.8709677419355,-50.073288252286,,,,,
2006-01-31,12.0,7.7512,1.5481473836309,3.8095238095238,-50.852464011717,,,,,
2005-06-30,12.0,7.7807,1.5422776870976,3.921568627451,-49.598768395505,,,,,
2004-05-31,12.0,7.79,1.54,4.1379310344828,-46.881501482891,,,,,
2003-04-30,11.5,7.8,1.47,4.2435424354244,-45.595609802252,,,,,
2002-04-30,11.2,8.0,1.4,4.4979919678715,-43.775100401606,,,,,
2001-04-30,10.7,7.8,1.37,4.2125984251969,-45.992327882092,,,,,
2000-04-30,10.2,7.79,1.31,4.0637450199203,-47.833825161485,,,,,
