Date,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
2022-07-31,17.0,3.755,4.52729693741678,3.3009708737864094,-12.091,4.96,0.758,11.817,82.16499999999999,21.706
2022-01-31,15.0,3.7519,3.99797435965777,2.5817555938037846,-31.188,-1.168,-4.516,0.04,41.998000000000005,-5.655
2021-07-31,14.0,3.7507,3.73263657450609,2.477876106194689,-33.936,-3.531,-11.65,-4.507,27.58,-3.167
2021-01-31,14.0,3.7518,3.73154219308065,2.4734982332155444,-34.1,-4.7,-15.4,1.1,17.8,-7.000000000000001
2020-07-31,14.0,3.75105,3.7322882926114,2.4518388791593684,-34.636,-5.3,-7.199999999999999,6.2,21.1,1.3
2020-01-31,13.0,3.7518,3.46500346500347,2.2927689594356293,-38.889,-13.4,-11.0,-5.6000000000000005,14.099999999999998,-5.5
2019-07-31,13.0,3.75035,3.4663431413068,2.2648083623693,-39.6,-13.7,-10.6,2.2,15.1,-2.1
2019-01-31,12.0,3.75115,3.1990189675166,2.1505376344086,-42.7,-14.9,-17.1,-3.1,8.3,-11.5
2018-07-31,12.0,3.7504,3.1996587030717,2.1778584392015,-41.9,-15.3,-19.4,-7.6,10.2,-12.1
2018-01-31,12.0,3.7503,3.1997440204784,2.2727272727273,-39.39878749094,-12.972709461248,-22.346612612628,-10.781905184012,13.449664775166,-13.574529687175
2017-07-31,12.0,3.75015,3.1998720051198,2.2641509433962,-39.625056507174,-15.305202336102,-16.576125105557,-1.6028077102213,15.046232397361,-6.3430406295815
2017-01-31,12.0,3.75065,3.1994454294589,2.3715415019763,-36.769853172749,-10.409434890262,-8.7210979953768,9.2844493032382,11.887613129612,-4.2055595678203
2016-07-31,12.0,3.7505,3.1995733902146,2.3809523809524,-36.516400987805,-10.652478804995,-12.114601454614,2.9080702217474,4.8331796355917,-2.2751100122335
2016-01-31,12.0,3.7543,3.1963348693498,2.4340770791075,-35.165621311363,-12.772919751587,-5.6359464367532,-5.6439732140665,16.563294575933,-3.6798769414729
2015-07-31,12.0,3.75055,3.1995307354921,2.5052192066806,-33.203951242336,-12.450201308634,-8.4050109152751,-13.601468724389,20.292594487589,-3.4534369372621
2015-01-31,11.0,3.7569,2.9279459128537,2.2964509394572,-38.873780524975,-19.797470894447,-20.87018862251,-22.218476186063,7.2054009688211,-15.432696740934
2014-07-31,11.0,3.75035,2.9330595811058,2.2940563086548,-38.830874220943,-20.705426495517,-33.030065532596,-31.241871471091,-0.3145347879239,-15.29400910991
2014-01-31,11.0,3.7504,2.9330204778157,2.3788069922509,-36.571912535973,-14.095023464726,-26.265098859124,-22.023169905749,30.414587263524,-15.11675343351
2013-07-31,10.0,3.7502,2.6665244520292,2.1945866861741,-41.48080939219,-22.45803121292,-29.783830363665,-19.670659055868,8.0757322630776,-17.097859414817
2013-01-31,11.0,3.7502,2.9331768972321,2.5186633911322,-32.839224811151,-11.199434682562,-26.344178394557,-16.510679275856,7.9304043558721,-7.3349689436634
2012-07-31,10.0,3.75025,2.66648890074,2.3108030040439,-38.382694379204,-14.273752255266,-22.803737828797,-20.111683225303,-13.076564262435,-8.8876877087039
2012-01-31,10.0,3.7502,2.6665244520292,2.3825293885,-36.469271278865,-9.9662703517138,-23.279074623753,-11.88724629136,-13.104649443717,-9.6448748487212
2011-07-31,10.0,3.7502,2.6665244520292,2.460024600246,-34.402842508506,-2.9762102277372,-28.820036847279,-10.753582792277,-8.0248416887431,-6.0965096891846
2010-07-31,10.0,3.75045,2.6663467050621,2.6785714285714,-28.579998971552,,,,,
2010-01-31,10.0,3.7502,2.6665244520292,2.7932960893855,-25.51607675896,,,,,
2009-07-31,11.0,3.7504,2.9330204778157,3.0812324929972,-17.842563646619,,,,,
2008-06-30,10.0,3.74955,2.6669867050713,2.8011204481793,-25.294490054026,,,,,
2007-06-30,9.0,3.75045,2.3997120345559,2.6392961876833,-29.627213062878,,,,,
2007-01-31,9.0,3.749,2.4006401707122,2.7950310559006,-25.445957431298,,,,,
2006-05-31,9.0,3.749,2.4006401707122,2.9032258064516,-22.559994493155,,,,,
2006-01-31,0.0,0.0,0.0,0.0,0.0,,,,,
2005-06-30,9.0,3.7501,2.3999360017066,2.9411764705882,-21.570718898476,,,,,
2004-05-31,2.4,3.7502,0.63996586848701,0.82758620689655,-77.932211431482,,,,,
2003-04-30,0.0,0.0,0.0,0.0,0.0,,,,,
2002-04-30,0.0,0.0,0.0,0.0,0.0,,,,,
2001-04-30,0.0,0.0,0.0,0.0,0.0,,,,,
2000-04-30,0.0,0.0,0.0,0.0,0.0,,,,,
