Date,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
2022-07-31,5.9,1.3914,4.24033347707345,1.1456310679611643,-17.663,-22.444,-25.549,-17.377000000000002,34.604,-10.07
2022-01-31,5.9,1.35215,4.36342121806013,1.0154905335628237,-24.898,-22.975,-25.585,-22.034,10.666,-26.472
2021-07-31,5.9,1.36825,4.31207747122236,1.0442477876106184,-23.68,-21.084,-27.725,-21.882,4.367,-20.785
2021-01-31,5.9,1.3308,4.43342350465885,1.0424028268551233,-21.7,-21.7,-30.4,-16.900000000000002,-3.2,-23.5
2020-07-31,5.9,1.3876,4.2519458057077,1.0332749562171637,-25.535000000000004,-26.5,-28.000000000000004,-17.599999999999998,-6.0,-21.4
2020-01-31,5.9,1.34715,4.37961622684928,1.0405643738977086,-22.758,-23.7,-21.6,-16.8,0.5,-16.7
2019-07-31,5.8,1.3613,4.2606332182473,1.0104529616725,-25.8,-25.8,-23.1,-12.2,-1.1,-15.9
2019-01-31,5.8,1.3559,4.2776015930378,1.0394265232975,-23.3,-22.0,-24.0,-11.1,-0.7,-18.8
2018-07-31,5.8,1.35585,4.2777593391599,1.0526315789474,-22.4,-21.2,-25.0,-14.0,2.5,-18.2
2018-01-31,5.8,1.32255,4.3854674681487,1.0984848484848,-16.941904012336,-13.670970113242,-22.96966205575,-11.497743683294,12.539405057738,-14.267961654043
2017-07-31,5.6,1.3777,4.0647455904769,1.0566037735849,-23.306686972134,-21.425595413485,-22.604676096594,-8.7133919625642,6.7325202950181,-13.111076230236
2017-01-31,5.6,1.43875,3.892267593397,1.1067193675889,-23.077715545513,-21.143284244136,-19.65722706326,-3.8089251397648,-1.5176464803339,-15.682695483619
2016-07-31,5.45,1.3577,4.0141415629373,1.0813492063492,-20.354334068704,-18.384595362589,-19.720186211469,-5.997573527842,-4.2390626964192,-10.732202384324
2016-01-31,4.7,1.43725,3.2701339363368,0.95334685598377,-33.668682832926,-34.73497157344,-29.394946836332,-29.400952630038,-12.785035194043,-27.931376912287
2015-07-31,4.7,1.3664,3.4396955503513,0.9812108559499,-28.190072017718,-29.149928602654,-25.876339942609,-30.081596976801,-2.6526727027395,-21.869256258634
2015-01-31,4.7,1.33315,3.5254847541537,0.9812108559499,-26.399065675288,-27.735925940947,-28.702465951713,-29.917299865707,-3.4058012691148,-23.803177607469
2014-07-31,4.7,1.238,3.7964458804523,0.98018769551616,-20.824903431651,-22.036937487952,-34.154621728122,-32.396454942687,-1.9884487375137,-16.716388385195
2014-01-31,4.6,1.27885,3.596981663213,0.99477383312309,-22.213407895915,-22.914431638016,-33.835069959827,-30.028637346604,17.025613501847,-23.831266011678
2013-07-31,4.7,1.2747,3.6871420726445,1.0314557425018,-19.082470973419,-19.766593859313,-27.346667305485,-16.882473610109,11.82697907021,-14.22037356612
2013-01-31,4.5,1.23485,3.6441673077702,1.0303622963723,-16.559720097804,-17.260516540159,-31.371555894275,-22.209242177289,0.56361549156707,-13.659819878581
2012-07-31,4.4,1.2585,3.4962256654748,1.0167533217793,-19.209112294055,-15.957393136943,-24.31985204496,-21.680668683418,-14.783717600341,-10.677109476638
2012-01-31,4.85,1.2928,3.751547029703,1.1555267534225,-10.618289493928,-6.8456788015273,-20.619908193718,-8.8332362468912,-10.092834896483,-6.5131436501515
2011-07-31,4.41,1.20705,3.6535354790605,1.0848708487085,-10.122128436396,-5.9301480159499,-30.987146413025,-13.47073458434,-10.825071367981,-8.9554484002499
2010-07-31,4.23,1.3742,3.0781545626546,1.1330357142857,-17.549431357465,,,,,
2010-01-31,4.45,1.39555,3.1887069614131,1.2430167597765,-10.929973144887,,,,,
2009-07-31,4.22,1.4645,2.8815295322636,1.1820728291317,-19.284887051441,,,,,
2008-06-30,3.95,1.35275,2.9199778229532,1.1064425770308,-18.207904118957,,,,,
2007-06-30,3.95,1.52375,2.5922887612797,1.158357771261,-23.979801722002,,,,,
2007-01-31,3.6,1.53795,2.3407783087877,1.1180124223602,-27.305021466221,,,,,
2006-05-31,3.6,1.5873,2.2680022680023,1.1612903225806,-26.838636516056,,,,,
2006-01-31,3.6,1.6353,2.2014309301046,1.1428571428571,-30.113303806204,,,,,
2005-06-30,3.6,1.6607,2.1677605828867,1.1764705882353,-29.158150886054,,,,,
2004-05-31,3.3,1.71,1.92,1.1379310344828,-33.454325468845,,,,,
2003-04-30,3.3,1.78,1.85,1.2177121771218,-31.589203532485,,,,,
2002-04-30,3.3,1.82,1.81,1.3253012048193,-27.181252482457,,,,,
2001-04-30,3.3,1.81,1.82,1.2992125984252,-28.220298429547,,,,,
2000-04-30,3.2,1.7,1.88,1.2749003984064,-25.005858917272,,,,,
