Date,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
2022-01-31,69.0,28.3673,2.43237812551776,11.876075731497412,-58.135000000000005,-28.114,-30.55,-27.236,3.282,-31.378
2021-07-31,65.0,27.22,2.38795003673769,11.504424778761049,-57.735,-25.112,-31.414,-25.869,-0.96,-24.829
2021-01-31,62.0,28.14,2.20326936744847,10.954063604240272,-61.1,-29.0,-37.0,-24.6,-12.2,-30.7
2020-07-31,59.0,27.13,2.17471433837081,10.33274956217164,-61.914,,,,,
2020-01-31,57.0,23.99,2.3759899958316,10.052910052910066,-58.095,,,,,
2019-07-31,57.0,25.6475,2.2224388341944,9.9303135888502,-61.3,,,,,
2019-01-31,54.0,27.8,1.9424460431655,9.6774193548387,-65.2,,,,,
2018-07-31,50.0,26.199,1.9084697889232,9.0744101633394,-65.4,,,,,
2018-01-31,47.0,28.715,1.6367752045969,8.9015151515152,-69.000469609907,,,,,
2017-07-31,44.0,25.915,1.6978583831758,8.3018867924528,-67.964936166495,,,,,
2017-01-31,42.0,27.235,1.5421332843767,8.300395256917,-69.523057621013,,,,,
2016-07-31,39.0,24.8,1.5725806451613,7.7380952380952,-68.798003072197,,,,,
2016-01-31,36.0,23.35,1.541755888651,7.3022312373225,-68.727061082131,,,,,
2015-07-31,34.0,21.95,1.5489749430524,7.098121085595,-67.662318516652,,,,,
2015-01-31,19.0,15.822,1.2008595626343,3.9665970772443,-74.929862993021,,,,,
2014-07-31,19.0,11.685,1.6260162601626,3.9624608967675,-66.089337639987,,,,,
2014-01-31,19.0,8.379,2.2675736961451,4.1088484411606,-50.962543965144,,,,,
2013-07-31,19.0,8.155,2.3298589822195,4.1697147037308,-48.869224969579,,,,,
2013-01-31,19.0,8.144,2.3330058939096,4.3504185846829,-46.581304215583,,,,,
2012-07-31,15.0,8.0855,1.8551728402696,3.4662045060659,-57.130610276843,0.0,0.0,0.0,0.0,0.0
2012-01-31,17.0,8.0405,2.1142963746036,4.05029996045,-49.62626751508,0.0,0.0,0.0,0.0,0.0
2011-07-31,16.5,7.994,2.064048036027,4.0590405904059,-49.223910552841,0.0,0.0,0.0,0.0,0.0
2010-07-31,14.5,7.899,1.8356754019496,3.8839285714286,-50.830123162064,,,,,
2010-01-31,14.0,7.66,1.8276762402089,3.921568627451,-48.804587108995,,,,,
2009-07-31,14.0,7.66,1.8276762402089,3.921568627451,-48.804587108995,,,,,
2008-06-30,11.0,4.6,2.3913043478261,3.0812324929972,-33.016684934843,,,,,
2007-06-30,9.25,5.0275,1.8398806563899,2.7126099706745,-46.044555531089,,,,,
2007-01-31,9.0,5.05,1.7821782178218,2.7950310559006,-44.652850378206,,,,,
2006-05-31,8.5,5.05,1.6831683168317,2.741935483871,-45.704247844139,,,,,
2006-01-31,0.0,0.0,0.0,0.0,0.0,,,,,
2005-06-30,7.25,5.06,1.4328063241107,2.3692810457516,-53.176263917952,,,,,
2004-05-31,7.25,5.3315,1.3598424458408,2.5,-53.108881177905,,,,,
2003-04-30,0.0,0.0,0.0,0.0,0.0,,,,,
2002-04-30,0.0,0.0,0.0,0.0,0.0,,,,,
2001-04-30,0.0,0.0,0.0,0.0,0.0,,,,,
2000-04-30,0.0,0.0,0.0,0.0,0.0,,,,,
