Date,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
2022-07-31,5.15,1.0,5.15,1.0,0.0,0.0,-4.003,6.533,73.55699999999999,15.955
2022-01-31,5.81,1.0,5.81,1.0,0.0,0.0,-3.388,1.222,43.675,-4.54
2021-07-31,5.65,1.0,5.65,1.0,0.0,0.0,-8.415000000000001,-1.012,32.25,0.378
2021-01-31,5.66,1.0,5.66,1.0,0.0,0.0,-11.2,6.1,23.6,-2.4
2020-07-31,5.71,1.0,5.71,1.0,0.0,0.0,-1.9,12.2,27.9,7.000000000000001
2020-01-31,5.67,1.0,5.67,1.0,0.0,0.0,2.8000000000000003,9.1,31.8,9.2
2019-07-31,5.74,1.0,5.74,1.0,0.0,0.0,3.6,18.3,33.3,13.4
2019-01-31,5.58,1.0,5.58,1.0,0.0,0.0,-2.6,13.9,27.2,4.0
2018-07-31,5.51,1.0,5.51,1.0,0.0,0.0,-4.9,9.1,30.0,3.8
2018-01-31,5.28,1.0,5.28,1.0,0.0,0.0,-10.77122255944,2.5173761743864,30.361021321983,-0.6915304638356
2017-07-31,5.3,1.0,5.3,1.0,0.0,0.0,-1.5005913049094,16.178555240496,35.836244457314,10.581714525236
2017-01-31,5.06,1.0,5.06,1.0,0.0,0.0,1.8845030085675,21.982096183206,24.887718916119,6.9246971652017
2016-07-31,5.04,1.0,5.04,1.0,0.0,0.0,-1.6364445594728,15.177308609542,17.331939636902,9.3761625176788
2016-01-31,4.93,1.0,4.93,1.0,0.0,0.0,8.1820614590199,8.1728592969271,33.632003093505,10.424564004915
2015-07-31,4.79,1.0,4.79,1.0,0.0,0.0,4.6204451110379,-1.3149857943287,37.399053208162,10.276167970514
2015-01-31,4.79,1.0,4.79,1.0,0.0,0.0,-1.3375110984982,-3.0186146479615,33.66835455741,5.4421901680542
2014-07-31,4.795,1.0,4.795,1.0,0.0,0.0,-15.542853050824,-13.287725136674,25.715368412241,6.8244485674681
2014-01-31,4.6241666666667,1.0,4.6241666666667,1.0,0.0,0.0,-14.166903810747,-9.228972244428,51.812610308989,-1.1893722692117
2013-07-31,4.5566666666667,1.0,4.5566666666667,1.0,0.0,0.0,-9.4475279198301,3.5946626074261,39.377080506994,6.9126073040798
2013-01-31,4.3673958333333,1.0,4.3673958333333,1.0,0.0,0.0,-17.054782993618,-5.981093221995,21.542474386339,4.3518481274119
2012-07-31,4.3275,1.0,4.3275,1.0,0.0,0.0,-9.9502612069648,-6.8099690860381,1.3965244301791,6.2828651530396
2012-01-31,4.19722,1.0,4.19722,1.0,0.0,0.0,-14.786463166688,-2.1336180864109,-3.4857815001816,0.35697233053451
2011-07-31,4.065,1.0,4.065,1.0,0.0,0.0,-26.636587459842,-8.0159439069478,-5.2034985160404,-3.2160148235515
2010-07-31,3.7333333333333,1.0,3.73,1.0,0.0,,,,,
2010-01-31,3.58,1.0,3.58,1.0,0.0,,,,,
2009-07-31,3.57,1.0,3.57,1.0,0.0,,,,,
2008-06-30,3.57,1.0,3.57,1.0,0.0,,,,,
2007-06-30,3.41,1.0,3.41,1.0,0.0,,,,,
2007-01-31,3.22,1.0,3.22,1.0,0.0,,,,,
2006-05-31,3.1,1.0,3.1,1.0,0.0,,,,,
2006-01-31,3.15,1.0,3.15,1.0,0.0,,,,,
2005-06-30,3.06,1.0,3.06,1.0,0.0,,,,,
2004-05-31,2.9,1.0,2.9,1.0,0.0,,,,,
2003-04-30,2.71,1.0,2.71,1.0,0.0,,,,,
2002-04-30,2.49,1.0,2.49,1.0,0.0,,,,,
2001-04-30,2.54,1.0,2.54,1.0,0.0,,,,,
2000-04-30,2.51,1.0,2.51,1.0,0.0,,,,,
