Date,Value
2023-03-31,132.6
2022-12-31,130.8
2022-09-30,128.4
2022-06-30,126.1
2022-03-31,123.9
2021-12-31,121.3
2021-09-30,119.7
2021-06-30,118.8
2021-03-31,117.9
2020-12-31,117.2
2020-09-30,116.2
2020-06-30,114.4
2020-03-31,116.6
2019-12-31,116.2
2019-09-30,115.4
2019-06-30,114.8
2019-03-31,114.1
2018-12-31,114.1
2018-09-30,113.5
2018-06-30,113.0
2018-03-31,112.6
2017-12-31,112.1
2017-09-30,111.4
2017-06-30,110.7
2017-03-31,110.5
2016-12-31,110.0
2016-09-30,109.4
2016-06-30,108.6
2016-03-31,108.2
2015-12-31,108.4
2015-09-30,108.0
2015-06-30,107.5
2015-03-31,106.8
2014-12-31,106.6
2014-09-30,106.4
2014-06-30,105.9
2014-03-31,105.4
2013-12-31,104.8
2013-09-30,104.0
2013-06-30,102.8
2013-03-31,102.4
2012-12-31,102.0
2012-09-30,101.8
2012-06-30,100.4
2012-03-31,99.9
2011-12-31,99.8
2011-09-30,99.8
2011-06-30,99.2
2011-03-31,98.3
2010-12-31,96.9
2010-09-30,96.5
2010-06-30,95.8
2010-03-31,95.2
2009-12-31,94.3
2009-09-30,93.8
2009-06-30,92.9
2009-03-31,92.5
2008-12-31,92.4
2008-09-30,92.7
2008-06-30,91.6
2008-03-31,90.3
2007-12-31,89.1
2007-09-30,88.3
2007-06-30,87.7
2007-03-31,86.6
2006-12-31,86.6
2006-09-30,86.7
2006-06-30,85.9
2006-03-31,84.5
2005-12-31,83.8
2005-09-30,83.4
2005-06-30,82.6
2005-03-31,82.1
2004-12-31,81.5
2004-09-30,80.9
2004-06-30,80.6
2004-03-31,80.2
2003-12-31,79.5
2003-09-30,79.1
2003-06-30,78.6
2003-03-31,78.6
2002-12-31,77.6
2002-09-30,77.1
2002-06-30,76.6
2002-03-31,76.1
2001-12-31,75.4
2001-09-30,74.7
2001-06-30,74.5
2001-03-31,73.9
2000-12-31,73.1
2000-09-30,72.9
2000-06-30,70.2
2000-03-31,69.7
1999-12-31,69.1
1999-09-30,68.7
1999-06-30,68.1
1999-03-31,67.8
1998-12-31,67.8
1998-09-30,67.5
1998-06-30,67.4
1998-03-31,67.0
1997-12-31,66.8
1997-09-30,66.6
1997-06-30,66.9
1997-03-31,67.1
1996-12-31,67.0
1996-09-30,66.9
1996-06-30,66.7
1996-03-31,66.2
1995-12-31,66.0
1995-09-30,65.5
1995-06-30,64.7
1995-03-31,63.8
1994-12-31,62.8
1994-09-30,62.3
1994-06-30,61.9
1994-03-31,61.5
1993-12-31,61.2
1993-09-30,61.1
1993-06-30,60.8
1993-03-31,60.6
1992-12-31,60.1
1992-09-30,59.8
1992-06-30,59.7
1992-03-31,59.9
1991-12-31,59.9
1991-09-30,59.3
1991-06-30,59.0
1991-03-31,58.9
1990-12-31,59.0
1990-09-30,57.5
1990-06-30,57.1
1990-03-31,56.2
1989-12-31,55.2
1989-09-30,54.2
1989-06-30,53.0
1989-03-31,51.7
1988-12-31,51.2
1988-09-30,50.2
1988-06-30,49.3
1988-03-31,48.4
1987-12-31,47.6
1987-09-30,46.8
1987-06-30,46.0
1987-03-31,45.3
1986-12-31,44.4
1986-09-30,43.2
1986-06-30,42.1
1986-03-31,41.4
1985-12-31,40.5
1985-09-30,39.7
1985-06-30,38.8
1985-03-31,37.9
1984-12-31,37.4
1984-09-30,36.9
1984-06-30,36.4
1984-03-31,36.3
1983-12-31,36.5
1983-09-30,35.6
1983-06-30,35.0
1983-03-31,34.3
1982-12-31,33.6
1982-09-30,32.6
1982-06-30,31.5
1982-03-31,30.8
1981-12-31,30.2
1981-09-30,29.0
1981-06-30,28.4
1981-03-31,27.8
1980-12-31,27.2
1980-09-30,26.6
1980-06-30,26.2
1980-03-31,25.4
1979-12-31,24.9
1979-09-30,24.2
1979-06-30,23.6
1979-03-31,23.0
1978-12-31,22.6
1978-09-30,22.1
1978-06-30,21.7
1978-03-31,21.3
1977-12-31,21.0
1977-09-30,20.5
1977-06-30,20.1
1977-03-31,19.6
1976-12-31,19.2
1976-09-30,18.1
1976-06-30,17.7
1976-03-31,17.3
1975-12-31,16.8
1975-09-30,15.9
1975-06-30,15.8
1975-03-31,15.3
1974-12-31,14.7
1974-09-30,14.2
1974-06-30,13.5
1974-03-31,13.0
1973-12-31,12.6
1973-09-30,12.2
1973-06-30,11.8
1973-03-31,11.4
1972-12-31,11.2
1972-09-30,11.1
1972-06-30,10.9
1972-03-31,10.8
1971-12-31,10.7
1971-09-30,10.5
1971-06-30,10.2
1971-03-31,10.1
1970-12-31,10.0
1970-09-30,9.8
1970-06-30,9.7
1970-03-31,9.6
1969-12-31,9.5
1969-09-30,9.5
1969-06-30,9.4
