Date,Value
2023-05-31,117.44
2023-04-30,117.5
2023-03-31,116.79
2023-02-28,115.78
2023-01-31,114.6
2022-12-31,114.16
2022-11-30,114.26
2022-10-31,113.9
2022-09-30,112.74
2022-08-31,113.38
2022-07-31,112.87
2022-06-30,112.55
2022-05-31,111.72
2022-04-30,110.97
2022-03-31,110.49
2022-02-28,108.94
2022-01-31,108.12
2021-12-31,107.85
2021-11-30,107.64
2021-10-31,107.25
2021-09-30,106.81
2021-08-31,107.05
2021-07-31,106.4
2021-06-30,106.34
2021-05-31,106.2
2021-04-30,105.86
2021-03-31,105.75
2021-02-28,105.12
2021-01-31,105.12
2020-12-31,104.96
2020-11-30,104.73
2020-10-31,104.51
2020-09-30,104.55
2020-08-31,105.09
2020-07-31,105.19
2020-06-30,104.79
2020-05-31,104.71
2020-04-30,104.56
2020-03-31,104.59
2020-02-29,104.53
2020-01-31,104.54
2019-12-31,104.98
2019-11-30,104.52
2019-10-31,104.46
2019-09-30,104.5
2019-08-31,104.86
2019-07-31,104.38
2019-06-30,104.58
2019-05-31,104.33
2019-04-30,104.22
2019-03-31,103.89
2019-02-28,103.06
2019-01-31,103.01
2018-12-31,103.47
2018-11-30,103.45
2018-10-31,103.67
2018-09-30,103.56
2018-08-31,103.78
2018-07-31,103.28
2018-06-30,103.37
2018-05-31,103.36
2018-04-30,102.92
2018-03-31,102.75
2018-02-28,101.72
2018-01-31,101.75
2017-12-31,101.85
2017-11-30,101.53
2017-10-31,101.43
2017-09-30,101.33
2017-08-31,101.49
2017-07-31,100.97
2017-06-30,101.32
2017-05-31,101.31
2017-04-30,101.26
2017-03-31,101.17
2017-02-28,100.53
2017-01-31,100.41
2016-12-31,100.65
2016-11-30,100.35
2016-10-31,100.37
2016-09-30,100.34
2016-08-31,100.58
2016-07-31,100.25
2016-06-30,100.63
2016-05-31,100.5
2016-04-30,100.09
2016-03-31,100.02
2016-02-29,99.33
2016-01-31,99.08
2015-12-31,100.04
2015-11-30,99.82
2015-10-31,100.01
2015-09-30,99.95
2015-08-31,100.35
2015-07-31,100.03
2015-06-30,100.44
2015-05-31,100.52
2015-04-30,100.28
2015-03-31,100.17
2015-02-28,99.52
2015-01-31,98.86
2014-12-31,99.86
2014-11-30,99.78
2014-10-31,99.95
2014-09-30,99.92
2014-08-31,100.3
2014-07-31,99.86
2014-06-30,100.18
2014-05-31,100.22
2014-04-30,100.2
2014-03-31,100.24
2014-02-28,99.79
2014-01-31,99.24
2013-12-31,99.8
2013-11-30,99.46
2013-10-31,99.5
2013-09-30,99.63
2013-08-31,99.86
2013-07-31,99.4
2013-06-30,99.7
2013-05-31,99.54
2013-04-30,99.48
2013-03-31,99.63
2013-02-28,98.88
2013-01-31,98.6
2012-12-31,99.1
2012-11-30,98.79
2012-10-31,98.94
2012-09-30,98.76
2012-08-31,99.0
2012-07-31,98.35
2012-06-30,98.78
2012-05-31,98.75
2012-04-30,98.8
2012-03-31,98.67
2012-02-29,97.86
2012-01-31,97.46
2011-12-31,97.8
2011-11-30,97.41
2011-10-31,97.14
2011-09-30,96.91
2011-08-31,96.98
2011-07-31,96.48
2011-06-30,96.91
2011-05-31,96.83
2011-04-30,96.78
2011-03-31,96.45
2011-02-28,95.67
2011-01-31,95.22
2010-12-31,95.45
2010-11-30,95.02
2010-10-31,94.91
2010-09-30,94.79
2010-08-31,94.86
2010-07-31,94.64
2010-06-30,94.91
2010-05-31,94.92
2010-04-30,94.81
2010-03-31,94.57
2010-02-28,94.11
2010-01-31,93.59
2009-12-31,93.8
2009-11-30,93.55
2009-10-31,93.42
2009-09-30,93.33
2009-08-31,93.56
2009-07-31,93.08
2009-06-30,93.5
2009-05-31,93.38
2009-04-30,93.24
2009-03-31,93.09
2009-02-28,92.92
2009-01-31,92.57
2008-12-31,92.95
2008-11-30,93.18
2008-10-31,93.62
2008-09-30,93.67
2008-08-31,93.73
2008-07-31,93.76
2008-06-30,93.96
2008-05-31,93.62
2008-04-30,93.12
2008-03-31,92.81
2008-02-29,92.12
2008-01-31,91.92
2007-12-31,92.03
2007-11-30,91.69
2007-10-31,91.19
2007-09-30,90.96
2007-08-31,90.86
2007-07-31,90.49
2007-06-30,90.72
2007-05-31,90.61
2007-04-30,90.39
2007-03-31,89.95
2007-02-28,89.57
2007-01-31,89.4
2006-12-31,89.71
2006-11-30,89.5
2006-10-31,89.4
2006-09-30,89.6
2006-08-31,89.8
2006-07-31,89.5
2006-06-30,89.65
2006-05-31,89.65
2006-04-30,89.27
2006-03-31,88.89
2006-02-28,88.64
2006-01-31,88.3
2005-12-31,88.4
2005-11-30,88.3
2005-10-31,88.5
2005-09-30,88.5
2005-08-31,88.1
2005-07-31,87.8
2005-06-30,87.9
2005-05-31,87.8
2005-04-30,87.8
2005-03-31,87.6
2005-02-28,87.0
2005-01-31,86.5
2004-12-31,87.0
2004-11-30,86.9
2004-10-31,86.8
2004-09-30,86.6
2004-08-31,86.6
2004-07-31,86.4
2004-06-30,86.5
2004-05-31,86.5
2004-04-30,86.2
2004-03-31,85.9
2004-02-29,85.6
2004-01-31,85.2
2003-12-31,85.2
2003-11-30,85.1
2003-10-31,85.0
2003-09-30,84.9
2003-08-31,84.5
2003-07-31,84.3
2003-06-30,84.4
2003-05-31,84.3
2003-04-30,84.4
2003-03-31,84.5
2003-02-28,84.2
2003-01-31,83.6
2002-12-31,83.4
2002-11-30,83.3
2002-10-31,83.3
2002-09-30,83.1
2002-08-31,83.0
2002-07-31,82.8
2002-06-30,82.8
2002-05-31,82.8
2002-04-30,82.7
2002-03-31,82.4
2002-02-28,82.0
2002-01-31,81.9
2001-12-31,81.6
2001-11-30,81.5
2001-10-31,81.7
2001-09-30,81.6
2001-08-31,81.5
2001-07-31,81.5
2001-06-30,81.6
2001-05-31,81.6
2001-04-30,81.1
2001-03-31,80.7
2001-02-28,80.4
2001-01-31,80.1
2000-12-31,80.5
2000-11-30,80.5
2000-10-31,80.3
2000-09-30,80.4
2000-08-31,80.0
2000-07-31,79.9
2000-06-30,80.0
2000-05-31,79.8
2000-04-30,79.6
2000-03-31,79.6
2000-02-29,79.3
2000-01-31,79.2
1999-12-31,79.2
1999-11-30,78.8
1999-10-31,78.8
1999-09-30,78.7
1999-08-31,78.6
1999-07-31,78.5
1999-06-30,78.7
1999-05-31,78.7
1999-04-30,78.7
1999-03-31,78.5
1999-02-28,78.2
1999-01-31,78.0
1998-12-31,78.2
1998-11-30,78.1
1998-10-31,78.2
1998-09-30,78.2
1998-08-31,78.2
1998-07-31,78.2
1998-06-30,78.4
1998-05-31,78.4
1998-04-30,78.4
1998-03-31,78.2
1998-02-28,78.1
1998-01-31,77.8
1997-12-31,78.0
1997-11-30,78.0
1997-10-31,77.8
1997-09-30,77.9
1997-08-31,77.8
1997-07-31,77.6
1997-06-30,77.6
1997-05-31,77.7
1997-04-30,77.6
1997-03-31,77.5
1997-02-28,77.5
1997-01-31,77.3
1996-12-31,77.1
1996-11-30,77.0
1996-10-31,77.0
1996-09-30,76.8
1996-08-31,76.6
1996-07-31,76.8
1996-06-30,76.9
1996-05-31,77.0
1996-04-30,76.8
1996-03-31,76.8
1996-02-29,76.3
1996-01-31,76.0
1995-12-31,75.9
1995-11-30,75.8
1995-10-31,75.8
1995-09-30,75.7
1995-08-31,75.4
1995-07-31,75.0
1995-06-30,75.2
1995-05-31,75.2
1995-04-30,75.1
1995-03-31,75.0
1995-02-28,74.8
1995-01-31,74.5
1994-12-31,74.3
1994-11-30,74.4
1994-10-31,74.3
1994-09-30,74.2
1994-08-31,74.0
1994-07-31,74.0
1994-06-30,74.0
1994-05-31,74.0
1994-04-30,73.8
1994-03-31,73.6
1994-02-28,73.5
1994-01-31,73.3
1993-12-31,73.2
1993-11-30,73.2
1993-10-31,73.1
1993-09-30,73.0
1993-08-31,72.8
1993-07-31,72.8
1993-06-30,72.7
1993-05-31,72.8
1993-04-30,72.6
1993-03-31,72.6
1993-02-28,72.2
1993-01-31,71.9
1992-12-31,71.7
1992-11-30,71.7
1992-10-31,71.6
1992-09-30,71.4
1992-08-31,71.2
1992-07-31,71.3
1992-06-30,71.3
1992-05-31,71.4
1992-04-30,71.1
1992-03-31,71.0
1992-02-29,70.7
1992-01-31,70.4
1991-12-31,70.3
1991-11-30,70.6
1991-10-31,70.3
1991-09-30,69.9
1991-08-31,69.8
1991-07-31,69.7
1991-06-30,69.6
1991-05-31,69.4
1991-04-30,69.2
1991-03-31,69.0
1991-02-28,68.8
1991-01-31,68.6
1990-12-31,68.3
1990-11-30,68.3
1990-10-31,68.4
1990-09-30,68.1
1990-08-31,67.6
1990-07-31,67.2
1990-06-30,67.2
1990-05-31,67.2
1990-04-30,67.1
1990-03-31,66.7
1990-02-28,66.6
1990-01-31,66.4
