Date,Value
2023-05-31,121.7
2023-04-30,121.4
2023-03-31,120.3
2023-02-28,119.4
2023-01-31,119.3
2022-12-31,121.1
2022-11-30,120.8
2022-10-31,120.0
2022-09-30,115.6
2022-08-31,113.8
2022-07-31,112.8
2022-06-30,114.1
2022-05-31,112.7
2022-04-30,111.7
2022-03-31,111.3
2022-02-28,108.7
2022-01-31,107.8
2021-12-31,107.8
2021-11-30,107.3
2021-10-31,106.6
2021-09-30,105.7
2021-08-31,104.3
2021-07-31,104.1
2021-06-30,105.2
2021-05-31,105.0
2021-04-30,105.1
2021-03-31,104.2
2021-02-28,102.4
2021-01-31,102.6
2020-12-31,103.5
2020-11-30,103.3
2020-10-31,103.3
2020-09-30,102.7
2020-08-31,101.8
2020-07-31,103.1
2020-06-30,103.8
2020-05-31,103.8
2020-04-30,104.1
2020-03-31,103.6
2020-02-29,101.4
2020-01-31,101.9
2019-12-31,103.8
2019-11-30,103.6
2019-10-31,103.9
2019-09-30,103.7
2019-08-31,102.3
2019-07-31,102.3
2019-06-30,104.2
2019-05-31,104.1
2019-04-30,104.0
2019-03-31,103.5
2019-02-28,101.2
2019-01-31,101.5
2018-12-31,103.3
2018-11-30,103.4
2018-10-31,103.7
2018-09-30,103.5
2018-08-31,101.8
2018-07-31,102.0
2018-06-30,103.4
2018-05-31,103.2
2018-04-30,102.9
2018-03-31,102.4
2018-02-28,100.1
2018-01-31,100.6
2017-12-31,102.1
2017-11-30,101.8
2017-10-31,102.0
2017-09-30,102.0
2017-08-31,100.2
2017-07-31,100.1
2017-06-30,102.0
2017-05-31,102.2
2017-04-30,102.3
2017-03-31,101.5
2017-02-28,99.6
2017-01-31,99.4
2016-12-31,101.1
2016-11-30,100.7
2016-10-31,100.9
2016-09-30,100.7
2016-08-31,98.8
2016-07-31,98.9
2016-06-30,100.8
2016-05-31,100.6
2016-04-30,100.3
2016-03-31,100.1
2016-02-29,98.0
2016-01-31,98.4
2015-12-31,100.6
2015-11-30,100.6
2015-10-31,101.0
2015-09-30,100.6
2015-08-31,98.9
2015-07-31,99.1
2015-06-30,101.0
2015-05-31,100.9
2015-04-30,100.7
2015-03-31,100.3
2015-02-28,98.2
2015-01-31,98.0
2014-12-31,100.5
2014-11-30,100.5
2014-10-31,100.7
2014-09-30,100.4
2014-08-31,98.6
2014-07-31,98.7
2014-06-30,100.8
2014-05-31,100.7
2014-04-30,100.8
2014-03-31,100.3
2014-02-28,98.1
2014-01-31,98.5
2013-12-31,100.5
2013-11-30,100.2
2013-10-31,100.5
2013-09-30,100.5
2013-08-31,98.7
2013-07-31,98.7
2013-06-30,100.5
2013-05-31,100.3
2013-04-30,100.3
2013-03-31,100.0
2013-02-28,97.7
2013-01-31,97.9
2012-12-31,99.9
2012-11-30,99.6
2012-10-31,99.8
2012-09-30,99.6
2012-08-31,97.6
2012-07-31,97.5
2012-06-30,99.3
2012-05-31,99.1
2012-04-30,99.1
2012-03-31,98.2
2012-02-29,95.8
2012-01-31,95.6
2011-12-31,97.4
2011-11-30,97.1
2011-10-31,97.1
2011-09-30,96.3
2011-08-31,94.4
2011-07-31,94.1
2011-06-30,95.8
2011-05-31,95.7
2011-04-30,95.6
2011-03-31,94.6
2011-02-28,92.6
2011-01-31,92.5
2010-12-31,93.9
2010-11-30,93.6
2010-10-31,93.6
2010-09-30,92.9
2010-08-31,92.3
2010-07-31,92.2
2010-06-30,93.0
2010-05-31,92.9
2010-04-30,92.9
2010-03-31,92.0
2010-02-28,90.6
2010-01-31,90.7
2009-12-31,92.0
2009-11-30,91.9
2009-10-31,91.8
2009-09-30,91.4
2009-08-31,90.8
2009-07-31,90.6
2009-06-30,91.7
2009-05-31,91.5
2009-04-30,91.3
2009-03-31,90.7
2009-02-28,89.7
2009-01-31,89.5
2008-12-31,91.0
2008-11-30,91.1
2008-10-31,91.5
2008-09-30,91.1
2008-08-31,90.7
2008-07-31,90.7
2008-06-30,91.2
2008-05-31,90.8
2008-04-30,90.2
2008-03-31,89.7
2008-02-29,88.3
2008-01-31,88.3
2007-12-31,88.9
2007-11-30,88.6
2007-10-31,88.3
2007-09-30,87.7
2007-08-31,87.0
2007-07-31,87.2
2007-06-30,87.7
2007-05-31,87.5
2007-04-30,87.2
2007-03-31,86.6
2007-02-28,85.7
2007-01-31,85.6
2006-12-31,86.5
2006-11-30,86.4
2006-10-31,86.3
2006-09-30,86.2
2006-08-31,85.6
2006-07-31,85.8
2006-06-30,86.0
2006-05-31,85.9
2006-04-30,85.7
2006-03-31,84.9
2006-02-28,83.9
2006-01-31,84.0
2005-12-31,84.7
2005-11-30,84.7
2005-10-31,84.7
2005-09-30,84.1
2005-08-31,83.7
2005-07-31,83.8
2005-06-30,84.0
2005-05-31,84.0
2005-04-30,83.7
2005-03-31,83.1
2005-02-28,82.1
2005-01-31,82.2
2004-12-31,83.0
2004-11-30,82.7
2004-10-31,82.6
2004-09-30,82.3
2004-08-31,81.9
2004-07-31,82.0
2004-06-30,82.2
2004-05-31,82.1
2004-04-30,82.0
2004-03-31,81.3
2004-02-29,80.4
2004-01-31,80.6
2003-12-31,81.1
2003-11-30,81.1
2003-10-31,80.9
2003-09-30,80.6
2003-08-31,80.0
2003-07-31,80.2
2003-06-30,80.3
2003-05-31,80.2
2003-04-30,80.1
2003-03-31,79.5
2003-02-28,78.5
2003-01-31,78.9
2002-12-31,79.1
2002-11-30,78.9
2002-10-31,78.7
2002-09-30,78.3
2002-08-31,77.8
2002-07-31,78.0
2002-06-30,78.1
2002-05-31,78.0
2002-04-30,77.8
2002-03-31,77.2
2002-02-28,76.5
2002-01-31,76.7
2001-12-31,76.8
2001-11-30,76.7
2001-10-31,76.5
2001-09-30,76.1
2001-08-31,75.9
2001-07-31,76.1
2001-06-30,76.3
2001-05-31,76.1
2001-04-30,75.9
2001-03-31,75.3
2001-02-28,74.6
2001-01-31,75.0
