Date,Value
2023-03-31,1218.0
2022-12-31,1203.0
2022-09-30,1186.0
2022-06-30,1161.0
2022-03-31,1142.0
2021-12-31,1122.0
2021-09-30,1106.0
2021-06-30,1082.0
2021-03-31,1068.0
2020-12-31,1059.0
2020-09-30,1054.0
2020-06-30,1047.0
2020-03-31,1052.0
2019-12-31,1044.0
2019-09-30,1039.0
2019-06-30,1032.0
2019-03-31,1026.0
2018-12-31,1025.0
2018-09-30,1024.0
2018-06-30,1015.0
2018-03-31,1011.0
2017-12-31,1006.0
2017-09-30,1004.9
2017-06-30,1000.0
2017-03-31,1000.0
2016-12-31,990.2
2016-09-30,986.1
2016-06-30,982.9
2016-03-31,978.8
2015-12-31,977.2
2015-09-30,982.1
2015-06-30,978.8
2015-03-31,974.7
2014-12-31,976.3
2014-09-30,978.0
2014-06-30,974.7
2014-03-31,972.3
2013-12-31,969.0
2013-09-30,968.2
2013-06-30,959.2
2013-03-31,957.6
2012-12-31,953.5
2012-09-30,955.1
2012-06-30,952.7
2012-03-31,949.4
2011-12-31,944.5
2011-09-30,947.8
2011-06-30,943.7
2011-03-31,934.7
2010-12-31,927.4
2010-09-30,906.2
2010-06-30,896.4
2010-03-31,894.8
2009-12-31,891.5
2009-09-30,893.1
2009-06-30,881.7
2009-03-31,876.8
2008-12-31,874.4
2008-09-30,878.5
2008-06-30,865.4
2008-03-31,851.6
2007-12-31,845.8
2007-09-30,836.1
2007-06-30,832.0
2007-03-31,823.8
2006-12-31,819.7
2006-09-30,821.4
2006-06-30,815.7
2006-03-31,803.4
2005-12-31,798.7
2005-09-30,793.3
2005-06-30,784.4
2005-03-31,777.7
2004-12-31,774.3
2004-09-30,767.5
2004-06-30,762.7
2004-03-31,756.6
2003-12-31,753.9
2003-09-30,748.5
2003-06-30,745.1
2003-03-31,745.1
2002-12-31,742.4
2002-09-30,737.6
2002-06-30,734.2
2002-03-31,726.8
2001-12-31,722.7
2001-09-30,718.6
2001-06-30,714.6
2001-03-31,708.4
2000-12-31,709.8
2000-09-30,701.7
2000-06-30,692.2
2000-03-31,687.4
1999-12-31,682.7
1999-09-30,681.3
1999-06-30,678.6
1999-03-31,677.3
1998-12-31,679.2
1998-09-30,684.8
1998-06-30,681.1
1998-03-31,678.0
1997-12-31,676.7
1997-09-30,673.0
1997-06-30,669.9
1997-03-31,669.3
1996-12-31,671.2
1996-09-30,666.2
1996-06-30,662.5
1996-03-31,657.6
1995-12-31,654.5
1995-09-30,650.8
1995-06-30,649.5
1995-03-31,643.3
1994-12-31,635.9
1994-09-30,628.5
1994-06-30,621.1
1994-03-31,618.6
1993-12-31,618.6
1993-09-30,617.5
1993-06-30,614.3
1993-03-31,610.6
1992-12-31,610.1
1992-09-30,608.5
1992-06-30,606.4
1992-03-31,604.8
1991-12-31,602.1
1991-09-30,602.7
1991-06-30,600.5
1991-03-31,600.0
1990-12-31,596.3
1990-09-30,589.9
1990-06-30,584.1
1990-03-31,574.0
1989-12-31,568.7
1989-09-30,561.8
1989-06-30,542.7
1989-03-31,536.4
1988-12-31,530.5
1988-09-30,524.3
1988-06-30,519.7
1988-03-31,515.6
1987-12-31,506.6
1987-09-30,496.4
1987-06-30,488.7
1987-03-31,473.2
1986-12-31,462.3
1986-09-30,424.5
1986-06-30,410.8
1986-03-31,400.0
1985-12-31,391.0
1985-09-30,382.3
1985-06-30,372.1
1985-03-31,354.1
1984-12-31,339.2
1984-09-30,328.7
1984-06-30,319.1
1984-03-31,312.2
1983-12-31,310.1
1983-09-30,307.1
1983-06-30,304.7
1983-03-31,301.8
1982-12-31,299.3
1982-09-30,291.4
1982-06-30,281.3
1982-03-31,267.9
1981-12-31,259.6
1981-09-30,249.9
1981-06-30,240.5
1981-03-31,231.3
1980-12-31,224.4
1980-09-30,216.5
1980-06-30,209.0
1980-03-31,200.7
1979-12-31,193.2
1979-09-30,186.1
1979-06-30,177.2
1979-03-31,169.5
1978-12-31,165.8
1978-09-30,161.6
1978-06-30,157.7
1978-03-31,153.6
1977-12-31,150.6
1977-09-30,145.4
1977-06-30,140.4
1977-03-31,134.0
1976-12-31,130.6
1976-09-30,127.1
1976-06-30,123.2
1976-03-31,117.9
1975-12-31,112.9
1975-09-30,108.4
1975-06-30,104.6
1975-03-31,100.6
1974-12-31,97.6
1974-09-30,94.4
1974-06-30,91.0
1974-03-31,88.9
1973-12-31,86.7
1973-09-30,84.7
1973-06-30,82.8
1973-03-31,80.6
1972-12-31,78.7
1972-09-30,77.8
1972-06-30,77.0
1972-03-31,76.0
1971-12-31,74.6
1971-09-30,73.0
1971-06-30,71.6
1971-03-31,70.1
1970-12-31,68.4
1970-09-30,65.7
1970-06-30,64.5
1970-03-31,63.5
1969-12-31,62.2
1969-09-30,61.9
1969-06-30,61.3
1969-03-31,60.7
1968-12-31,59.8
1968-09-30,59.0
1968-06-30,58.3
1968-03-31,57.5
1967-12-31,56.9
1967-09-30,56.9
1967-06-30,56.3
1967-03-31,54.8
1966-12-31,53.4
1966-09-30,53.2
1966-06-30,52.9
1966-03-31,52.6
1965-12-31,52.2
1965-09-30,51.9
1965-06-30,51.2
1965-03-31,51.1
1964-12-31,51.0
1964-09-30,50.2
1964-06-30,49.4
1964-03-31,49.0
1963-12-31,48.8
1963-09-30,48.3
1963-06-30,48.0
1963-03-31,47.8
1962-12-31,47.7
1962-09-30,47.4
1962-06-30,47.1
1962-03-31,46.9
1961-12-31,46.8
1961-09-30,46.3
1961-06-30,45.6
1961-03-31,45.6
1960-12-31,45.8
1960-09-30,45.3
1960-06-30,45.0
1960-03-31,44.9
1959-12-31,45.1
1959-09-30,45.2
1959-06-30,44.8
1959-03-31,44.6
1958-12-31,44.6
1958-09-30,44.3
1958-06-30,42.3
1958-03-31,41.9
1957-12-31,41.9
1957-09-30,41.7
1957-06-30,41.4
1957-03-31,40.8
1956-12-31,41.1
1956-09-30,41.1
1956-06-30,40.3
1956-03-31,39.7
1955-12-31,39.3
1955-09-30,39.3
1955-06-30,39.2
1955-03-31,38.9
1954-12-31,38.3
1954-09-30,38.4
1954-06-30,38.4
1954-03-31,37.7
1953-12-31,37.4
1953-09-30,36.6
1953-06-30,36.2
1953-03-31,35.8
