,Date,Aquila Investment Management ,Alger Funds,Sentinel Asset Management,EquiTrust Life Insurance Company,Timothy Plan,Natixis Asset Management,Advanced Asset Management,Madison Mosaic,Direxion Funds,Semper Capital Management,"Scout Investments, Inc.",Selected Funds,Saratoga Capital  Management,Value Line,TCW Investment Management,Bishop Street Capital,Old Mutual Capital,JNF Advisors Inc,RMB Asset Management,Pyxis Funds,Ambassador Funds,Madison Investment,Nicholas Funds,Trust for Credit Unions,Russell,TCG Financial Services,Weitz Investment Management,US Global Investors,Milestone,Eaton Vance,OneAmerica Funds,Shelton Capital Management,Forward Funds,Alpine,Pacific Capital Investments,Performance Funds,Ohio National Investments,Sun Life Financial,First Investors Management,Macquarie,Harbor,Securian Financial,RS Funds,Penn Mutual Life,Sterling Capital,Mutual of America,ProFunds,Homestead,Davis Funds,Hancock Horizon,Pacific Life,Calvert,RBB Fund,State Farm,Williams Capital Management,CLS AdvisorOne,Miles Capital,Meeder Funds,Pioneer Investments,Victory Capital Management,Touchstone,GE Asset Management,Paydenfunds,Northwestern Mutual,Valic,William Blair,Huntington,SunAmerica,Virtus,Mass Mutual,Hartford Mutual Funds,Lord Abbett,Allianz,Glenmede,Fifth Third,Guggenheim Investments,Lincoln National,Highmark,Great-West Funds,Plan Investment Fund,American Beacon,PIMCO,Janus,AXA Equitable,Bank of New York Mellon,GuideStone Funds,MainStay Funds,Ivy Funds,Transamerica,Voya,Thrivent Financial,Gabelli Funds,Brown Brothers Harriman,Principal Funds,Putnam,Mount Vernon,Nationwide,Cavanal Hill,Reich & Tang,Public Financial Management,John Hancock,BMO Funds,TD Asset Management,Jackson National,CNI Charter,American Century,PNC Investments,MFS Investment,Oppenheimer,USAA,Wilmington Funds,AllianceBernstein,TIAA-CREF,SEI Investments,Columbia,Royal Bank of Canada,Dimensional,Franklin Templeton,Bank of America,HSBC,Prudential,DWS Investments,T. Rowe Price,UBS,First American,American Funds,Invesco,Legg Mason,Northern Trust Funds,State Street,Allspring Funds,Morgan Stanley,Schwab,Dreyfus,Goldman Sachs,Federated,Blackrock,JP Morgan,Vanguard,Fidelity
148,05-31-2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5275355.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24244126.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224138723.65,0.0,146718422.33,0.0,431199933.09,36867399.09,207464742.14,113850192.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650937040.84,338465857.44,0.0,0.0,152012606.95,450614363.76,550914688.37,0.0,0.0,0.0,0.0,0.0,420415734.08,0.0,815070091.15,509721266.84,0.0,0.0,367526307.02,1303455765.21,0.0,627760193.25,1336472129.47,690321620.15,1905231057.58,1563933558.31,2079908220.7,772853622.34,1557454627.11,2507585343.3,0.0,1402086102.66,1968123849.76,2246271106.2,3596738590.46,5320224475.75,4532620873.76,1077636867.64,0.0,3994711035.62,4272459580.1,0.0,0.0,6345547011.15,0.0,0.0,5801483888.01,7519654707.56,5312917162.36,0.0,6910903504.81,0.0,3236893784.55,11871227644.81,18210916185.33,11191779857.84,11170060586.44,17257326750.77,16512121644.38,13641030478.97,11898728635.7,0.0,39598035188.55,25891851361.41,35146586868.67,48831459044.25,89229717481.13,126098454419.64,194627173494.72,170646550444.71,48206296493.82,151572728150.69,160271309907.53,165061081767.82,254747751475.16,377012554104.03,255119467954.16,446035819209.75,385469696322.1,470870912945.32,571438178929.68,523105195336.69,1132651455370.72
147,04-30-2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4977671.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23676798.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222637145.43,0.0,148146342.6,0.0,415309365.56,37757746.64,206535844.26,110060851.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628597332.49,325926931.69,0.0,0.0,152969767.85,507190219.24,536112511.05,0.0,0.0,0.0,0.0,0.0,499235355.92,0.0,853288960.47,457978484.28,0.0,0.0,384030449.33,1304248137.46,0.0,615194029.25,1283851977.15,582642093.94,1689859106.79,1548949874.34,2197964450.7,615306411.4,1568543738.81,2723444334.39,0.0,1418745925.07,1995823340.0,2201744496.26,3746397539.94,5124000665.35,4324779594.11,1041566828.03,0.0,3244936885.9,3751725569.32,0.0,0.0,6819626170.37,0.0,0.0,6014214959.92,5871994102.79,4931109338.31,0.0,7448239087.62,0.0,3055646077.25,11848804550.94,17474361130.55,11205417493.97,11048933122.31,17534582743.55,14521643080.87,14883298079.3,12938010766.08,0.0,36422265211.48,26638819448.82,34286992578.21,50205360481.96,88546814166.2,121280259970.29,190173926921.39,160309028947.84,51704858004.35,144451515872.77,163209255545.24,156252513470.97,267263809844.47,372253589453.85,256270990160.05,441667597844.97,393268656915.41,484212807187.97,522172780373.16,522743403307.78,1084496390592.64
146,03-31-2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5283851.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23857919.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223642130.84,0.0,154247283.66,0.0,412690061.15,38755573.84,204521760.23,112360452.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621117097.2,325528200.24,0.0,0.0,154087954.57,488516979.32,543679235.94,0.0,0.0,0.0,0.0,0.0,448802498.02,0.0,836253305.14,483184472.35,0.0,0.0,374750174.39,1247917255.53,0.0,622195644.0,1719828729.62,592307659.43,2570048997.94,1564476162.7,1933854300.0,672223422.58,1574113039.1,2479121420.42,0.0,1370500134.79,1518915045.0,2078008907.4,3655686055.21,5376941521.5,4504254181.07,1033154931.33,0.0,3092263890.12,3653469053.93,0.0,0.0,6787325503.85,0.0,0.0,5970798853.61,5784031035.7,4608732497.03,0.0,7277686592.98,0.0,3124315106.77,11555104831.76,15695290008.55,10995156008.74,11198236946.49,16468065329.43,15749518909.65,14401985928.69,12247455083.3,0.0,36898518867.27,23858058852.92,32619163403.31,46431597536.22,90127338486.06,122632134194.78,166265213337.47,159485359570.73,58917489314.12,144486404204.26,157140896919.11,151730081289.4,254554051312.17,356025936144.98,257570333149.45,451924712898.0,384465822377.27,477711204250.97,514435928812.84,514531517546.56,1102209593699.98
145,02-28-2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4917978.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23145795.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224961190.25,0.0,161315036.82,0.0,406867770.29,37376947.12,207541963.12,97020907.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742015729.69,311150863.8,0.0,0.0,154253062.34,476387683.26,532097772.63,0.0,0.0,0.0,0.0,0.0,441794257.15,0.0,808752395.78,444152482.2,0.0,0.0,362374066.78,1255388965.98,0.0,607374650.0,1360781400.04,708833788.05,1497457823.6,1561376661.01,1794802195.1,631159956.64,1540179873.71,2680650474.57,0.0,1390614483.69,1793005573.35,2025475580.08,3448473047.44,4959523855.8,4163289421.62,1014658844.8,0.0,3051536585.27,3345430764.84,0.0,0.0,6213851210.65,0.0,0.0,5825293128.06,4544396067.97,4426134395.75,0.0,7625170007.24,0.0,3140353527.35,10505520271.04,13621374308.31,10829806418.92,10494922682.63,15827209769.7,12329556854.02,13641504494.06,10414774135.15,0.0,34545743519.37,19816857274.31,30705899904.17,46332849225.54,85637417702.92,112941396869.01,170302974142.62,160714014768.88,65611045259.64,134335226601.78,132528016811.42,148574738027.42,225851911521.74,324089414589.6,269847499799.42,395218404903.65,357858340480.0,446014225122.53,438834336000.66,483798016221.17,1037043064321.53
144,01-31-2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5038945.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22577516.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226386489.52,0.0,167073853.62,0.0,402080917.09,36610337.82,214955483.36,100443779.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685146294.75,322730322.99,0.0,0.0,155298215.9,473852282.04,548975952.92,0.0,0.0,0.0,0.0,0.0,426647844.38,0.0,827302178.23,511006628.59,0.0,0.0,339390095.95,1268480564.25,0.0,614314600.0,1233242886.06,685148607.56,1479963602.85,1591691665.01,1770447509.8,669775572.32,1625859133.15,2399363498.54,0.0,1381431533.53,1778493250.0,1814587874.18,3369393632.33,5359611228.55,4258764940.15,1047390742.66,0.0,2986454567.02,3573969924.16,0.0,0.0,6524202099.55,0.0,0.0,6084984122.06,4709019744.47,4543201187.33,0.0,7146282672.64,0.0,3100931433.59,10280115691.26,13551962115.39,11173269823.28,11616837324.98,16573992552.84,9507146200.33,12113010191.65,11462573092.7,0.0,37598853319.92,19853552304.46,34226816825.47,45782968007.65,83038489109.04,112568008685.24,173444114885.56,160459999033.62,74929861193.97,137047646983.09,138658891066.62,147324877779.4,220480677774.35,300240627150.57,278850554127.08,388785771769.58,348471133437.73,450405456819.64,435914721147.54,478889496408.32,1018565584887.18
143,12-31-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5850741.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22692756.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223089711.6,0.0,165470944.01,0.0,369706982.35,36612251.57,206033111.41,121376361.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694126179.21,328548343.56,0.0,0.0,158969653.05,408656866.81,539306293.44,0.0,0.0,0.0,0.0,0.0,437035223.61,0.0,1006550842.62,492102881.81,0.0,0.0,497461035.05,1227739696.39,0.0,609889925.0,1371477644.34,560299436.24,1370801000.0,1606782093.1,1718784815.0,714104880.22,1574774082.97,2502624462.19,0.0,1398649004.32,1756113761.0,1659317752.31,2549198544.84,5076737523.47,4172436260.07,1039206910.54,0.0,3057379197.3,3535829786.89,0.0,0.0,6617935040.95,0.0,0.0,6267035201.87,5982479022.57,4342734226.56,0.0,7166674493.49,0.0,3054119877.91,10526177317.18,13271354589.92,10717367793.08,11333176202.36,15398442939.54,9343162912.81,11310938643.66,11333558859.63,0.0,42327697033.91,18173346871.27,36412046898.65,50123139162.86,74801993725.71,114767395216.59,168697894215.84,150511361322.54,59867052200.43,126398368357.04,159067736448.66,154114713348.79,246363807212.38,277235444333.03,264885190403.24,400963019044.54,361241075153.96,458074076372.38,425725911941.55,477327491942.63,975185851400.49
142,11-30-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5534973.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23017466.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49774456.09,226844382.47,0.0,170431294.66,0.0,370779802.85,39396391.9,204889637.41,105031015.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747688468.03,322056683.21,0.0,0.0,153649035.27,360059187.76,538571758.8,0.0,0.0,0.0,0.0,0.0,446142541.89,0.0,789778913.6,497209150.03,0.0,0.0,447891428.36,1203453234.74,0.0,639804800.0,1223560939.49,544890931.42,1307334003.36,1595430929.8,1735033243.0,646163661.48,1646861413.74,2658964469.02,0.0,1426540082.55,1526711601.0,1651192699.66,2739501359.08,5031205588.0,3837110478.42,1021677266.56,0.0,3056293935.62,3499503717.54,0.0,0.0,6189992258.52,0.0,0.0,6491697853.44,5030769483.28,4560115853.87,0.0,7624051899.97,0.0,3036654363.8,10368854780.39,12646415601.57,10373440411.01,11242221536.32,15908192370.21,7711473861.33,14845619620.94,12486677634.9,0.0,64773965942.18,19008348600.11,37519203434.04,51368283528.76,64857807855.51,116160660041.25,207201002182.78,143177395554.02,56443952311.72,138446217562.19,158030148213.8,152641853807.48,246110999988.2,248760473748.45,234840768914.8,431035643780.39,331962702936.74,455078204022.54,404365072315.56,456439471615.86,957971305469.83
141,10-31-2022,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5700371.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23012876.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72669346.92,230707871.79,0.0,173702138.95,0.0,375076859.77,37960606.35,212757793.05,95558045.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711428633.27,316631161.2,0.0,0.0,153472188.88,507882255.96,539740548.28,0.0,0.0,0.0,0.0,0.0,441009199.63,0.0,760715001.08,501869424.17,0.0,0.0,527264819.09,1221121050.0,0.0,636301455.0,1377646892.2,682575103.88,1542096089.66,1614632623.02,1768517458.5,691351634.88,1539993923.55,2821382777.79,0.0,1459732814.34,1763885500.0,1753912117.83,2884547523.53,4761297892.16,3964862302.48,1052046837.7,0.0,3180058075.44,3540933470.05,0.0,0.0,6364150603.98,0.0,0.0,7053511722.05,4736695507.31,4549051628.87,0.0,7581861880.93,0.0,3026654185.75,10329791845.86,12994494706.18,10307448956.49,11517517795.16,16275382248.53,8545128358.69,15751226876.43,11082956457.07,0.0,64984544575.76,22023799973.82,37068609497.79,50392608291.38,57029824852.36,114339800277.14,211572409456.37,132196374625.45,51606986381.71,139090470846.96,171629453681.02,150654106060.76,249795847340.99,234464890375.05,246219029833.83,424144674283.55,337118715002.94,462795548389.29,413313018546.11,461476506670.05,955658615817.03
140,09-30-2022,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5620689.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31492319.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84022294.36,229310096.92,0.0,176930694.71,0.0,305539954.94,39713636.67,217815527.82,102324147.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666889747.69,304658870.15,0.0,0.0,153880451.51,464311529.6,550642853.52,0.0,0.0,0.0,0.0,0.0,401764063.5,0.0,715090556.37,526007675.92,0.0,0.0,620401406.39,1256593219.14,0.0,620646604.6,1456033544.99,609956285.82,1554634675.38,1590101804.85,1795758968.41,674809637.05,1721306469.46,2580000877.21,0.0,1492092658.93,1565671650.0,1706571223.01,2826382449.51,4677614868.94,4571251162.85,1060020234.66,0.0,3102929283.35,3287480756.65,0.0,0.0,7537175096.62,0.0,0.0,6644765342.92,4568219745.58,4439434944.07,0.0,7985457175.24,0.0,3000417750.25,10245082876.32,12500669685.29,10085095859.75,11817295679.07,16067181300.68,8684952585.97,13727009963.01,11707362749.43,0.0,53764342148.24,18823787236.51,38243946355.62,49556183974.38,55170210526.89,119322962880.23,215111025233.58,119128030252.05,42478198585.88,141413670736.29,190758659735.73,154669222337.41,270473784290.95,211606104794.4,236239710809.27,400239078013.86,334892022820.31,464305286120.29,415426177728.58,456702546950.5,929300810655.82
139,08-31-2022,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5313079.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30802248.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88153706.52,229957236.94,0.0,175143423.18,0.0,214064824.24,34857915.84,196366485.48,94841726.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720358980.32,299898014.12,0.0,0.0,153552181.36,428768706.55,556889384.4,0.0,0.0,0.0,0.0,0.0,368468015.45,0.0,872953239.26,602608001.61,0.0,0.0,411392908.55,1272396355.64,0.0,611933168.4,1263825247.08,698461165.4,1449838817.95,1572267357.76,1722862219.05,687488531.08,2018827068.32,2630507635.23,0.0,1477758761.93,1692513823.0,1587521354.26,2575674022.56,4922566486.55,4707573832.99,1056333283.96,0.0,2917448771.26,3120187381.7,0.0,0.0,6922561988.49,0.0,0.0,7142795105.17,4574790512.53,4419774694.03,0.0,9174579488.76,0.0,2969605994.99,9960600300.92,13869812210.64,10131139450.65,12199294617.09,17344423390.59,9597066259.71,13800164256.68,11564488258.07,0.0,63909415604.69,20292505060.63,36468998904.04,55056570312.58,51944985291.52,116885439819.26,210570332954.33,117219839908.31,46313139646.53,147982347674.28,193689536957.26,152832061749.74,264245682753.17,195496861298.64,248062962823.58,383057333682.81,332775581016.53,466675697524.59,419417626924.38,460354529252.69,926698311279.89
