,implied_volatility,open_interest,break_even_price,day_close,day_high,last_updated,day_low,day_open,day_change_percent,day_change,previous_close,day_volume,day_vwap,contract_type,exercise_style,expiration_date,shares_per_contract,strike_price,option_symbol,delta,gamma,theta,vega,ask,ask_size,bid,bid_size,quote_last_updated,midpoint,conditions,exchange,price,sip_timestamp,size,change_to_break_even,underlying_last_updated,underlying_price,underlying_ticker
1566,0.24656584573248105,1426,4.635,,,1.6881552e+18,,,,,1.55,,,call,american,2025-06-20,100,3.0,,0.9336815909485576,0.08797187936473162,-0.0004664203408666213,0.008897063001507735,1.75,9,1.52,2,,1.635,[209],313.0,1.55,1.688151966296997e+18,1.0,0.335,,,
1488,0.3184706162241066,3667,4.4,,,1.6881552e+18,,,,,1.38,,,call,american,2024-01-19,100,3.0,,0.9617937174333008,0.08264510255056812,-0.0005920488293614822,0.0022175987947528515,1.5,49,1.3,564,,1.4,[209],315.0,1.38,1.6881549500989773e+18,1.0,0.1,,,
1412,0.3420543499096392,1088,4.385,,,1.6881552e+18,,,,,1.37,,,call,american,2023-12-15,100,3.0,,0.962679222706929,0.08266461568784021,-0.0006273036079208845,0.0020747941315279366,1.49,8,1.28,5,,1.385,[236],322.0,1.37,1.6881470332009457e+18,2.0,0.085,,,
1090,0.3993761527283384,114,25.0,,,1.6869456e+18,,,,,15.43,,,call,american,2024-10-18,100,10.0,,0.9903304027747213,0.0023464957080624395,-0.001566453918537212,0.006391551355389171,17.0,212,13.0,230,,15.0,[232],312.0,15.43,1.686945533389e+18,1.0,0.68,,,
22,0.4212436069435185,837,24.705,,,1.6881552e+18,,,,,0.75,,,call,american,2023-07-07,100,24.0,,0.6141860032303157,0.2975147128107889,-0.04474903092366949,0.012060647807709282,0.75,2,0.66,8,,0.705,[233],302.0,0.75,1.688155060785725e+18,5.0,0.385,,,
71,0.4220349860145181,8,24.3,,,1.6881552e+18,,,,,1.85,,,put,american,2023-07-07,100,26.5,,-0.9485773679880104,0.09282132352281261,-0.009892638976571605,0.003053232686644579,2.48,20,1.92,444,,2.2,[232],312.0,1.85,1.688134679983369e+18,4.0,-0.02,,,
65,0.4331797501786147,675,23.29,,,1.6881552e+18,,,,,0.21,,,put,american,2023-07-07,100,23.5,,-0.2527592376975643,0.24201635018455903,-0.035915279656210136,0.01038647789923844,0.23,168,0.19,476,,0.21,[209],315.0,0.21,1.688155198212053e+18,5.0,-1.03,,,
1545,0.4393883683708515,5500,5.2,,,1.6881552e+18,,,,,1.05,,,call,american,2025-01-17,100,4.0,,0.7077796669021912,0.1471653723957385,-0.0009795690485713568,0.01836283168536572,1.35,5,1.05,22,,1.2,[209],313.0,1.05,1.6881521479115784e+18,1.0,0.9,,,
1033,0.44860352849465907,1,25.15,,,1.687896e+18,,,,,11.05,,,call,american,2024-06-21,100,13.0,,0.96081406839311,0.007952959497236787,-0.002858744615810495,0.02503439880341156,12.95,141,11.35,185,,12.15,[209],313.0,11.05,1.687874310447e+18,1.0,0.83,,,
773,0.45124219728280734,248,24.55,,,1.6849584e+18,,,,,13.15,,,call,american,2023-12-15,100,10.0,,0.9994226588968725,0.0002729638605342294,-0.001398619325076254,0.0006558988495015365,15.05,345,14.05,168,,14.55,[209],316.0,13.15,1.684935875007e+18,1.0,0.23,,,
