,implied_volatility,open_interest,break_even_price,day_close,day_high,last_updated,day_low,day_open,day_change_percent,day_change,previous_close,day_volume,day_vwap,contract_type,exercise_style,expiration_date,shares_per_contract,strike_price,option_symbol,delta,gamma,theta,vega,ask,ask_size,bid,bid_size,quote_last_updated,midpoint,conditions,exchange,price,sip_timestamp,size,change_to_break_even,underlying_last_updated,underlying_price,underlying_ticker
249,0.11999500115785035,44255,194.825,,,1.6881552e+18,,,,,10.02,,,call,american,2023-07-21,100,185.0,,0.9691137369672802,0.01276897203310069,-0.031780619669788825,0.038456626541641635,10.15,5,9.5,1,,9.825,[232],308.0,10.02,1.688155197978857e+18,1.0,0.525,,,
248,0.12574242238100147,732,194.775,,,1.6881552e+18,,,,,12.5,,,call,american,2023-07-21,100,182.5,,0.9881363638324028,0.0053260745053581035,-0.026753011679572898,0.01862353547635473,13.1,49,11.45,5,,12.275,[209],316.0,12.5,1.6881550390373082e+18,28.0,0.475,,,
37,0.1343165449989862,17886,195.015,,,1.6881552e+18,,,,,2.49,,,call,american,2023-07-07,100,192.5,,0.7243324891569208,0.1016999005688821,-0.11219740652200148,0.08281340284540278,2.54,18,2.49,11,,2.515,[209],316.0,2.49,1.6881551994406433e+18,1.0,0.715,,,
143,0.1391474205145053,1564,194.775,,,1.6881552e+18,,,,,7.4,,,call,american,2023-07-14,100,187.5,,0.9255019305739329,0.027836216466912696,-0.04943357752512788,0.057973398391853434,7.35,1,7.2,1,,7.275,[209],307.0,7.4,1.6881551423061043e+18,1.0,0.475,,,
38,0.14063073364212728,30876,196.135,,,1.6881552e+18,,,,,1.13,,,call,american,2023-07-07,100,195.0,,0.43954492554560004,0.11473796025094689,-0.12790852378847714,0.09835848442077287,1.16,44,1.11,8,,1.135,[209],304.0,1.13,1.6881551992016292e+18,1.0,1.835,,,
258,0.1420492089329425,190,207.57,,,1.6881552e+18,,,,,0.14,,,call,american,2023-07-21,100,207.5,,0.027912369151079235,0.009926354235488901,-0.011027686939770076,0.027665147052251995,0.14,211,0.0,0,,0.07,[209],313.0,0.14,1.6881551961483587e+18,1.0,13.27,,,
145,0.14414260005657414,2640,195.8,,,1.6881552e+18,,,,,3.49,,,call,american,2023-07-14,100,192.5,,0.6627557149095171,0.07093738743663902,-0.09192110595721661,0.14036625135437028,3.5,53,3.1,119,,3.3,[233],302.0,3.49,1.688155189399199e+18,1.0,1.5,,,
434,0.1443696282254039,50,195.05,,,1.6881552e+18,,,,,20.0,,,call,american,2023-08-04,100,175.0,,0.9938048232519808,0.0019088227227409217,-0.02351756493703571,0.009699929541165832,21.65,3,18.45,18,,20.05,[209],315.0,20.0,1.6881547345159032e+18,1.0,0.75,,,
147,0.14652716384469885,15463,198.52,,,1.6881552e+18,,,,,1.04,,,call,american,2023-07-14,100,197.5,,0.3006327752351484,0.06559860128376092,-0.08002078780751046,0.13150122795692865,1.09,41,0.95,131,,1.02,[232],312.0,1.04,1.6881551995267643e+18,1.0,4.22,,,
146,0.14879087419980697,8943,196.995,,,1.6881552e+18,,,,,2.0,,,call,american,2023-07-14,100,195.0,,0.4770070856051169,0.07408746666085664,-0.0961733990246223,0.14530081223069857,2.07,30,1.92,2,,1.995,[209],325.0,2.0,1.688155199463448e+18,10.0,2.695,,,
255,0.14925327218643408,77994,200.89,,,1.6881552e+18,,,,,0.88,,,call,american,2023-07-21,100,200.0,,0.22817123056119282,0.04515796214183963,-0.057458191948346234,0.1286865246845265,0.91,65,0.87,6,,0.89,[209],313.0,0.88,1.688155199596645e+18,1.0,6.59,,,
39,0.14974349435536316,23128,197.935,,,1.6881552e+18,,,,,0.44,,,call,american,2023-07-07,100,197.5,,0.20806168395023986,0.07833351477795321,-0.095847827274747,0.06792006961889882,0.45,112,0.42,54,,0.435,[209],301.0,0.44,1.6881551996627328e+18,1.0,3.635,,,
253,0.14991819408142926,47069,197.62,,,1.6881552e+18,,,,,2.7,,,call,american,2023-07-21,100,195.0,,0.49396778519957857,0.05937635381930959,-0.08068987167410145,0.1802593654432938,2.74,27,2.5,2,,2.62,[209],313.0,2.7,1.6881551994388644e+18,4.0,3.32,,,
256,0.15010628165330772,2811,202.965,,,1.6881552e+18,,,,,0.49,,,call,american,2023-07-21,100,202.5,,0.13552390846693374,0.03232883762741532,-0.04090680339690946,0.08847550428993028,0.48,136,0.45,19,,0.465,[227],312.0,0.49,1.6881551934755528e+18,1.0,8.665,,,
148,0.15250547883128593,28530,200.515,,,1.6881552e+18,,,,,0.5,,,call,american,2023-07-14,100,200.0,,0.17227266066137306,0.04624797030184664,-0.05975229024047189,0.10346729138552985,0.53,58,0.5,120,,0.515,[209],302.0,0.5,1.688155198215781e+18,30.0,6.215,,,
254,0.15287848725727632,4522,199.145,,,1.6881552e+18,,,,,1.6,,,call,american,2023-07-21,100,197.5,,0.3549172780906453,0.05438098780824206,-0.07414916680173655,0.16271698575263144,1.69,23,1.6,1,,1.645,[209],315.0,1.6,1.6881551999055516e+18,1.0,4.845,,,
257,0.1533062639122747,22099,205.235,,,1.6881552e+18,,,,,0.26,,,call,american,2023-07-21,100,205.0,,0.0756402402324496,0.02077784525614284,-0.027063578180608238,0.052606257908537,0.25,173,0.22,117,,0.235,[209],301.0,0.26,1.6881551956796913e+18,1.0,10.935,,,
252,0.15714863874855964,4029,196.625,,,1.6881552e+18,,,,,4.12,,,call,american,2023-07-21,100,192.5,,0.6326621565535514,0.05341885634093273,-0.08307429043899321,0.1747845192583556,4.2,322,4.05,48,,4.125,[232],308.0,4.12,1.6881551994440517e+18,1.0,2.325,,,
