,implied_volatility,open_interest,break_even_price,day_close,day_high,last_updated,day_low,day_open,day_change_percent,day_change,previous_close,day_volume,day_vwap,contract_type,exercise_style,expiration_date,shares_per_contract,strike_price,option_symbol,delta,gamma,theta,vega,ask,ask_size,bid,bid_size,quote_last_updated,midpoint,conditions,exchange,price,sip_timestamp,size,change_to_break_even,underlying_last_updated,underlying_price,underlying_ticker
540,1.1708172589282266,2104,49.995,,,1.6855632e+18,,,,,0.01,,,put,american,2023-08-18,100,50.0,,-0.0002079145594560219,9.327522424912792e-06,-0.0006577891227393997,0.0008035912362880668,0.01,450,0.0,0,,0.005,[227],323.0,0.01,1.685549395496e+18,24.0,-144.0,,,
369,1.562793504633232,0,49.995,,,,,,,,,,,put,american,2023-07-28,100,50.0,,-0.00020814700887386247,9.347385119595899e-06,-0.001178970865601241,0.0006144298866070417,0.01,1,0.0,0,,0.005,,,,,,-144.0,,,
272,1.8184600538425617,3897,49.995,,,1.6878096e+18,,,,,0.01,,,put,american,2023-07-21,100,50.0,,-0.00020822427787959305,9.354031063137069e-06,-0.001599452054902497,0.0005316530774826548,0.01,48,0.0,0,,0.005,[209],301.0,0.01,1.687798207777e+18,1.0,-144.0,,,
163,2.26343379307862,0,49.995,,,,,,,,,,,put,american,2023-07-14,100,50.0,,-0.00020830247798513154,9.360730803337276e-06,-0.002482933023298161,0.00043005768647085544,0.01,104,0.0,0,,0.005,,,,,,-144.0,,,
55,3.3747472791842004,0,49.995,,,,,,,,,,,put,american,2023-07-07,100,50.0,,-0.0002083810097777812,9.367461466692175e-06,-0.005530679183527708,0.0002904154238767953,0.01,397,0.0,0,,0.005,,,,,,-144.0,,,
541,1.090138180446448,826,54.995,,,1.6855632e+18,,,,,0.01,,,put,american,2023-08-18,100,55.0,,-0.00022393114614481684,1.073684478153752e-05,-0.0006557103482960252,0.0008425843314954584,0.01,268,0.0,0,,0.005,[209],307.0,0.01,1.68555767239e+18,1.0,-139.0,,,
273,1.6928926042587098,2322,54.995,,,1.6860816e+18,,,,,0.02,,,put,american,2023-07-21,100,55.0,,-0.0002242810730181401,1.076904001811838e-05,-0.0015947365774531853,0.0005585244582706282,0.01,208,0.0,0,,0.005,[209],316.0,0.02,1.686058207195e+18,1.0,-139.0,,,
542,1.0166352707198572,1677,59.995,,,1.685736e+18,,,,,0.01,,,put,american,2023-08-18,100,60.0,,-0.000240673933757214,1.2314805386414384e-05,-0.0006533949793861914,0.0008792809594279766,0.01,475,0.0,0,,0.005,[209],325.0,0.01,1.685714780812e+18,1.0,-134.0,,,
370,1.3566595521136446,0,59.995,,,,,,,,,,,put,american,2023-07-28,100,60.0,,-0.00024096937803044202,1.2343956856473401e-05,-0.0011714543847407557,0.0006742858369705431,0.01,14,0.0,0,,0.005,,,,,,-134.0,,,
274,1.5784776402646383,6050,59.995,,,1.6869456e+18,,,,,0.01,,,put,american,2023-07-21,100,60.0,,-0.00024106884912573057,1.2353765735229775e-05,-0.0015894314083004261,0.0005840216855144645,0.01,104,0.0,0,,0.005,[227],312.0,0.01,1.686927002461e+18,10.0,-134.0,,,
164,1.9645728103108582,0,59.995,,,,,,,,,,,put,american,2023-07-14,100,60.0,,-0.00024116807909837197,1.23635893298756e-05,-0.0024676428117989656,0.00047288705945715525,0.01,104,0.0,0,,0.005,,,,,,-134.0,,,
56,2.9289213086750587,0,59.995,,,,,,,,,,,put,american,2023-07-07,100,60.0,,-0.00024126800993494807,1.2373470485214449e-05,-0.005497229535021754,0.0003196551817786174,0.01,347,0.0,0,,0.005,,,,,,-134.0,,,
627,0.7551583445605364,914,64.995,,,1.6880688e+18,,,,,0.01,,,put,american,2023-09-15,100,65.0,,-0.0002578316863056089,1.404227647511955e-05,-0.00040808863854014055,0.001111986473713229,0.01,34,0.0,0,,0.005,[209],300.0,0.01,1.6880648080988526e+18,5.0,-129.0,,,
543,0.9491438401473566,211,64.995,,,1.6869456e+18,,,,,0.01,,,put,american,2023-08-18,100,65.0,,-0.0002582720285967473,1.4088696863332384e-05,-0.0006508873317554609,0.0009138931090561724,0.01,368,0.0,0,,0.005,[209],302.0,0.01,1.686940301198e+18,1.0,-129.0,,,
275,1.4734031288786396,2160,64.995,,,1.6869456e+18,,,,,0.01,,,put,american,2023-07-21,100,65.0,,-0.00025871686764702224,1.4135719069935925e-05,-0.0015836396723635932,0.0006082916774615167,0.01,112,0.0,0,,0.005,[209],303.0,0.01,1.686926988276e+18,7.0,-129.0,,,
165,1.8337117269047585,0,64.995,,,,,,,,,,,put,american,2023-07-14,100,65.0,,-0.00025882896458744037,1.414758703332948e-05,-0.002458781016145682,0.0004928005208338619,0.01,104,0.0,0,,0.005,,,,,,-129.0,,,
57,2.7336986879949405,0,64.995,,,,,,,,,,,put,american,2023-07-07,100,65.0,,-0.00025894146687056245,1.4159504994550238e-05,-0.0054777766487838575,0.0003332936922996041,0.01,347,0.0,0,,0.005,,,,,,-129.0,,,
814,0.7302829226392584,2275,49.99,,,1.6872912e+18,,,,,0.03,,,put,american,2023-11-17,100,50.0,,-0.00037860896297528995,1.554334884390572e-05,-0.0004197398470689647,0.0012628608039099351,0.02,8,0.0,0,,0.01,[227],309.0,0.03,1.687278695615e+18,600.0,-144.0,,,
451,1.4646480672983684,0,49.99,,,,,,,,,,,put,american,2023-08-04,100,50.0,,-0.0003813701230209762,1.5753509882305593e-05,-0.0017437453052204547,0.0006856092845591507,0.02,2,0.0,0,,0.01,,,,,,-144.0,,,
544,0.8867618668955147,534,69.995,,,1.6878096e+18,,,,,0.01,,,put,american,2023-08-18,100,70.0,,-0.0002768639434940461,1.609107410442703e-05,-0.000648221686897232,0.0009465844379275816,0.01,160,0.0,0,,0.005,[209],300.0,0.01,1.687806151504e+18,4.0,-124.0,,,
276,1.3762660263623454,2198,69.995,,,1.685736e+18,,,,,0.01,,,put,american,2023-07-21,100,70.0,,-0.0002773659540681891,1.614783971153823e-05,-0.0015774518291600077,0.000631451424897999,0.01,1,0.0,0,,0.005,[209],301.0,0.01,1.685712984898e+18,3.0,-124.0,,,
166,1.7127307725449628,0,69.995,,,,,,,,,,,put,american,2023-07-14,100,70.0,,-0.00027749228314543007,1.6162150793090358e-05,-0.002449296301434103,0.0005118499838656748,0.01,90,0.0,0,,0.005,,,,,,-124.0,,,
58,2.553208179162461,0,69.995,,,,,,,,,,,put,american,2023-07-07,100,70.0,,-0.00027761900734355854,1.6176516645158325e-05,-0.005456925796800029,0.00034637225312834853,0.01,347,0.0,0,,0.005,,,,,,-124.0,,,
545,0.8287767136635229,780,74.995,,,1.6881552e+18,,,,,0.01,,,put,american,2023-08-18,100,75.0,,-0.0002966020054746778,1.836107996702037e-05,-0.0006454250634377686,0.0009774799424838538,0.01,160,0.0,0,,0.005,[209],301.0,0.01,1.6881346050902364e+18,5.0,-119.0,,,
277,1.2859570900712451,2882,74.995,,,1.6859952e+18,,,,,0.01,,,put,american,2023-07-21,100,75.0,,-0.00029716993928557127,1.842971819074613e-05,-0.0015709323880994182,0.0006535943241019422,0.01,93,0.0,0,,0.005,[209],313.0,0.01,1.685990835146e+18,75.0,-119.0,,,
167,1.6002487588882146,0,74.995,,,,,,,,,,,put,american,2023-07-14,100,75.0,,-0.00029731259746163387,1.8446996115700588e-05,-0.002439292297367825,0.000530113743889385,0.01,90,0.0,0,,0.005,,,,,,-119.0,,,
59,2.3853894741201667,0,74.995,,,,,,,,,,,put,american,2023-07-07,100,75.0,,-0.00029745560788041546,1.8464330816733265e-05,-0.005434908686605859,0.0003589454036536511,0.01,347,0.0,0,,0.005,,,,,,-119.0,,,
1010,0.6307374993416345,45986,49.985,,,1.6881552e+18,,,,,0.02,,,put,american,2024-01-19,100,50.0,,-0.0005302593482473634,2.0443234996985417e-05,-0.00040733438091798555,0.004774754943966633,0.02,34,0.01,218,,0.015,[209],302.0,0.02,1.6881542008670646e+18,4.0,-144.0,,,
546,0.7746157616553845,1861,79.995,,,1.6881552e+18,,,,,0.01,,,put,american,2023-08-18,100,80.0,,-0.0003176570063510582,2.0946145261329572e-05,-0.0006425191031206675,0.001006673962351803,0.01,75,0.0,0,,0.005,[219],316.0,0.01,1.6881342255534996e+18,11.0,-114.0,,,
278,1.201584721608192,3822,79.995,,,1.687464e+18,,,,,0.01,,,put,american,2023-07-21,100,80.0,,-0.00031830199641985505,2.1029412115135323e-05,-0.0015641345774913035,0.0006747953474785269,0.01,62,0.0,0,,0.005,[209],325.0,0.01,1.687460349179e+18,1.0,-114.0,,,
168,1.4951552647721649,0,79.995,,,,,,,,,,,put,american,2023-07-14,100,80.0,,-0.00031846363656508494,2.105033105144656e-05,-0.002428851928370709,0.0005476551677375844,0.01,90,0.0,0,,0.005,,,,,,-114.0,,,
60,2.2285860072599273,1,79.995,,,1.6859952e+18,,,,,0.01,,,put,american,2023-07-07,100,80.0,,-0.0003186255386813647,2.107130374119107e-05,-0.005411910746896474,0.00037105843847208694,0.01,347,0.0,0,,0.005,[233],304.0,0.01,1.685976622988e+18,1.0,-114.0,,,
371,1.337591639412707,0,64.99,,,,,,,,,,,put,american,2023-07-28,100,65.0,,-0.00047375447469380076,2.37611116111956e-05,-0.002191204877451127,0.0007029669917145978,0.02,93,0.0,0,,0.01,,,,,,-129.0,,,
279,1.122421585586643,604,84.995,,,1.6862544e+18,,,,,0.01,,,put,american,2023-07-21,100,85.0,,-0.00034095979656937106,2.4005711340177054e-05,-0.0015571015720286302,0.0006951144453101471,0.01,61,0.0,0,,0.005,[209],322.0,0.01,1.686237227251e+18,5.0,-109.0,,,
169,1.3965443204598895,0,84.995,,,,,,,,,,,put,american,2023-07-14,100,85.0,,-0.0003411438068897487,2.403115148214446e-05,-0.0024180424481848495,0.0005645263976591524,0.01,90,0.0,0,,0.005,,,,,,-109.0,,,
61,2.081446041110583,0,84.995,,,,,,,,,,,put,american,2023-07-07,100,85.0,,-0.00034132792089321075,2.405663379544152e-05,-0.005388082367920819,0.00038274898337830525,0.01,88,0.0,0,,0.005,,,,,,-109.0,,,
372,1.2515721155355652,0,69.99,,,,,,,,,,,put,american,2023-07-28,100,70.0,,-0.0005076303934801856,2.7104278198459563e-05,-0.002186819111455071,0.0007297188093954793,0.02,93,0.0,0,,0.01,,,,,,-124.0,,,
716,0.7361868529519227,502,59.985,,,1.6878096e+18,,,,,0.01,,,put,american,2023-10-20,100,60.0,,-0.0006172281654097603,2.7212676553562383e-05,-0.000747997784226941,0.004162225242799672,0.03,5,0.0,0,,0.015,[209],322.0,0.01,1.687806184444e+18,10.0,-134.0,,,
280,1.0478667326257112,2406,89.995,,,1.687896e+18,,,,,0.01,,,put,american,2023-07-21,100,90.0,,-0.00036537202926782453,2.7431145746470525e-05,-0.001549868810657959,0.0007145980363216951,0.01,44,0.0,0,,0.005,[209],313.0,0.01,1.687885411972e+18,1.0,-104.0,,,
170,1.3036672373991398,0,89.995,,,,,,,,,,,put,american,2023-07-14,100,90.0,,-0.0003655827807125649,2.746227337469196e-05,-0.002406919046369991,0.0005807696291168363,0.01,90,0.0,0,,0.005,,,,,,-104.0,,,
62,1.9428523008426986,25,89.995,,,1.6881552e+18,,,,,0.01,,,put,american,2023-07-07,100,90.0,,-0.0003657933805446858,2.7493417539099425e-05,-0.005363546957135527,0.00039404840862041786,0.01,4410,0.0,0,,0.005,[232],308.0,0.01,1.6881324888901788e+18,5.0,-104.0,,,
452,1.3287897532709745,0,59.985,,,,,,,,,,,put,american,2023-08-04,100,60.0,,-0.0006213289354734785,2.7551522612968842e-05,-0.002506568277474938,0.002476509480833393,0.03,39,0.0,0,,0.015,,,,,,-134.0,,,
815,0.7175923896366061,39,54.98,,,1.6879824e+18,,,,,0.01,,,put,american,2023-11-17,100,55.0,,-0.0007314933797977234,2.8971533581948385e-05,-0.0007537989353444603,0.0043752743240600125,0.03,10,0.01,2,,0.02,[209],316.0,0.01,1.687978603552e+18,2.0,-139.0,,,
1113,0.5789209463131662,1259,49.975,,,1.6881552e+18,,,,,0.03,,,put,american,2024-03-15,100,50.0,,-0.0008150552145424632,2.91215782185565e-05,-0.00048362929552027846,0.005201925415977122,0.04,22,0.01,30,,0.025,[209],301.0,0.03,1.6881495445408827e+18,8.0,-144.0,,,
373,1.1717088986043258,0,74.99,,,,,,,,,,,put,american,2023-07-28,100,75.0,,-0.0005434847607432764,3.088036597008544e-05,-0.0021821607286649203,0.000755278692151736,0.02,59,0.0,0,,0.01,,,,,,-119.0,,,
281,0.9774180726173581,2292,94.995,,,1.6878096e+18,,,,,0.01,,,put,american,2023-07-21,100,95.0,,-0.00039180644748401666,3.139600388903502e-05,-0.0015424656920979968,0.000733281577282195,0.01,12,0.0,0,,0.005,[209],316.0,0.01,1.687799468165e+18,3.0,-99.3,,,
171,1.215898319734815,0,94.995,,,,,,,,,,,put,american,2023-07-14,100,95.0,,-0.0003920496388606139,3.143438841328597e-05,-0.0023955274847194175,0.0005964180329358757,0.01,5384,0.0,0,,0.005,,,,,,-99.3,,,
453,1.2400330353422726,0,64.985,,,,,,,,,,,put,american,2023-08-04,100,65.0,,-0.0006663329153892476,3.145517142665534e-05,-0.002489959307195269,0.002578856726181456,0.03,39,0.0,0,,0.015,,,,,,-129.0,,,
63,1.8118708131313306,0,94.995,,,,,,,,,,,put,american,2023-07-07,100,95.0,,-0.000392292285327307,3.147274124070967e-05,-0.005338406822727888,0.0004049834073664938,0.01,4406,0.0,0,,0.005,,,,,,-99.3,,,
1676,0.1807289411420743,150,202.6,,,1.6881552e+18,,,,,111.6,,,call,american,2025-12-19,100,90.0,,0.9881362357568221,3.2171323875063454e-05,-0.008578404463755967,0.0048015375605884765,114.5,67,110.7,33,,112.6,[227],312.0,111.6,1.688144921980227e+18,1.0,8.3,,,
628,0.774699622710257,8446,69.985,,,1.6880688e+18,,,,,0.01,,,put,american,2023-09-15,100,70.0,,-0.0007109962695507435,3.558251200917894e-05,-0.001087621491364829,0.0038280335635970855,0.03,56,0.0,0,,0.015,[209],302.0,0.01,1.688064796155963e+18,5.0,-124.0,,,
454,1.1579655155036526,0,69.985,,,,,,,,,,,put,american,2023-08-04,100,70.0,,-0.0007137695321029285,3.5845961344019154e-05,-0.0024722198746211918,0.002676196010619371,0.03,85,0.0,0,,0.015,,,,,,-124.0,,,
172,1.1327094636494575,9,99.995,,,1.6859952e+18,,,,,0.02,,,put,american,2023-07-14,100,100.0,,-0.00042086318438444044,3.6061558592827334e-05,-0.0023839060609270254,0.0006114980834010707,0.01,6381,0.0,0,,0.005,[219],316.0,0.02,1.685991302203e+18,1.0,-94.3,,,
64,1.6877129928536994,1,99.995,,,1.6859952e+18,,,,,0.02,,,put,american,2023-07-07,100,100.0,,-0.00042114519532777863,3.610923055191725e-05,-0.005312747555318034,0.0004155757124151463,0.01,4402,0.0,0,,0.005,[227],302.0,0.02,1.685975509065e+18,1.0,-94.3,,,
1011,0.6174835373206674,1565,54.97,,,1.687464e+18,,,,,0.02,,,put,american,2024-01-19,100,55.0,,-0.0010275503685472486,3.8245310046804674e-05,-0.0007279105418504867,0.005034250905896439,0.04,60,0.02,15,,0.03,[209],316.0,0.02,1.68746205847e+18,48.0,-139.0,,,
816,0.6805861394271431,264,59.975,,,1.6869456e+18,,,,,0.03,,,put,american,2023-11-17,100,60.0,,-0.0009502148020481287,3.8828437646837154e-05,-0.0009065970030816511,0.004562074433316558,0.05,40,0.0,0,,0.025,[209],313.0,0.03,1.686927004499e+18,1.0,-134.0,,,
375,1.027355471455182,0,84.99,,,,,,,,,,,put,american,2023-07-28,100,85.0,,-0.0006222934907565201,4.0039047169266296e-05,-0.002172194304376219,0.0008031909600272134,0.02,42,0.0,0,,0.01,,,,,,-109.0,,,
173,1.0536510269980826,14,104.995,,,1.6869456e+18,,,,,0.01,,,put,american,2023-07-14,100,105.0,,-0.0004524052657164839,4.148876309306022e-05,-0.002372087095362854,0.0006260289304495097,0.01,4387,0.0,0,,0.005,[209],322.0,0.01,1.686923055734e+18,4.0,-89.3,,,
65,1.5697069891030115,15,104.995,,,1.685736e+18,,,,,0.03,,,put,american,2023-07-07,100,105.0,,-0.0004527361102221239,4.154866142520611e-05,-0.005286637988512707,0.00042584327535652076,0.01,8348,0.0,0,,0.005,[209],304.0,0.03,1.685717215954e+18,1.0,-89.3,,,
912,0.5348364573537256,3251,69.98,,,1.6879824e+18,,,,,0.03,,,put,american,2023-12-15,100,70.0,,-0.0009014004763893531,4.2970752012383744e-05,-0.0006124490172114609,0.005168277444156665,0.03,1,0.01,32,,0.02,[227],323.0,0.03,1.687978414515e+18,2.0,-124.0,,,
717,0.7104031453594497,1350,64.975,,,1.6881552e+18,,,,,0.02,,,put,american,2023-10-20,100,65.0,,-0.001021396644213098,4.4493070010635285e-05,-0.0011362679206062664,0.004336162733764764,0.05,30,0.0,0,,0.025,[227],312.0,0.02,1.688155182353378e+18,50.0,-129.0,,,
376,0.9616601358271059,0,89.99,,,,,,,,,,,put,american,2023-07-28,100,90.0,,-0.0006659288729647906,4.561771696351143e-05,-0.002166953759701473,0.000825654726168904,0.02,57,0.0,0,,0.01,,,,,,-104.0,,,
456,1.0103496164813404,0,79.985,,,,,,,,,,,put,american,2023-08-04,100,80.0,,-0.0008175599425957262,4.643926080221741e-05,-0.002434070112344343,0.002857302651218984,0.03,71,0.0,0,,0.015,,,,,,-114.0,,,
374,1.1344483491962996,0,79.985,,,,,,,,,,,put,american,2023-07-28,100,80.0,,-0.0008181365760454431,4.650210975039473e-05,-0.003078654260560417,0.002565943479589028,0.03,5,0.0,0,,0.015,,,,,,-114.0,,,
174,0.9783372130669248,14,109.995,,,1.6869456e+18,,,,,0.01,,,put,american,2023-07-14,100,110.0,,-0.00048713828786406865,4.790241883634068e-05,-0.0023600980738675025,0.0006400229043534432,0.01,5928,0.0,0,,0.005,[219],322.0,0.01,1.686923071569e+18,6.0,-84.3,,,
1171,0.2990448609326672,985,197.5,,,1.6880688e+18,,,,,108.33,,,call,american,2024-06-21,100,85.0,,0.9946875870428323,4.796749238035e-05,-0.008898742121753794,0.006293784308778469,114.45,90,110.55,90,,112.5,[233],323.0,108.33,1.6880566137654945e+18,5.0,3.2,,,
66,1.4572762424022994,1013,109.995,,,1.6881552e+18,,,,,0.01,,,put,american,2023-07-07,100,110.0,,-0.0004875316796070145,4.797872795572899e-05,-0.0052601495265738535,0.0004358008891329652,0.01,8709,0.0,0,,0.005,[209],302.0,0.01,1.688145022556536e+18,1.0,-84.3,,,
629,0.7364850959208594,4835,74.98,,,1.6880688e+18,,,,,0.02,,,put,american,2023-09-15,100,75.0,,-0.0009718239295186442,4.9576978681145986e-05,-0.0013672156469246727,0.003957697158391466,0.03,5,0.01,8,,0.02,[209],312.0,0.02,1.6880669853574423e+18,1.0,-119.0,,,
1114,0.5765350432466642,370,54.955,,,1.6881552e+18,,,,,0.05,,,put,american,2024-03-15,100,55.0,,-0.001432178370904132,4.9814929050383616e-05,-0.0008188845334500069,0.005550536140395842,0.07,14,0.02,32,,0.045,[209],313.0,0.05,1.688132366253337e+18,3.0,-139.0,,,
455,1.0997067648287713,0,74.98,,,,,,,,,,,put,american,2023-08-04,100,75.0,,-0.0009751339419710823,4.990327472406283e-05,-0.0031012930261875853,0.002770523737217066,0.04,5,0.0,0,,0.02,,,,,,-119.0,,,
817,0.6467484360206487,118,64.97,,,1.6879824e+18,,,,,0.03,,,put,american,2023-11-17,100,65.0,,-0.0011894799168661386,5.0347422351751945e-05,-0.00105921906225061,0.004740851915083389,0.05,5,0.01,1,,0.03,[219],301.0,0.03,1.68796560095e+18,1.0,-129.0,,,
718,0.6644624617819782,1730,69.975,,,1.687896e+18,,,,,0.02,,,put,american,2023-10-20,100,70.0,,-0.001094502419703288,5.07056045180585e-05,-0.0011305501449280588,0.004481156153228534,0.05,40,0.0,0,,0.025,[209],302.0,0.02,1.687895907318e+18,80.0,-124.0,,,
377,0.8996493549488075,0,94.99,,,1.6881552e+18,,,,,0.01,,,put,american,2023-07-28,100,95.0,,-0.0007129277292586988,5.2031098735757557e-05,-0.002161591817925298,0.0008474605543455405,0.02,42,0.0,0,,0.01,[209],316.0,0.01,1.688154064807875e+18,11.0,-99.3,,,
175,0.9064347663628007,25,114.995,,,1.6881552e+18,,,,,0.01,,,put,american,2023-07-14,100,115.0,,-0.0005256286102689389,5.5545285750299613e-05,-0.002347962538696899,0.0006534853454965423,0.01,1458,0.0,0,,0.005,[209],307.0,0.01,1.6881541224362048e+18,5.0,-79.3,,,
67,1.3499217286981886,3000,114.995,,,1.6878096e+18,,,,,0.01,,,put,american,2023-07-07,100,115.0,,-0.0005261022811095308,5.564395077226883e-05,-0.00523332455503631,0.00044545964257742074,0.01,8484,0.0,0,,0.005,[209],322.0,0.01,1.687808679932e+18,64.0,-79.3,,,
216,2.2813229619808824,108,194.45,,,1.6878096e+18,,,,,136.5,,,call,american,2023-07-21,100,50.0,,0.9979576868286871,5.6075782451713896e-05,-0.019488817124496457,0.0017395717191632538,145.95,1,142.95,1,,144.45,[209],301.0,136.5,1.687805361233e+18,90.0,0.15,,,
818,0.6054317926110468,130,69.97,,,1.6869456e+18,,,,,0.06,,,put,american,2023-11-17,100,70.0,,-0.001274318839671334,5.734264892211486e-05,-0.0010546122213056046,0.004894065347630994,0.05,6,0.01,1,,0.03,[209],300.0,0.06,1.68692704762e+18,1.0,-124.0,,,
1012,0.6055599791819612,4176,59.955,,,1.6878096e+18,,,,,0.05,,,put,american,2024-01-19,100,60.0,,-0.001545087544255671,5.7394540469539735e-05,-0.0010486662296283747,0.0053150877446465775,0.07,5,0.02,15,,0.045,[209],300.0,0.05,1.687786203146e+18,3.0,-134.0,,,
719,0.6218044457497897,604,74.975,,,1.687896e+18,,,,,0.03,,,put,american,2023-10-20,100,75.0,,-0.0011718612744758118,5.77157167149182e-05,-0.0011245580199804224,0.004616136569664636,0.05,40,0.0,0,,0.025,[209],301.0,0.03,1.687884767985e+18,7.0,-119.0,,,
378,0.8405472043320378,0,99.99,,,,,,,,,,,put,american,2023-07-28,100,100.0,,-0.0007640001434481571,5.947583370700595e-05,-0.002155287715928235,0.0028513619275022787,0.02,5,0.0,0,,0.01,,,,,,-94.3,,,
