,implied_volatility,open_interest,break_even_price,day_close,day_high,last_updated,day_low,day_open,day_change_percent,day_change,previous_close,day_volume,day_vwap,contract_type,exercise_style,expiration_date,shares_per_contract,strike_price,option_symbol,delta,gamma,theta,vega,ask,ask_size,bid,bid_size,quote_last_updated,midpoint,conditions,exchange,price,sip_timestamp,size,change_to_break_even,underlying_last_updated,underlying_price,underlying_ticker
1566,0.24657298002358857,1426,4.635,,,1.6881552e+18,,,,,1.55,,,call,american,2025-06-20,100,3.0,,0.9336775608881777,0.0879740060995876,-0.00046642906091283367,0.008897157296183844,1.75,9,1.52,2,,1.635,[209],313.0,1.55,1.688151966296997e+18,1.0,0.335,,,
1488,0.31850350441897757,3667,4.4,,,1.6881552e+18,,,,,1.38,,,call,american,2024-01-19,100,3.0,,0.9617856497767222,0.08265449315879062,-0.0005921120759062079,0.0022176332079242894,1.5,49,1.3,564,,1.4,[209],315.0,1.38,1.6881549500989773e+18,1.0,0.1,,,
1412,0.3420920597188896,1088,4.385,,,1.6881552e+18,,,,,1.37,,,call,american,2023-12-15,100,3.0,,0.9626708200407452,0.08267485979233373,-0.0006273830750155383,0.0020747901849320523,1.49,8,1.28,5,,1.385,[236],322.0,1.37,1.6881470332009457e+18,2.0,0.085,,,
1090,0.3994076276747323,114,25.0,,,1.6869456e+18,,,,,15.43,,,call,american,2024-10-18,100,10.0,,0.9903275099676957,0.0023469818783645744,-0.0015665552726849274,0.006391647590242026,17.0,212,13.0,230,,15.0,[232],312.0,15.43,1.686945533389e+18,1.0,0.68,,,
22,0.4217385385098887,837,24.705,,,1.6881552e+18,,,,,0.75,,,call,american,2023-07-07,100,24.0,,0.614168521151878,0.29750319180244045,-0.04484788987198453,0.012047205096825895,0.75,2,0.66,8,,0.705,[233],302.0,0.75,1.688155060785725e+18,5.0,0.385,,,
71,0.4224429508181344,8,24.3,,,1.6881552e+18,,,,,1.85,,,put,american,2023-07-07,100,26.5,,-0.94859169597405,0.09278261131021281,-0.009912904364931172,0.0030496562224464363,2.48,20,1.92,444,,2.2,[232],312.0,1.85,1.688134679983369e+18,4.0,-0.02,,,
65,0.43365643549862315,675,23.29,,,1.6881552e+18,,,,,0.21,,,put,american,2023-07-07,100,23.5,,-0.25276333644900867,0.24202329827753544,-0.035997354639230594,0.01037502317065193,0.23,168,0.19,476,,0.21,[209],315.0,0.21,1.688155198212053e+18,5.0,-1.03,,,
1545,0.43939530947775923,5500,5.2,,,1.6881552e+18,,,,,1.05,,,call,american,2025-01-17,100,4.0,,0.7077785513550947,0.14716500688371167,-0.000979589485555418,0.018362647077651336,1.35,5,1.05,22,,1.2,[209],313.0,1.05,1.6881521479115784e+18,1.0,0.9,,,
1033,0.44862000281926745,1,25.15,,,1.687896e+18,,,,,11.05,,,call,american,2024-06-21,100,13.0,,0.9608112495685356,0.007953247597025653,-0.0028588779498328744,0.025034319173756456,12.95,141,11.35,185,,12.15,[209],313.0,11.05,1.687874310447e+18,1.0,0.83,,,
773,0.45153148067230325,248,24.55,,,1.6849584e+18,,,,,13.15,,,call,american,2023-12-15,100,10.0,,0.9994158446269178,0.00027560588304304727,-0.0013990913520538935,0.0006558878508367804,15.05,345,14.05,168,,14.55,[209],316.0,13.15,1.684935875007e+18,1.0,0.23,,,
66,0.45372573937413785,624,23.595,,,1.6881552e+18,,,,,0.38,,,put,american,2023-07-07,100,24.0,,-0.3933110923739772,0.27852593829138284,-0.04507804713491733,0.012054085098959116,0.43,12,0.38,51,,0.405,[209],315.0,0.38,1.6881551699199565e+18,4.0,-0.725,,,
23,0.460644917940839,643,24.995,,,1.6881552e+18,,,,,0.53,,,call,american,2023-07-07,100,24.5,,0.4670218569494558,0.2830949912783592,-0.05017974377357782,0.01223890100064439,0.54,138,0.45,117,,0.495,[209],300.0,0.53,1.6881551991976927e+18,2.0,0.675,,,
64,0.4625367656410874,884,22.875,,,1.6881552e+18,,,,,0.12,,,put,american,2023-07-07,100,23.0,,-0.15991580100718514,0.17195915780801183,-0.029252563710578897,0.007817748118868763,0.14,37,0.11,92,,0.125,[209],303.0,0.12,1.688155191929005e+18,2.0,-1.45,,,
1567,0.46395709781823924,1923,5.39,,,1.6881552e+18,,,,,1.29,,,call,american,2025-06-20,100,4.0,,0.7216049966638786,0.12075116068048201,-0.0009015352037778517,0.02017636815348532,1.55,1,1.23,1,,1.39,[209],315.0,1.29,1.688152619344717e+18,1.0,1.09,,,
1520,0.46754870461160875,624,4.52,,,1.6881552e+18,,,,,1.37,,,call,american,2024-03-15,100,3.0,,0.8852999468875844,0.11535760357442501,-0.0009578639431801813,0.007051148076513133,1.69,32,1.35,290,,1.52,[209],304.0,1.37,1.6881333562191672e+18,3.0,0.22,,,
709,0.49423602668899935,6,24.6,,,1.6866864e+18,,,,,14.12,,,call,american,2023-11-17,100,13.0,,0.9889036116241958,0.0039231673129759385,-0.0025048164800474814,0.004806984745056439,12.1,126,11.1,88,,11.6,[232],308.0,14.12,1.686682333607e+18,1.0,0.28,,,
20,0.49651541236631164,300,24.49,,,1.6881552e+18,,,,,1.57,,,call,american,2023-07-07,100,23.0,,0.8241662739363449,0.17031439820784824,-0.036593567176222946,0.007830026092243455,1.57,73,1.41,12,,1.49,[209],307.0,1.57,1.6881551739117624e+18,1.0,0.17,,,
1568,0.5000715009059936,3666,6.11,,,1.6881552e+18,,,,,1.05,,,call,american,2025-06-20,100,5.0,,0.6093192122567718,0.1275138630242474,-0.001024928822846936,0.023482036638701555,1.16,4,1.06,1,,1.11,[209],313.0,1.05,1.6881542856056333e+18,1.0,1.81,,,
67,0.504178573237494,313,23.79,,,1.6881552e+18,,,,,0.68,,,put,american,2023-07-07,100,24.5,,-0.5294153545199886,0.2600905000945347,-0.0516875895306605,0.012233365947395198,0.78,127,0.64,343,,0.71,[209],322.0,0.68,1.6881550312046454e+18,6.0,-0.53,,,
1003,0.5043853116477591,73,25.075,,,1.6881552e+18,,,,,13.1,,,call,american,2024-04-19,100,13.0,,0.9564446116429144,0.008460986390475987,-0.0033032526338332875,0.02359646130619445,12.65,239,11.5,210,,12.075,[209],302.0,13.1,1.688134607059599e+18,1.0,0.755,,,
63,0.5058647364628973,607,22.42,,,1.6881552e+18,,,,,0.07,,,put,american,2023-07-07,100,22.5,,-0.10343742413038248,0.11647754482129485,-0.023791857837496433,0.005143100874338671,0.09,156,0.07,26,,0.08,[219],313.0,0.07,1.6881550725776356e+18,1.0,-1.9,,,
442,0.5072389205304874,0,24.225,,,,,,,,,,,put,american,2023-08-04,100,30.0,,-0.9118354204422837,0.05206402624938122,-0.006982701961672668,0.01285736366309218,6.55,34,5.0,127,,5.775,,,,,,-0.095,,,
21,0.5120400757685521,417,24.63,,,1.6881552e+18,,,,,1.14,,,call,american,2023-07-07,100,23.5,,0.7165602999514533,0.21647666889531822,-0.04824855149923018,0.01039979309972601,1.26,409,1.0,19,,1.13,[209],325.0,1.14,1.688154303606332e+18,1.0,0.31,,,
1123,0.5138731926625091,626,26.625,,,1.6881552e+18,,,,,12.05,,,call,american,2025-01-17,100,15.0,,0.8855062877748221,0.012659392144042731,-0.004106234659353518,0.05201237929775289,12.1,263,11.15,6,,11.625,[209],304.0,12.05,1.6881495934007736e+18,1.0,2.305,,,
24,0.515559938912414,4929,25.365,,,1.6881552e+18,,,,,0.38,,,call,american,2023-07-07,100,25.0,,0.35221498351589753,0.23772781294312745,-0.052337672385568815,0.010854670569216608,0.38,68,0.35,12,,0.365,[209],308.0,0.38,1.6881551927801047e+18,5.0,1.045,,,
202,0.519824458267606,1768,24.69,,,1.6881552e+18,,,,,2.8,,,call,american,2023-07-21,100,22.0,,0.8191212190313475,0.09032664866350959,-0.022170049971769443,0.013965979532167501,2.8,1,2.58,11,,2.69,[227],312.0,2.8,1.688155154989929e+18,1.0,0.37,,,
1546,0.5223495637324778,5823,5.99,,,1.6881552e+18,,,,,0.99,,,call,american,2025-01-17,100,5.0,,0.584311105878048,0.14003251481739737,-0.0011868816943865692,0.021239491579086275,1.0,1,0.98,1,,0.99,[209],303.0,0.99,1.6881545434865539e+18,1.0,1.69,,,
69,0.5245079340047659,144,24.105,,,1.6881552e+18,,,,,1.41,,,put,american,2023-07-07,100,25.5,,-0.7535300900906521,0.20189368517921352,-0.04227158796039626,0.010845956468002077,1.5,25,1.29,496,,1.395,[209],316.0,1.41,1.688154533690161e+18,1.0,-0.215,,,
435,0.5246154628979449,0,23.625,,,,,,,,,,,put,american,2023-08-04,100,26.5,,-0.6717688090186064,0.09632928064682533,-0.018826727233269887,0.026850419129265012,3.45,33,2.3,236,,2.875,,,,,,-0.695,,,
1034,0.5300958050995832,57,25.825,,,1.6881552e+18,,,,,11.15,,,call,american,2024-06-21,100,15.0,,0.8993846702211469,0.013915288673533118,-0.004718215334836045,0.04290907559269935,11.45,244,10.2,201,,10.825,[209],313.0,11.15,1.688151637285488e+18,2.0,1.505,,,
151,0.5316073002319843,136,22.22,,,1.6881552e+18,,,,,0.3,,,put,american,2023-07-14,100,22.5,,-0.19733805411297892,0.11664674864235118,-0.026009775346121883,0.011445930856225538,0.34,18,0.22,210,,0.28,[209],319.0,0.3,1.68815519019563e+18,1.0,-2.1,,,
463,0.5329405122353009,1208,24.775,,,1.6881552e+18,,,,,4.95,,,call,american,2023-08-18,100,20.0,,0.8747028059849206,0.04434896348313835,-0.012500339763600134,0.020239729481053407,4.95,400,4.6,19,,4.775,[209],316.0,4.95,1.688155125642331e+18,1.0,0.455,,,
1122,0.532993494629293,549,26.125,,,1.6879824e+18,,,,,12.45,,,call,american,2025-01-17,100,13.0,,0.9181881363349267,0.009400410072701124,-0.0034607241911145956,0.0472946272118897,14.25,403,12.0,409,,13.125,[209],313.0,12.45,1.687974958022e+18,1.0,1.805,,,
1521,0.5335183405400749,1047,4.97,,,1.6881552e+18,,,,,1.0,,,call,american,2024-03-15,100,4.0,,0.6788093183646562,0.1869958168967394,-0.0016236556548216352,0.01299094133189544,1.08,49,0.86,414,,0.97,[209],313.0,1.0,1.6881465500516582e+18,9.0,0.67,,,
872,0.5336525228625665,1304,24.775,,,1.6868592e+18,,,,,12.68,,,call,american,2024-01-19,100,12.5,,0.9745793920630511,0.006144114266538113,-0.003007371820991804,0.01134654378379753,12.8,564,11.75,313,,12.275,[232],312.0,12.68,1.686856307034e+18,2.0,0.455,,,
110,0.5349054629667447,917,25.165,,,1.6881552e+18,,,,,1.15,,,call,american,2023-07-14,100,24.0,,0.5789093918636804,0.1617845825702882,-0.03930288544572537,0.017852311994623223,1.24,58,1.09,5,,1.165,[209],313.0,1.15,1.6881551906065423e+18,1.0,0.845,,,
152,0.5353405211871609,227,22.575,,,1.6881552e+18,,,,,0.42,,,put,american,2023-07-14,100,23.0,,-0.2676620293918046,0.13607469874347608,-0.03064118800851214,0.015181330214366818,0.47,209,0.38,71,,0.425,[209],302.0,0.42,1.6881550477536632e+18,1.0,-1.75,,,
