,implied_volatility,open_interest,break_even_price,day_close,day_high,last_updated,day_low,day_open,day_change_percent,day_change,previous_close,day_volume,day_vwap,contract_type,exercise_style,expiration_date,shares_per_contract,strike_price,option_symbol,delta,gamma,theta,vega,ask,ask_size,bid,bid_size,quote_last_updated,midpoint,conditions,exchange,price,sip_timestamp,size,change_to_break_even,underlying_last_updated,underlying_price,underlying_ticker
705,1.1889213108920234,0,24.45,,,1.685736e+18,,,,,19.73,,,call,american,2023-11-17,100,5.0,,0.9952261038580651,0.0007779603088330211,-0.0015597498336897885,0.003036173757003962,19.95,75,18.95,79,,19.45,[232],308.0,19.73,1.685717413962e+18,2.0,0.13,,,
388,0.6747957266295123,0,25.025,,,1.6881552e+18,,,,,4.2,,,call,american,2023-08-04,100,21.0,,0.8021971492274128,0.05694413015342777,-0.023172401762253297,0.02320792330322812,4.55,145,3.5,140,,4.025,[232],304.0,3.94,1.6881363085675343e+18,7.0,0.705,,,
289,1.450529951643876,0,24.45,,,1.687896e+18,,,,,11.2,,,call,american,2023-07-28,100,12.0,,0.9791811694153306,0.005296812743506666,-0.010632252670061158,0.0045445529645482315,12.95,80,11.95,76,,12.45,[232],312.0,11.2,1.68787599433e+18,1.0,0.13,,,
555,1.4519256505134617,0,24.425,,,,,,,,,,,call,american,2023-09-15,100,6.0,,0.9936410582912285,0.001107221239721208,-0.0027033191936041722,0.002556408246635633,18.9,75,17.95,77,,18.425,,,,,,0.105,,,
332,1.4813779188764362,0,10.945,,,,,,,,,,,put,american,2023-07-28,100,11.0,,-0.013671401925799668,0.0035833770477899894,-0.006337477008321377,0.0021700677819263426,0.1,452,0.01,33,,0.055,,,,,,-13.4,,,
380,1.4842241799105227,0,25.225,,,,,,,,,,,call,american,2023-08-04,100,16.0,,0.8779888162983508,0.01852098353119961,-0.03486962077810876,0.015274358870706817,10.45,79,8.0,89,,9.225,,,,,,0.905,,,
419,0.6731599722841224,0,18.325,,,,,,,,,,,put,american,2023-08-04,100,18.5,,-0.07150452553526715,0.02757076833246566,-0.009865230536146082,0.010949623996002833,0.29,50,0.06,123,,0.175,,,,,,-6.0,,,
95,1.4084967124830523,0,24.5,,,,,,,,,,,call,american,2023-07-14,100,16.5,,0.949403352308263,0.016569281952212946,-0.028760708943875602,0.0037461011715766252,8.4,82,7.6,18,,8.0,,,,,,0.18,,,
453,1.5041066145755992,0,24.425,,,1.686168e+18,,,,,18.0,,,call,american,2023-08-18,100,8.0,,0.9905256331532178,0.0019111627942527223,-0.004586086750865964,0.0024108512254912783,16.9,75,15.95,75,,16.425,[232],312.0,18.0,1.686158138881e+18,10.0,0.105,,,
134,1.5185300712655938,0,12.98,,,1.6881552e+18,,,,,0.01,,,put,american,2023-07-14,100,13.0,,-0.007895580768206427,0.003172967550125446,-0.0059079758537338425,0.0007089417537536028,0.03,8,0.01,40,,0.02,[227],312.0,0.01,1.6881488168225467e+18,8.0,-11.3,,,
505,1.5358926515883946,0,7.94,,,,,,,,,,,put,american,2023-08-18,100,8.0,,-0.01049989640055251,0.0020512583594894753,-0.0039003412013713583,0.002409672185758593,0.12,11,0.0,0,,0.06,,,,,,-16.4,,,
413,1.5807165046547371,0,12.625,,,,,,,,,,,put,american,2023-08-04,100,13.0,,-0.05980752383263506,0.010191172534079739,-0.020470725711190352,0.009120611705807923,0.75,1,0.0,0,,0.375,,,,,,-11.7,,,
288,1.6231237365312001,0,24.45,,,,,,,,,,,call,american,2023-07-28,100,11.0,,0.9806944045671044,0.004444828147843704,-0.010965314968002144,0.004337717336989057,13.95,80,12.95,78,,13.45,,,,,,0.13,,,
