,implied_volatility,open_interest,break_even_price,day_close,day_high,last_updated,day_low,day_open,day_change_percent,day_change,previous_close,day_volume,day_vwap,contract_type,exercise_style,expiration_date,shares_per_contract,strike_price,option_symbol,delta,gamma,theta,vega,ask,ask_size,bid,bid_size,quote_last_updated,midpoint,conditions,exchange,price,sip_timestamp,size,change_to_break_even,underlying_last_updated,underlying_price,underlying_ticker
311,0.1557120679084094,955,192.25,,,1.6884144e+18,,,,,7.73,,,put,american,2023-07-21,100,200.0,,-0.8871752095842831,0.03937404916398214,-0.02579865297000009,0.06973405556479073,7.8,1,7.7,1,,7.75,[209],325.0,7.73,1.6884035890311898e+18,1.0,-0.2,,,
1281,0.342655198176987,9,199.775,,,1.6841808e+18,,,,,66.05,,,call,american,2024-09-20,100,115.0,,0.9503226372538595,0.0012873087137765117,-0.01896837397186061,0.22218372594676927,85.55,30,84.0,30,,84.775,[209],313.0,66.05,1.684174405864e+18,1.0,7.325,,,
1372,0.3427177949524701,360,197.025,,,1.6872912e+18,,,,,110.15,,,call,american,2024-12-20,100,80.0,,0.9871719925279908,0.0002130352316774715,-0.00895036556273074,0.050418143699337066,118.0,11,116.05,11,,117.025,[236],308.0,110.15,1.687288171612e+18,1.0,4.575,,,
831,0.34305045272312035,2313,134.485,,,1.6884144e+18,,,,,0.51,,,put,american,2023-11-17,100,135.0,,-0.02996221820984301,0.001693477475050468,-0.00931760484007431,0.08604852949455367,0.53,143,0.5,523,,0.515,[209],300.0,0.51,1.688402707614967e+18,1.0,-58.0,,,
878,0.3446578881685396,2366,195.875,,,1.6884144e+18,,,,,60.5,,,call,american,2023-12-15,100,135.0,,0.9581657124609109,0.001948484928460803,-0.026547870155036485,0.09405694381568369,61.25,30,60.5,30,,60.875,[209],302.0,60.5,1.68839580077062e+18,1.0,3.425,,,
1127,0.3452541796112744,3195,119.29,,,1.6884144e+18,,,,,0.69,,,put,american,2024-03-15,100,120.0,,-0.02932466069554499,0.001212560034370149,-0.006529792412945109,0.10489759293633111,0.73,239,0.69,150,,0.71,[209],300.0,0.69,1.6883978600444593e+18,1.0,-73.2,,,
950,0.34554968769610434,1,192.125,,,1.6880688e+18,,,,,70.46,,,put,american,2023-12-15,100,260.0,,-0.9371115628776927,0.006146983611433818,-0.00825910340640877,0.1424434079004413,68.85,92,66.9,63,,67.875,[209],325.0,70.46,1.688068323623e+18,1.0,-0.325,,,
1630,0.347295898866386,457,93.71,,,1.6880688e+18,,,,,1.42,,,put,american,2025-06-20,100,95.0,,-0.029898317419895928,0.0007488881541151036,-0.003689484714583109,0.23378720594201152,1.55,215,1.03,299,,1.29,[209],313.0,1.42,1.688068285638e+18,1.0,-98.7,,,
33,0.34797745543746744,1686,192.65,,,1.6884144e+18,,,,,10.2,,,call,american,2023-07-07,100,182.5,,0.9525152621570276,0.015841933398479693,-0.11904736840238805,0.017512262445146472,10.2,4,10.1,3,,10.15,[209],325.0,10.2,1.6884035236963986e+18,1.0,0.2,,,
297,0.34878495122274406,32685,164.905,,,1.6884144e+18,,,,,0.09,,,put,american,2023-07-21,100,165.0,,-0.017176473799994735,0.002912521119819443,-0.017547202583424733,0.018590494422917166,0.1,1410,0.09,23,,0.095,[232],308.0,0.09,1.6884035895444104e+18,1.0,-27.5,,,
1329,0.3488975516279117,244,108.785,,,1.6884144e+18,,,,,1.21,,,put,american,2024-09-20,100,110.0,,-0.035881855265172014,0.001096534737628016,-0.005743799955525967,0.21667312854562298,1.35,688,1.08,422,,1.215,[233],302.0,1.21,1.6883982613779494e+18,1.0,-83.7,,,
1370,0.3490821425868204,1,196.2,,,1.684872e+18,,,,,107.0,,,call,american,2024-12-20,100,70.0,,0.9905495862899109,9.926852541912711e-05,-0.007092647639435199,0.019455786532046538,127.5,50,124.9,50,,126.2,[209],313.0,107.0,1.684854165095e+18,1.0,3.75,,,
450,0.35023053169604684,36,255.02,,,1.6884144e+18,,,,,0.03,,,call,american,2023-08-04,100,255.0,,0.003297180081530319,0.0004974679854182215,-0.0031736818680720476,0.00570436645089041,0.03,47,0.01,43,,0.02,[227],302.0,0.03,1.6883970576118602e+18,1.0,62.57,,,
1430,0.3506653350341498,333,103.625,,,1.6863408e+18,,,,,2.06,,,put,american,2024-12-20,100,105.0,,-0.036024254660054,0.0009936215024185478,-0.005146059995360928,0.22610881043408415,1.55,457,1.2,453,,1.375,[209],322.0,2.06,1.686319648632e+18,1.0,-88.8,,,
1723,0.3514062134347829,1187,88.33,,,1.6884144e+18,,,,,1.62,,,put,american,2025-12-19,100,90.0,,-0.03251263480231331,0.0007038067774720882,-0.003402437264247718,0.24628770624135438,1.86,96,1.48,33,,1.67,[227],312.0,1.62,1.6883989676819825e+18,1.0,-104.0,,,
1479,0.35261595504855364,492,197.825,,,1.6859952e+18,,,,,104.55,,,call,american,2025-01-17,100,85.0,,0.9814783342639286,0.00035749585532979873,-0.010388945156047664,0.05532594013287894,114.0,50,111.65,50,,112.825,[209],313.0,104.55,1.685972256458e+18,1.0,5.375,,,
1377,0.35312806511536293,2,200.025,,,1.683576e+18,,,,,76.95,,,call,american,2024-12-20,100,105.0,,0.9576193606952152,0.0009621933327944153,-0.0161377961514533,0.22497853885683056,96.15,30,93.9,30,,95.025,[209],313.0,76.95,1.683553616593e+18,1.0,7.575,,,
1054,0.3536902405361872,0,192.175,,,1.6657776e+18,,,,,130.59,,,put,american,2024-01-19,100,270.0,,-0.9442896131424477,0.0055711353061002455,-0.00727404572589137,0.15485668185700027,78.9,97,76.75,67,,77.825,[232],323.0,130.59,1.665763787893e+18,1.0,-0.275,,,
731,0.3599287255337927,6354,134.66,,,1.6884144e+18,,,,,0.34,,,put,american,2023-10-20,100,135.0,,-0.022393266534764086,0.0014346260245122462,-0.00884329332341558,0.07788859948706463,0.35,689,0.33,42,,0.34,[219],312.0,0.34,1.6884013645485768e+18,1.0,-57.8,,,
432,0.3598417384917458,33,193.6,,,1.6884144e+18,,,,,28.59,,,call,american,2023-08-04,100,165.0,,0.9427339227166429,0.005753624979950807,-0.05671817471892848,0.05015647449517079,28.7,21,28.5,15,,28.6,[240],302.0,28.59,1.688403427848084e+18,1.0,1.15,,,
