,date,hour,ticker,eps_est,eps_act,revenue_est,revenue_act,year,quarter,mkt_cap
0,2023-06-19,BMO,EBF,0.3636,N/A,105681799.0,N/A,2024,1,531020640
1,2023-06-19,BMO,IH,N/A,N/A,N/A,N/A,2023,1,153587616
2,2023-06-19,AMC,GROW,N/A,N/A,N/A,N/A,2023,3,46802516
3,2023-06-19,BMO,ACST,-0.1622,N/A,0.0,N/A,2023,4,25652360
4,2023-06-19,,CNTG,-0.3876,N/A,12941249.0,N/A,2023,1,21544042
5,2023-06-19,,BCRHF,N/A,N/A,N/A,N/A,2023,1,799382
6,2023-06-19,,MAXD,N/A,N/A,N/A,N/A,2022,4,7828
7,2023-06-20,AMC,FDX,4.9642,N/A,23176094357.0,N/A,2023,4,58680639488
8,2023-06-20,BMO,KFY,1.0151,N/A,710550496.0,N/A,2023,4,2671815936
9,2023-06-20,AMC,LZB,0.7272,N/A,541024100.0,N/A,2023,4,1172987520
10,2023-06-20,AMC,SCS,0.0126,N/A,728922249.0,N/A,2024,1,838694080
11,2023-06-20,,AZRE,N/A,N/A,N/A,N/A,2023,2,103300016
12,2023-06-20,BMO,DLNG,0.2142,N/A,34170990.0,N/A,2023,1,99733960
13,2023-06-20,AMC,KEQU,N/A,N/A,N/A,N/A,2023,4,47858680
14,2023-06-20,AMC,MCRAA,N/A,N/A,N/A,N/A,2023,3,40618264
15,2023-06-20,AMC,DTGI,N/A,N/A,N/A,N/A,2023,3,13868717
16,2023-06-20,AMC,JVA,N/A,N/A,N/A,N/A,2023,2,9476276
17,2023-06-20,AMC,NXTP,-0.408,N/A,2201535.0,N/A,2023,4,7484261
18,2023-06-20,,YGYI,N/A,N/A,N/A,N/A,2021,3,54471
19,2023-06-21,AMC,KBH,1.3209,N/A,1394016367.0,N/A,2023,2,4188078336
20,2023-06-21,AMC,FUL,1.0544,N/A,985402599.0,N/A,2023,2,3596295424
21,2023-06-21,BMO,PDCO,0.7134,N/A,1682839367.0,N/A,2023,4,2784677888
22,2023-06-21,BMO,WGO,1.8649,N/A,975458868.0,N/A,2023,3,1968430336
23,2023-06-21,AMC,CDMO,0.0,N/A,39480708.0,N/A,2023,4,1038907392
24,2023-06-21,BMO,APOG,0.9213,N/A,360095356.0,N/A,2024,1,961615040
25,2023-06-21,AMC,ASTL,N/A,N/A,N/A,N/A,2023,4,808886592
26,2023-06-21,AMC,SWBI,0.272,N/A,140454685.0,N/A,2023,4,547564352
27,2023-06-21,BMO,LITB,N/A,N/A,N/A,N/A,2023,1,153009008
28,2023-06-21,BMO,RAD,-1.4746,N/A,5404012249.0,N/A,2024,1,103826416
29,2023-06-21,AMC,CAMP,0.0367,N/A,76256747.0,N/A,2024,1,72445536
30,2023-06-21,BMO,JRSH,0.0204,N/A,27442047.0,N/A,2023,4,50872348
31,2023-06-21,AMC,SEV,-0.2929,N/A,3225669.0,N/A,2023,1,29937310
32,2023-06-21,AMC,VTGN,-0.051,N/A,0.0,N/A,2023,4,15352889
33,2023-06-21,BMO,MSN,N/A,N/A,N/A,N/A,2023,4,11931210
34,2023-06-21,BMO,CYAN,N/A,N/A,N/A,N/A,2023,4,6773728
35,2023-06-21,BMO,RDHL,N/A,N/A,N/A,N/A,2023,1,5869047
36,2023-06-21,,CYRNQ,N/A,N/A,N/A,N/A,2023,1,159996
37,2023-06-22,AMC,ACN,3.0601,N/A,16794652423.0,N/A,2023,3,201962061824
38,2023-06-22,BMO,CCL,-0.3497,N/A,4829104323.0,N/A,2023,2,20584556544
39,2023-06-22,BMO,DRI,2.5528,N/A,2805853870.0,N/A,2023,4,20075421696
40,2023-06-22,BMO,FDS,3.6256,N/A,535227688.0,N/A,2023,3,16129060864
41,2023-06-22,BMO,CMC,1.7414,N/A,2281301992.0,N/A,2023,3,5598192640
42,2023-06-22,BMO,GMS,1.9127,N/A,1275334944.0,N/A,2023,4,2726576128
43,2023-06-22,BMO,MEI,0.6515,N/A,296519055.0,N/A,2023,4,1373214336
44,2023-06-22,,RTC,N/A,N/A,N/A,N/A,2023,1,707990016
45,2023-06-22,AMC,XAIR,-0.4692,N/A,837983.0,N/A,2023,4,183556928
46,2023-06-22,BMO,COE,N/A,N/A,N/A,N/A,2023,1,37765072
47,2023-06-22,AMC,CGRN,-0.2601,N/A,21162749.0,N/A,2023,4,22934750
48,2023-06-22,AMC,IGC,N/A,N/A,N/A,N/A,2023,4,16453994
49,2023-06-22,,PHASQ,-0.1339,N/A,0.0,N/A,2023,1,29914
50,2023-06-23,BMO,KMX,0.798,N/A,7663187577.0,N/A,2024,1,12588944384
51,2023-06-23,,MITK,0.1795,N/A,38334012.0,N/A,2023,1,491931200
52,2023-06-23,,BGI,N/A,N/A,N/A,N/A,2023,4,103207816
53,2023-06-23,BMO,MXC,N/A,N/A,N/A,N/A,2023,4,26175240
54,2023-06-23,,SIF,N/A,N/A,N/A,N/A,2023,2,15733407
