,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Avg
0,2023,6.4,6.0,5.0,4.9,4.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.4
1,2022,7.5,7.9,8.5,8.3,8.6,9.1,8.5,8.3,8.2,7.7,7.1,6.5,8.0
2,2021,1.4,1.7,2.6,4.2,5.0,5.4,5.4,5.3,5.4,6.2,6.8,7.0,4.7
3,2020,2.5,2.3,1.5,0.3,0.1,0.6,1.0,1.3,1.4,1.2,1.2,1.4,1.2
4,2019,1.6,1.5,1.9,2.0,1.8,1.6,1.8,1.7,1.7,1.8,2.1,2.3,1.8
5,2018,2.1,2.2,2.4,2.5,2.8,2.9,2.9,2.7,2.3,2.5,2.2,1.9,2.4
6,2017,2.5,2.7,2.4,2.2,1.9,1.6,1.7,1.9,2.2,2.0,2.2,2.1,2.1
7,2016,1.4,1.0,0.9,1.1,1.0,1.0,0.8,1.1,1.5,1.6,1.7,2.1,1.3
8,2015,-0.1,0.0,-0.1,-0.2,0.0,0.1,0.2,0.2,0.0,0.2,0.5,0.7,0.1
9,2014,1.6,1.1,1.5,2.0,2.1,2.1,2.0,1.7,1.7,1.7,1.3,0.8,1.6
10,2013,1.6,2.0,1.5,1.1,1.4,1.8,2.0,1.5,1.2,1.0,1.2,1.5,1.5
11,2012,2.9,2.9,2.7,2.3,1.7,1.7,1.4,1.7,2.0,2.2,1.8,1.7,2.1
12,2011,1.6,2.1,2.7,3.2,3.6,3.6,3.6,3.8,3.9,3.5,3.4,3.0,3.2
13,2010,2.6,2.1,2.3,2.2,2.0,1.1,1.2,1.1,1.1,1.2,1.1,1.5,1.6
14,2009,0.0,0.2,-0.4,-0.7,-1.3,-1.4,-2.1,-1.5,-1.3,-0.2,1.8,2.7,-0.4
15,2008,4.3,4.0,4.0,3.9,4.2,5.0,5.6,5.4,4.9,3.7,1.1,0.1,3.8
16,2007,2.1,2.4,2.8,2.6,2.7,2.7,2.4,2.0,2.8,3.5,4.3,4.1,2.8
17,2006,4.0,3.6,3.4,3.5,4.2,4.3,4.1,3.8,2.1,1.3,2.0,2.5,3.2
18,2005,3.0,3.0,3.1,3.5,2.8,2.5,3.2,3.6,4.7,4.3,3.5,3.4,3.4
19,2004,1.9,1.7,1.7,2.3,3.1,3.3,3.0,2.7,2.5,3.2,3.5,3.3,2.7
20,2003,2.6,3.0,3.0,2.2,2.1,2.1,2.1,2.2,2.3,2.0,1.8,1.9,2.3
21,2002,1.1,1.1,1.5,1.6,1.2,1.1,1.5,1.8,1.5,2.0,2.2,2.4,1.6
22,2001,3.7,3.5,2.9,3.3,3.6,3.2,2.7,2.7,2.6,2.1,1.9,1.6,2.8
23,2000,2.7,3.2,3.8,3.1,3.2,3.7,3.7,3.4,3.5,3.4,3.4,3.4,3.4
24,1999,1.7,1.6,1.7,2.3,2.1,2.0,2.1,2.3,2.6,2.6,2.6,2.7,2.2
25,1998,1.6,1.4,1.4,1.4,1.7,1.7,1.7,1.6,1.5,1.5,1.5,1.6,1.6
26,1997,3.0,3.0,2.8,2.5,2.2,2.3,2.2,2.2,2.2,2.1,1.8,1.7,2.3
27,1996,2.7,2.7,2.8,2.9,2.9,2.8,3.0,2.9,3.0,3.0,3.3,3.3,3.0
28,1995,2.8,2.9,2.9,3.1,3.2,3.0,2.8,2.6,2.5,2.8,2.6,2.5,2.8
29,1994,2.5,2.5,2.5,2.4,2.3,2.5,2.8,2.9,3.0,2.6,2.7,2.7,2.6
30,1993,3.3,3.2,3.1,3.2,3.2,3.0,2.8,2.8,2.7,2.8,2.7,2.7,3.0
31,1992,2.6,2.8,3.2,3.2,3.0,3.1,3.2,3.1,3.0,3.2,3.0,2.9,3.0
32,1991,5.7,5.3,4.9,4.9,5.0,4.7,4.4,3.8,3.4,2.9,3.0,3.1,4.2
33,1990,5.2,5.3,5.2,4.7,4.4,4.7,4.8,5.6,6.2,6.3,6.3,6.1,5.4
34,1989,4.7,4.8,5.0,5.1,5.4,5.2,5.0,4.7,4.3,4.5,4.7,4.6,4.8
35,1988,4.0,3.9,3.9,3.9,3.9,4.0,4.1,4.0,4.2,4.2,4.2,4.4,4.1
36,1987,1.5,2.1,3.0,3.8,3.9,3.7,3.9,4.3,4.4,4.5,4.5,4.4,3.6
37,1986,3.9,3.1,2.3,1.6,1.5,1.8,1.6,1.6,1.8,1.5,1.3,1.1,1.9
38,1985,3.5,3.5,3.7,3.7,3.8,3.8,3.6,3.3,3.1,3.2,3.5,3.8,3.6
39,1984,4.2,4.6,4.8,4.6,4.2,4.2,4.2,4.3,4.3,4.3,4.1,3.9,4.3
40,1983,3.7,3.5,3.6,3.9,3.5,2.6,2.5,2.6,2.9,2.9,3.3,3.8,3.2
41,1982,8.4,7.6,6.8,6.5,6.7,7.1,6.4,5.9,5.0,5.1,4.6,3.8,6.2
42,1981,11.8,11.4,10.5,10.0,9.8,9.6,10.8,10.8,11.0,10.1,9.6,8.9,10.3
43,1980,13.9,14.2,14.8,14.7,14.4,14.4,13.1,12.9,12.6,12.8,12.6,12.5,13.5
44,1979,9.3,9.9,10.1,10.5,10.9,10.9,11.3,11.8,12.2,12.1,12.6,13.3,11.3
45,1978,6.8,6.4,6.6,6.5,7.0,7.4,7.7,7.8,8.3,8.9,8.9,9.0,7.6
46,1977,5.2,5.9,6.4,7.0,6.7,6.9,6.8,6.6,6.6,6.4,6.7,6.7,6.5
47,1976,6.7,6.3,6.1,6.0,6.2,6.0,5.4,5.7,5.5,5.5,4.9,4.9,5.8
48,1975,11.8,11.2,10.3,10.2,9.5,9.4,9.7,8.6,7.9,7.4,7.4,6.9,9.1
49,1974,9.4,10.0,10.4,10.1,10.7,10.9,11.5,10.9,11.9,12.1,12.2,12.3,11.0
50,1973,3.6,3.9,4.6,5.1,5.5,6.0,5.7,7.4,7.4,7.8,8.3,8.7,6.2
51,1972,3.3,3.5,3.5,3.5,3.2,2.7,2.9,2.9,3.2,3.4,3.7,3.4,3.2
52,1971,5.3,5.0,4.7,4.2,4.4,4.6,4.4,4.6,4.1,3.8,3.3,3.3,4.4
53,1970,6.2,6.1,5.8,6.1,6.0,6.0,6.0,5.4,5.7,5.6,5.6,5.6,5.7
54,1969,4.4,4.7,5.2,5.5,5.5,5.5,5.4,5.7,5.7,5.7,5.9,6.2,5.5
55,1968,3.6,4.0,3.9,3.9,3.9,4.2,4.5,4.5,4.5,4.7,4.7,4.7,4.2
56,1967,3.5,2.8,2.8,2.5,2.8,2.8,2.8,2.4,2.8,2.4,2.7,3.0,3.1
57,1966,1.9,2.6,2.6,2.9,2.9,2.5,2.8,3.5,3.5,3.8,3.8,3.5,2.9
58,1965,1.0,1.0,1.3,1.6,1.6,1.9,1.6,1.9,1.6,1.9,1.6,1.9,1.6
59,1964,1.6,1.6,1.3,1.3,1.3,1.3,1.3,1.0,1.3,1.0,1.3,1.0,1.3
60,1963,1.3,1.0,1.3,1.0,1.0,1.3,1.3,1.3,1.0,1.3,1.3,1.6,1.3
61,1962,0.7,1.0,1.0,1.3,1.3,1.3,1.0,1.3,1.3,1.3,1.3,1.3,1.0
62,1961,1.7,1.4,1.4,1.0,1.0,0.7,1.4,1.0,1.4,0.7,0.7,0.7,1.0
63,1960,1.0,1.7,1.7,1.7,1.7,1.7,1.4,1.4,1.0,1.4,1.4,1.4,1.7
