,ticker,amount,market_cap,percent_of_market_cap
0,SKYT,-2150469711,408695808,526.179
1,INTC,-1572532500,151699275776,1.037
2,MBLY,-1572532500,31549724672,4.984
3,CRBG,-1214687500,10674948096,11.379
4,AIG,-1194687500,41471049728,2.881
5,DT,-944773394,14900880384,6.34
6,BGNE,-824333624,20964990976,3.932
7,BX,-568549409,109499072512,0.519
8,GTES,-544331804,3716791296,14.645
9,CNM,-487968442,6602755584,7.39
10,WMT,-417276546,418817376256,0.1
11,RYAN,-395796420,11170653184,3.543
12,APP,-348376134,8339378176,4.177
13,KKR,-344285714,64308240384,0.535
14,BRK-B,272996222,739565961216,0.037
15,OXY,272996222,51854974976,0.526
16,BRK-A,272996222,739563732992,0.037
17,ARES,-223166571,28556574720,0.781
18,INTA,-186328870,3239946752,5.751
19,HES,-166710900,41623969792,0.401
20,HESM,-166710900,7475101184,2.23
21,ECVT,-152331200,1219690496,12.489
22,NVDA,-150135922,1054492459008,0.014
23,PANW,-145808280,75402436608,0.193
24,CRM,-138426683,206254227456,0.067
25,SIRE,131443725,501528928,26.209
26,ABNB,-129111330,81101209600,0.159
27,AZEK,-126965625,3927677696,3.233
28,COCO,-125968125,1624069760,7.756
29,SEAT,-122976875,1474946304,8.338
30,FWRG,-111538750,980261248,11.378
31,GS,-105570000,112470482944,0.094
32,STER,-105570000,1165580288,9.057
33,GMS,-104471358,2726576128,3.832
34,BLBD,-103500000,711818304,14.54
35,LLY,-102492851,424999026688,0.024
36,UA,-98080000,3341678080,2.935
37,UAA,-98080000,3341679616,2.935
38,TGLS,-94449500,2267375616,4.166
39,TOST,-74392941,11516785664,0.646
40,LXRX,72215130,592537024,12.187
41,RCL,-71431006,24371736576,0.293
42,SNCY,-70966627,1124349568,6.312
43,APO,-69354491,43735502848,0.159
44,AMD,-67541537,193372045312,0.035
45,HSY,-67358576,53290909696,0.126
46,TEAM,-61346491,45695848448,0.134
47,ASLE,-60000000,767808768,7.814
48,CFLT,-59235750,10272818176,0.577
49,RPRX,-56116299,14297547776,0.392
