,Date,Title,Source,URL,Section
0,2023-06-18 23:43:30,Japan's yen intervention guy welcomes US dropping it from monitoring list,Forexlive,https://www.forexlive.com/news/japans-yen-intervention-guy-welcomes-us-dropping-it-from-monitoring-list-20230618/,forex
1,2023-06-18 23:04:28,UK data -  Rightmove House Prices for June 0.0% m/m (prior + 1.8%),Forexlive,https://www.forexlive.com/news/uk-data-rightmove-house-prices-for-june-00-mm-prior-18-20230618/,forex
2,2023-06-18 22:53:54,"Web3 Gamer: Apple to fix gaming? SEC hates Metaverse, Logan Paul trolled on Steam",Cointelegraph,https://cointelegraph.com/magazine/web3-gamer-apple-gaming-sec-hates-metaverse-tokens-logan-paul-trolled-on-steam/,crypto
3,2023-06-18 22:41:04,"UBS revised down its China 2023 GDP growth forecast to 5.2%, from 5.7% previously",Forexlive,https://www.forexlive.com/news/ubs-revised-down-its-china-2023-gdp-growth-forecast-to-52-from-57-previously-20230618/,forex
4,2023-06-18 22:03:13,China’s State Council considering various macroeconomic policies to boost demand,Forexlive,https://www.forexlive.com/news/chinas-state-council-considering-various-macroeconomic-policies-to-boost-demand-20230618/,forex
5,2023-06-18 21:27:18,Head of Russian oil giant Rosneft says losing out on export share to other OPEC+ countries,Forexlive,https://www.forexlive.com/news/head-of-russian-oil-giant-rosneft-says-losing-out-on-export-share-to-other-opec-countries-20230618/,forex
6,2023-06-18 20:41:56,Magnitude 6.1 earthquake hits Gulf of California region,Forexlive,https://www.forexlive.com/news/magnitude-61-earthquake-hits-gulf-of-california-region-20230618/,forex
7,2023-06-18 20:16:43,"Economic calendar in Asia on Monday, 19 June 2023, a light one",Forexlive,https://www.forexlive.com/news/economic-calendar-in-asia-on-monday-19-june-2023-a-light-one-20230618/,forex
8,2023-06-18 20:12:47,"Bitcoin bulls look to re-establish control — Will BNB, LTC, OKB and QNT follow?",Cointelegraph,https://cointelegraph.com/news/bitcoin-bulls-look-to-re-establish-control-will-bnb-ltc-okb-and-qnt-follow,crypto
9,2023-06-18 19:00:00,": Intel to build $25 billion advanced chip plant in Israel, Netanyahu says",MarketWatch,https://www.marketwatch.com/story/intel-to-build-25-billion-advanced-chip-plant-in-israel-netanyahu-says-c9ecb4d,general
10,2023-06-18 18:25:00,: SVB Financial reaches deal to sell its investment banking unit,MarketWatch,https://www.marketwatch.com/story/svb-financial-reaches-deal-to-sell-its-investment-banking-unit-d126fe42,general
11,2023-06-18 18:00:01,"This 1-minute practice can help you 'break up with your phone,' says author who wrote the book on it",CNBC,https://www.cnbc.com/2023/06/18/this-one-minute-practice-can-help-you-break-up-with-your-phone-.html,general
12,2023-06-18 17:21:08,Is the cryptocurrency market about to break its 10-week losing streak?,Cointelegraph,https://cointelegraph.com/news/cryptocurrency-market-break-10-week-losing-streak,crypto
13,2023-06-18 16:01:00,"Markets Week Ahead: S&P 500, Gold, US Dollar, Powell, BOE, Japan Inflation, RBA Minutes",Dailyfx,https://www.dailyfx.com/news/markets-week-ahead-s-p-500-gold-us-dollar-powell-boe-japan-inflation-rba-minutes-20230618.html,forex
14,2023-06-18 14:35:40,Chipotle wants you to think composting before burrito bowl becomes trash,CNBC,https://www.cnbc.com/2023/06/18/chipotle-wants-you-to-think-before-tossing-your-burrito-bowl-in-trash.html,general
15,2023-06-18 14:01:00,Market Extra: Is the stock market closed on Juneteenth?,MarketWatch,https://www.marketwatch.com/story/is-the-stock-market-closed-on-juneteenth-dc9b9dfc,general
16,2023-06-18 13:00:01,Here's how much Americans in their 30s have in their 401(k)s,CNBC,https://www.cnbc.com/2023/06/18/fidelity-how-much-americans-in-their-30s-have-in-their-401ks.html,general
17,2023-06-18 13:00:01,"This common two-word phrase is the 'worst thing' a parent can tell a child, says education expert",CNBC,https://www.cnbc.com/2023/06/18/dont-tell-a-young-child-to-calm-down-says-education-expert.html,general
18,2023-06-18 12:00:01,"'People just want their jets.' Paris Air show returns as Boeing, Airbus race to increase production",CNBC,https://www.cnbc.com/2023/06/18/paris-air-show-returns-as-boeing-airbus-race-to-increase-production.html,general
19,2023-06-18 10:58:48,Binance sends cease and desist notice to fraudulent Nigerian entity,Cointelegraph,https://cointelegraph.com/news/binance-cease-and-desist-notice-to-nigerian-scammer,crypto
20,2023-06-18 09:58:48,Grayscale Bitcoin Trust nears 2023 highs on BlackRock ETF filing as buyers step up,Cointelegraph,https://cointelegraph.com/news/grayscale-bitcoin-trust-2023-high-blackrock-etf-filing-buyers,crypto
21,2023-06-18 09:07:00,How to write effective ChatGPT prompts for better results,Cointelegraph,https://cointelegraph.com/news/how-to-write-effective-chatgpt-prompts-for-better-results,crypto
22,2023-06-18 08:00:00,US Dollar Week Ahead: Bearish Bets Increase After Fed’s Hawkish Pause,Dailyfx,https://www.dailyfx.com/news/us-dollar-week-ahead-bearish-bets-increase-after-fed-s-hawkish-pause-20230618.html,forex
23,2023-06-18 07:03:37,Binance CEO CZ deems SEC's request for emergency relief unwarranted,Cointelegraph,https://cointelegraph.com/news/binance-ceo-cz-sec-request-for-emergency-relief-unwarranted,crypto
24,2023-06-18 06:06:41,"CZ, Powell and more rally to fund legal fees for on-chain sleuth ZachXBT, surpassing $1M",Cointelegraph,https://cointelegraph.com/news/cz-powell-on-chain-sleuth-zach-xbt-legal-fees,crypto
