,date,short_vol,short_exempt_vol,total_vol,percent_shorted
0,2023-06-16,538234.0,17357.0,1265772.0,42.52
1,2023-06-15,1052659.0,57837.0,2488337.0,42.3
2,2023-06-14,1424686.0,108832.0,3219284.0,44.25
3,2023-06-13,3175585.0,125454.0,7412373.0,42.84
4,2023-06-12,1309833.0,112713.0,2957337.0,44.29
5,2023-06-09,1942397.0,231102.0,4624836.0,42.0
6,2023-06-08,4660815.0,238992.0,8867306.0,52.56
7,2023-06-07,3225541.0,130035.0,5365818.0,60.11
8,2023-06-06,918303.0,20098.0,1672951.0,54.89
9,2023-06-05,1071627.0,19861.0,2297297.0,46.65
10,2023-06-02,680659.0,43300.0,1344261.0,50.63
11,2023-06-01,950292.0,14030.0,1695433.0,56.05
12,2023-05-31,791730.0,16863.0,1420066.0,55.75
13,2023-05-30,1028400.0,21673.0,2020070.0,50.91
14,2023-05-26,584800.0,19667.0,979648.0,59.69
15,2023-05-25,552852.0,19201.0,896570.0,61.66
16,2023-05-24,285554.0,4979.0,734090.0,38.9
17,2023-05-23,901228.0,8693.0,1635803.0,55.09
18,2023-05-22,1017627.0,19103.0,2406095.0,42.29
19,2023-05-19,553826.0,15760.0,1158162.0,47.82
20,2023-05-18,392927.0,8513.0,808012.0,48.63
21,2023-05-17,1190262.0,16022.0,1985611.0,59.94
22,2023-05-16,608188.0,12679.0,1026097.0,59.27
23,2023-05-15,440054.0,5494.0,950562.0,46.29
24,2023-05-12,344939.0,12766.0,722444.0,47.75
25,2023-05-11,353071.0,6962.0,715398.0,49.35
26,2023-05-10,382247.0,12339.0,813078.0,47.01
27,2023-05-09,270574.0,9023.0,528596.0,51.19
28,2023-05-08,555311.0,100021.0,1143148.0,48.58
29,2023-05-05,1065819.0,9235.0,1751548.0,60.85
30,2023-05-04,511122.0,8565.0,832562.0,61.39
31,2023-05-03,639051.0,18549.0,985920.0,64.82
32,2023-05-02,434186.0,8526.0,709526.0,61.19
33,2023-05-01,564921.0,3302.0,859104.0,65.76
34,2023-04-28,543354.0,15774.0,915679.0,59.34
35,2023-04-27,492184.0,6092.0,772098.0,63.75
36,2023-04-26,486523.0,7011.0,756537.0,64.31
37,2023-04-25,544831.0,7383.0,862640.0,63.16
38,2023-04-24,768315.0,9085.0,1081395.0,71.05
39,2023-04-21,443151.0,5145.0,705726.0,62.79
40,2023-04-20,768887.0,12097.0,1114129.0,69.01
41,2023-04-19,592758.0,111848.0,888828.0,66.69
42,2023-04-18,673059.0,9651.0,990436.0,67.96
43,2023-04-17,392699.0,7921.0,718328.0,54.67
44,2023-04-14,551885.0,7182.0,892251.0,61.85
45,2023-04-13,309914.0,4347.0,691731.0,44.8
46,2023-04-12,564092.0,10602.0,847727.0,66.54
47,2023-04-11,569132.0,12703.0,978153.0,58.18
48,2023-04-10,521626.0,9266.0,806711.0,64.66
49,2023-04-06,512905.0,7975.0,843059.0,60.84
50,2023-04-05,770459.0,6993.0,1367486.0,56.34
51,2023-04-04,744450.0,5540.0,1316136.0,56.56
52,2023-04-03,887457.0,13063.0,1751500.0,50.67
53,2023-03-31,854459.0,19392.0,1547600.0,55.21
54,2023-03-30,1026410.0,8953.0,1752505.0,58.57
55,2023-03-29,1256937.0,12751.0,2008934.0,62.57
56,2023-03-28,1814207.0,22693.0,2918535.0,62.16
57,2023-03-27,1286091.0,16488.0,2020328.0,63.66
58,2023-03-24,2752184.0,51345.0,4583823.0,60.04
59,2023-03-23,3136031.0,70023.0,5135786.0,61.06
60,2023-03-22,20067622.0,337656.0,33572654.0,59.77
61,2023-03-21,1308068.0,46154.0,2227985.0,58.71
62,2023-03-20,1340347.0,5229.0,1828399.0,73.31
63,2023-03-17,934016.0,8853.0,1221275.0,76.48
64,2023-03-16,750488.0,17955.0,1082957.0,69.3
65,2023-03-15,1177637.0,21383.0,1627571.0,72.36
66,2023-03-14,658296.0,6306.0,1059720.0,62.12
67,2023-03-13,641199.0,6848.0,998993.0,64.18
68,2023-03-10,729944.0,12496.0,1039777.0,70.2
69,2023-03-09,592113.0,5694.0,853274.0,69.39
70,2023-03-08,535710.0,4245.0,807457.0,66.35
71,2023-03-07,490005.0,5914.0,750076.0,65.33
72,2023-03-06,679699.0,14895.0,1047798.0,64.87
73,2023-03-03,583935.0,8861.0,926943.0,63.0
74,2023-03-02,621059.0,9692.0,907335.0,68.45
75,2023-03-01,998780.0,13521.0,1469240.0,67.98
76,2023-02-28,619228.0,17562.0,988953.0,62.61
77,2023-02-27,1229525.0,47198.0,1807626.0,68.02
78,2023-02-24,484214.0,38645.0,748432.0,64.7
79,2023-02-23,633774.0,10803.0,1009351.0,62.79
80,2023-02-22,496700.0,10567.0,772976.0,64.26
81,2023-02-21,672632.0,8133.0,1079699.0,62.3
82,2023-02-17,665110.0,17080.0,1142523.0,58.21
83,2023-02-16,716306.0,23326.0,1353071.0,52.94
84,2023-02-15,1791602.0,80990.0,3121829.0,57.39
85,2023-02-14,627136.0,65106.0,1026892.0,61.07
86,2023-02-13,521717.0,26709.0,894653.0,58.32
87,2023-02-10,817085.0,95782.0,1231428.0,66.35
88,2023-02-09,1075222.0,19583.0,1706186.0,63.02
89,2023-02-08,691283.0,51634.0,1126517.0,61.36
90,2023-02-07,2298123.0,101655.0,3737248.0,61.49
91,2023-02-06,2718117.0,43942.0,4451867.0,61.06
92,2023-02-03,1071595.0,25262.0,1986513.0,53.94
93,2023-02-02,1733714.0,44067.0,2938626.0,59.0
94,2023-02-01,1279576.0,39404.0,1854831.0,68.99
95,2023-01-31,726633.0,9736.0,1154521.0,62.94
96,2023-01-30,1151523.0,23344.0,2088105.0,55.15
97,2023-01-27,3112111.0,257211.0,5196975.0,59.88
98,2023-01-26,925206.0,27431.0,1485461.0,62.28
99,2023-01-25,742819.0,27360.0,1355530.0,54.8
100,2023-01-24,495032.0,9912.0,1033470.0,47.9
101,2023-01-23,1833779.0,47596.0,3715253.0,49.36
102,2023-01-20,803474.0,22566.0,1554221.0,51.7
103,2023-01-19,1139956.0,21047.0,1895675.0,60.13
104,2023-01-18,1430385.0,55356.0,2173963.0,65.8
105,2023-01-17,1240060.0,21650.0,2267801.0,54.68
106,2023-01-13,1394768.0,20919.0,2279116.0,61.2
107,2023-01-12,1324147.0,13113.0,2608509.0,50.76
108,2023-01-11,2599837.0,41245.0,4273916.0,60.83
109,2023-01-10,1204161.0,15348.0,1911627.0,62.99
110,2023-01-09,832272.0,14342.0,1328214.0,62.66
111,2023-01-06,1150061.0,70149.0,1837347.0,62.59
112,2023-01-05,1591224.0,13436.0,2394512.0,66.45
113,2023-01-04,1019270.0,10623.0,1607642.0,63.4
114,2023-01-03,1882148.0,6296.0,2618289.0,71.88
115,2022-12-30,496995.0,7650.0,1040003.0,47.79
116,2022-12-29,662465.0,23633.0,1124744.0,58.9
117,2022-12-28,2187415.0,85256.0,2979272.0,73.42
118,2022-12-27,1152516.0,27953.0,1819788.0,63.33
119,2022-12-23,587280.0,33231.0,1108498.0,52.98
120,2022-12-22,1466891.0,33592.0,2128047.0,68.93
121,2022-12-21,614108.0,8368.0,964381.0,63.68
122,2022-12-20,941652.0,7471.0,1468987.0,64.1
123,2022-12-19,877282.0,3477.0,1259747.0,69.64
124,2022-12-16,835347.0,8724.0,1280407.0,65.24
125,2022-12-15,1035936.0,25702.0,1581365.0,65.51
126,2022-12-14,1026565.0,4648.0,1521063.0,67.49
127,2022-12-13,1738403.0,19880.0,2360037.0,73.66
128,2022-12-12,795515.0,7212.0,1316857.0,60.41
129,2022-12-09,1298555.0,16163.0,1885826.0,68.86
130,2022-12-08,2720936.0,36061.0,4228367.0,64.35
131,2022-12-07,2567896.0,28231.0,3258525.0,78.81
132,2022-12-06,2242475.0,11559.0,2811194.0,79.77
133,2022-12-05,1333730.0,6856.0,1815795.0,73.45
134,2022-12-02,1110869.0,39577.0,1860388.0,59.71
135,2022-12-01,2449010.0,31785.0,3954531.0,61.93
136,2022-11-30,848040.0,20334.0,1298940.0,65.29
137,2022-11-29,516299.0,15683.0,829675.0,62.23
138,2022-11-28,626079.0,3969.0,968092.0,64.67
139,2022-11-25,257130.0,5957.0,435677.0,59.02
140,2022-11-23,620625.0,4105.0,1046517.0,59.3
141,2022-11-22,1087862.0,4859.0,1684495.0,64.58
142,2022-11-21,1198183.0,50561.0,1783687.0,67.17
143,2022-11-18,795098.0,9140.0,1178995.0,67.44
144,2022-11-17,625818.0,6598.0,993972.0,62.96
145,2022-11-16,421745.0,2814.0,787000.0,53.59
146,2022-11-15,1171215.0,22832.0,2059010.0,56.88
147,2022-11-14,952418.0,14425.0,1595607.0,59.69
148,2022-11-11,799757.0,18038.0,1471061.0,54.37
149,2022-11-10,1364419.0,73115.0,2254442.0,60.52
150,2022-11-09,2269301.0,69745.0,3061620.0,74.12
151,2022-11-08,1151832.0,9250.0,1602806.0,71.86
152,2022-11-07,768315.0,8065.0,1174348.0,65.42
153,2022-11-04,1104438.0,10900.0,1568360.0,70.42
154,2022-11-03,768239.0,7028.0,1218520.0,63.05
155,2022-11-02,996686.0,26927.0,1785960.0,55.81
156,2022-11-01,1328843.0,24966.0,2279632.0,58.29
157,2022-10-31,6957475.0,112332.0,11587423.0,60.04
158,2022-10-28,2408777.0,46002.0,3957566.0,60.87
159,2022-10-27,562277.0,8666.0,943499.0,59.59
160,2022-10-26,914160.0,16014.0,1502564.0,60.84
161,2022-10-25,1730170.0,40287.0,3211272.0,53.88
162,2022-10-24,865360.0,6237.0,1243681.0,69.58
163,2022-10-21,834219.0,10169.0,1236971.0,67.44
164,2022-10-20,1338349.0,10132.0,1742293.0,76.82
165,2022-10-19,1580504.0,5274.0,1878615.0,84.13
166,2022-10-18,1023244.0,9065.0,1600306.0,63.94
167,2022-10-17,575999.0,16774.0,1087814.0,52.95
168,2022-10-14,749953.0,3549.0,1055489.0,71.05
169,2022-10-13,754524.0,23317.0,1240463.0,60.83
170,2022-10-12,728745.0,12341.0,1226104.0,59.44
171,2022-10-11,1117559.0,16220.0,1634464.0,68.37
172,2022-10-10,771470.0,4748.0,1211750.0,63.67
173,2022-10-07,738816.0,4949.0,1041020.0,70.97
174,2022-10-06,624944.0,13456.0,997323.0,62.66
175,2022-10-05,730812.0,6057.0,1108108.0,65.95
176,2022-10-04,1007314.0,13581.0,1843833.0,54.63
177,2022-10-03,628330.0,6874.0,952267.0,65.98
178,2022-09-30,545823.0,3154.0,1185053.0,46.06
179,2022-09-29,865771.0,7615.0,1739331.0,49.78
180,2022-09-28,460858.0,11250.0,1077980.0,42.75
181,2022-09-27,684750.0,13597.0,1691251.0,40.49
182,2022-09-26,689665.0,5677.0,1432276.0,48.15
183,2022-09-23,752785.0,7593.0,1496098.0,50.32
184,2022-09-22,945555.0,10809.0,1897510.0,49.83
185,2022-09-21,749281.0,8551.0,1730352.0,43.3
186,2022-09-20,621222.0,6765.0,1227809.0,50.6
187,2022-09-19,627368.0,25421.0,1507580.0,41.61
188,2022-09-16,912571.0,13492.0,1604717.0,56.87
189,2022-09-15,641984.0,12877.0,1341959.0,47.84
190,2022-09-14,917805.0,10498.0,1465967.0,62.61
191,2022-09-13,913139.0,18405.0,1496785.0,61.01
192,2022-09-12,1456330.0,36038.0,2690301.0,54.13
193,2022-09-09,1558675.0,47244.0,3665089.0,42.53
194,2022-09-08,2975687.0,93230.0,6164602.0,48.27
195,2022-09-07,2323737.0,28503.0,3769053.0,61.65
196,2022-09-06,1454558.0,23453.0,2615605.0,55.61
197,2022-09-02,1034582.0,11738.0,1705739.0,60.65
198,2022-09-01,1209359.0,18960.0,1880276.0,64.32
199,2022-08-31,1220739.0,19554.0,1771316.0,68.92
200,2022-08-30,1297388.0,6402.0,1871315.0,69.33
201,2022-08-29,1067291.0,10650.0,1729592.0,61.71
202,2022-08-26,962340.0,11669.0,1492382.0,64.48
203,2022-08-25,1210424.0,26039.0,1798599.0,67.3
204,2022-08-24,1363610.0,16482.0,1990234.0,68.52
205,2022-08-23,1304530.0,24328.0,1907160.0,68.4
206,2022-08-22,1418914.0,14341.0,2125267.0,66.76
207,2022-08-19,2241572.0,15123.0,3315494.0,67.61
208,2022-08-18,1570512.0,16267.0,2561591.0,61.31
209,2022-08-17,2247179.0,24023.0,4687699.0,47.94
210,2022-08-16,6637014.0,105911.0,11361249.0,58.42
211,2022-08-15,1261508.0,32626.0,2367270.0,53.29
212,2022-08-12,1093907.0,29671.0,2288240.0,47.81
213,2022-08-11,1219423.0,35358.0,2124430.0,57.4
214,2022-08-10,1492682.0,70698.0,2576263.0,57.94
215,2022-08-09,1148424.0,45863.0,2681606.0,42.83
216,2022-08-08,4052270.0,97091.0,7587419.0,53.41
217,2022-08-05,1854521.0,70303.0,3554526.0,52.17
218,2022-08-04,1035084.0,36953.0,1989022.0,52.04
219,2022-08-03,1141743.0,18179.0,2002697.0,57.01
220,2022-08-02,1191299.0,14555.0,2254487.0,52.84
221,2022-08-01,929223.0,29121.0,1778857.0,52.24
222,2022-07-29,901389.0,11449.0,1662286.0,54.23
223,2022-07-28,784990.0,15623.0,1389989.0,56.47
224,2022-07-27,826935.0,24417.0,1612064.0,51.3
225,2022-07-26,1087912.0,23292.0,2000880.0,54.37
226,2022-07-25,848416.0,23892.0,2190488.0,38.73
227,2022-07-22,2225738.0,28749.0,3615240.0,61.57
228,2022-07-21,562791.0,9194.0,930098.0,60.51
229,2022-07-20,723729.0,11445.0,1180431.0,61.31
230,2022-07-19,863637.0,19478.0,1454911.0,59.36
231,2022-07-18,743334.0,11139.0,1263918.0,58.81
232,2022-07-15,562280.0,7339.0,888811.0,63.26
