,rank,watchlist,date_updated
0,22,760696,2021-11-29 03:00
1,9,761296,2021-11-30 16:00
2,29,761328,2021-11-30 17:00
3,23,761402,2021-11-30 19:00
4,14,761431,2021-11-30 20:00
5,16,761490,2021-11-30 21:00
6,10,761523,2021-11-30 22:00
7,8,761557,2021-11-30 23:00
8,5,761589,2021-12-01 00:00
9,2,761616,2021-12-01 01:00
10,3,761647,2021-12-01 02:00
11,4,761661,2021-12-01 03:00
12,3,761699,2021-12-01 04:00
13,1,761722,2021-12-01 05:00
14,1,761739,2021-12-01 06:00
15,1,761762,2021-12-01 07:00
16,3,761776,2021-12-01 08:00
17,9,761790,2021-12-01 09:00
18,9,761806,2021-12-01 10:00
19,10,761832,2021-12-01 11:00
20,11,761858,2021-12-01 12:00
21,2,761891,2021-12-01 13:00
22,7,761934,2021-12-01 14:00
23,16,761986,2021-12-01 15:00
24,23,762008,2021-12-01 16:00
25,3,762057,2021-12-01 17:00
26,12,762230,2021-12-01 21:00
27,15,762334,2021-12-02 03:00
28,6,762366,2021-12-02 04:00
29,5,762391,2021-12-02 05:00
30,4,762425,2021-12-02 06:00
31,4,762449,2021-12-02 07:00
32,9,762462,2021-12-02 08:00
33,11,762491,2021-12-02 09:00
34,6,762510,2021-12-02 10:00
35,4,762530,2021-12-02 11:00
36,3,762546,2021-12-02 12:00
37,1,762580,2021-12-02 13:00
38,1,762636,2021-12-02 14:00
39,3,762731,2021-12-02 15:00
40,22,762758,2021-12-02 16:00
41,16,764083,2021-12-06 15:00
42,22,764386,2021-12-07 09:00
43,11,764397,2021-12-07 10:00
44,11,764410,2021-12-07 11:00
45,17,764426,2021-12-07 12:00
46,13,764511,2021-12-07 15:00
47,20,764706,2021-12-07 22:00
48,15,764732,2021-12-07 23:00
49,5,764752,2021-12-08 00:00
50,2,764772,2021-12-08 01:00
51,2,764800,2021-12-08 02:00
52,2,764818,2021-12-08 03:00
53,5,764851,2021-12-08 04:00
54,5,764871,2021-12-08 05:00
55,9,764891,2021-12-08 06:00
56,8,764906,2021-12-08 07:00
57,8,764919,2021-12-08 08:00
58,15,764919,2021-12-08 09:00
59,12,765068,2021-12-08 15:00
60,4,765125,2021-12-08 16:00
61,10,765165,2021-12-08 17:00
62,2,765268,2021-12-08 20:00
63,6,765313,2021-12-08 21:00
64,12,765330,2021-12-08 22:00
65,9,765365,2021-12-08 23:00
66,13,765388,2021-12-09 00:00
67,23,765409,2021-12-09 01:00
68,16,765431,2021-12-09 02:00
69,14,765444,2021-12-09 03:00
70,14,765460,2021-12-09 04:00
71,14,765478,2021-12-09 05:00
72,12,765501,2021-12-09 06:00
73,11,765518,2021-12-09 07:00
74,18,765535,2021-12-09 08:00
75,16,765563,2021-12-09 10:00
76,8,765580,2021-12-09 11:00
77,10,765593,2021-12-09 12:00
78,15,765689,2021-12-09 15:00
79,5,765746,2021-12-09 16:00
80,21,765790,2021-12-09 17:00
81,10,765888,2021-12-09 21:00
82,30,765929,2021-12-10 00:00
83,26,766055,2021-12-10 07:00
84,27,766078,2021-12-10 08:00
85,21,766088,2021-12-10 09:00
86,18,766212,2021-12-10 16:00
87,25,766233,2021-12-10 17:00
88,16,766255,2021-12-10 18:00
89,3,766284,2021-12-10 19:00
90,6,766322,2021-12-10 20:00
91,2,766358,2021-12-10 21:00
92,4,766406,2021-12-10 22:00
93,4,766425,2021-12-10 23:00
94,4,766441,2021-12-11 00:00
95,5,766461,2021-12-11 01:00
96,5,766461,2021-12-11 02:00
97,5,766472,2021-12-11 03:00
98,5,766476,2021-12-11 04:00
99,6,766490,2021-12-11 05:00
100,9,766502,2021-12-11 06:00
101,11,766518,2021-12-11 07:00
102,9,766528,2021-12-11 08:00
103,20,766539,2021-12-11 09:00
104,21,766965,2021-12-13 05:00
105,23,766979,2021-12-13 06:00
106,21,766998,2021-12-13 07:00
107,13,767005,2021-12-13 08:00
108,11,767009,2021-12-13 09:00
109,2,767018,2021-12-13 10:00
110,2,767016,2021-12-13 11:00
111,2,767024,2021-12-13 12:00
112,1,767042,2021-12-13 13:00
113,2,767071,2021-12-13 14:00
114,7,767103,2021-12-13 15:00
115,2,767154,2021-12-13 16:00
116,8,767265,2021-12-13 17:00
117,25,767347,2021-12-13 19:00
118,11,767390,2021-12-13 21:00
119,25,767413,2021-12-13 22:00
120,23,767437,2021-12-14 00:00
121,24,767560,2021-12-14 10:00
122,17,767619,2021-12-14 14:00
123,16,767644,2021-12-14 15:00
124,9,768040,2021-12-15 20:00
125,30,768170,2021-12-16 03:00
126,19,768593,2021-12-16 20:00
127,7,773965,2022-01-03 19:00
128,30,779006,2022-01-18 06:00
129,26,779062,2022-01-18 07:00
130,9,779103,2022-01-18 08:00
131,10,779148,2022-01-18 09:00
132,6,779173,2022-01-18 10:00
133,10,779203,2022-01-18 11:00
134,15,779222,2022-01-18 12:00
135,16,779523,2022-01-19 07:00
136,12,779873,2022-01-20 09:00
137,18,780145,2022-01-20 20:00
138,27,780164,2022-01-20 21:00
139,22,780218,2022-01-20 23:00
140,21,780241,2022-01-21 00:00
141,19,780255,2022-01-21 01:00
142,22,780278,2022-01-21 02:00
143,24,780290,2022-01-21 03:00
144,14,780327,2022-01-21 05:00
145,15,780340,2022-01-21 06:00
146,15,780355,2022-01-21 07:00
147,14,780368,2022-01-21 08:00
148,28,780543,2022-01-21 16:00
149,12,781493,2022-01-24 14:00
150,20,781623,2022-01-24 16:00
151,5,781726,2022-01-24 18:00
152,17,781814,2022-01-24 21:00
153,26,781891,2022-01-25 00:00
154,29,781907,2022-01-25 01:00
155,21,781925,2022-01-25 02:00
156,12,781913,2022-01-25 03:00
157,11,781923,2022-01-25 04:00
158,5,781933,2022-01-25 05:00
159,4,781948,2022-01-25 06:00
160,2,781961,2022-01-25 07:00
161,2,781980,2022-01-25 08:00
162,7,781987,2022-01-25 09:00
163,10,782000,2022-01-25 10:00
164,28,782000,2022-01-25 11:00
165,9,782286,2022-01-25 20:00
166,23,782335,2022-01-25 22:00
167,16,782373,2022-01-25 23:00
168,11,782390,2022-01-26 00:00
169,3,782410,2022-01-26 01:00
170,3,782428,2022-01-26 02:00
171,4,782456,2022-01-26 03:00
172,4,782466,2022-01-26 04:00
173,4,782485,2022-01-26 05:00
174,5,782508,2022-01-26 06:00
175,7,782529,2022-01-26 07:00
176,16,782580,2022-01-26 10:00
177,24,782604,2022-01-26 11:00
178,12,782617,2022-01-26 12:00
179,8,782831,2022-01-26 20:00
180,10,782861,2022-01-26 21:00
181,24,782899,2022-01-26 22:00
182,17,782914,2022-01-26 23:00
183,27,782933,2022-01-27 00:00
184,14,782948,2022-01-27 02:00
185,4,782964,2022-01-27 03:00
186,3,782990,2022-01-27 04:00
187,3,783006,2022-01-27 05:00
188,2,783024,2022-01-27 06:00
189,2,783040,2022-01-27 07:00
190,2,783051,2022-01-27 08:00
191,2,783062,2022-01-27 09:00
192,2,783068,2022-01-27 10:00
193,2,783088,2022-01-27 11:00
194,3,783131,2022-01-27 12:00
195,2,783154,2022-01-27 13:00
196,2,783185,2022-01-27 14:00
197,12,783219,2022-01-27 15:00
198,20,783290,2022-01-27 16:00
199,12,783325,2022-01-27 17:00
200,3,783365,2022-01-27 18:00
201,4,783397,2022-01-27 19:00
202,2,783470,2022-01-27 20:00
203,1,783541,2022-01-27 21:00
204,2,783972,2022-01-27 22:00
205,1,784119,2022-01-27 23:00
206,1,784179,2022-01-28 00:00
207,1,784231,2022-01-28 01:00
208,1,784276,2022-01-28 02:00
209,2,784323,2022-01-28 03:00
210,2,784287,2022-01-28 04:00
211,2,784312,2022-01-28 05:00
212,2,784347,2022-01-28 06:00
213,2,784362,2022-01-28 07:00
214,2,784381,2022-01-28 08:00
215,2,784402,2022-01-28 09:00
216,2,784431,2022-01-28 10:00
217,2,784450,2022-01-28 11:00
218,2,784484,2022-01-28 12:00
219,1,784484,2022-01-28 13:00
220,1,784528,2022-01-28 14:00
221,2,784594,2022-01-28 15:00
222,2,784670,2022-01-28 16:00
223,2,784717,2022-01-28 17:00
224,2,784748,2022-01-28 18:00
225,4,784801,2022-01-28 19:00
226,3,784822,2022-01-28 20:00
227,4,784837,2022-01-28 21:00
228,24,794115,2022-03-04 02:00
229,11,794135,2022-03-04 03:00
230,8,794149,2022-03-04 04:00
231,12,794152,2022-03-04 05:00
232,26,794924,2022-03-08 07:00
233,15,794946,2022-03-08 09:00
234,23,794950,2022-03-08 10:00
235,18,794988,2022-03-08 18:00
236,1,795009,2022-03-08 19:00
237,2,795016,2022-03-08 20:00
238,2,795106,2022-03-08 22:00
239,10,795117,2022-03-08 23:00
240,15,795134,2022-03-09 00:00
241,9,795148,2022-03-09 01:00
242,10,795160,2022-03-09 02:00
243,15,795589,2022-03-10 16:00
244,7,795631,2022-03-10 17:00
245,18,795650,2022-03-10 18:00
246,5,795852,2022-03-11 13:00
247,27,795856,2022-03-11 14:00
248,14,795874,2022-03-11 15:00
249,4,795906,2022-03-11 17:00
250,1,795922,2022-03-11 18:00
251,15,795963,2022-03-11 21:00
252,5,796435,2022-03-14 04:00
253,4,796435,2022-03-14 05:00
254,2,796444,2022-03-14 06:00
255,2,796463,2022-03-14 07:00
256,3,796471,2022-03-14 08:00
257,4,796476,2022-03-14 09:00
258,6,796488,2022-03-14 10:00
259,7,796495,2022-03-14 11:00
260,3,796527,2022-03-14 12:00
261,1,796554,2022-03-14 13:00
262,5,796579,2022-03-14 14:00
263,17,796605,2022-03-14 15:00
264,10,796653,2022-03-14 17:00
265,7,796678,2022-03-14 18:00
266,21,796773,2022-03-15 01:00
267,17,796773,2022-03-15 02:00
268,20,796785,2022-03-15 03:00
269,13,796846,2022-03-15 11:00
270,23,796897,2022-03-15 14:00
271,24,797101,2022-03-16 09:00
272,6,797108,2022-03-16 10:00
273,8,797122,2022-03-16 11:00
274,29,798932,2022-03-23 14:00
275,6,798985,2022-03-23 16:00
276,26,799007,2022-03-23 17:00
277,5,799045,2022-03-23 18:00
278,25,799045,2022-03-23 19:00
279,17,799075,2022-03-23 21:00
280,10,799286,2022-03-24 12:00
281,15,799332,2022-03-24 14:00
282,27,799345,2022-03-24 15:00
283,3,799396,2022-03-24 18:00
284,26,799407,2022-03-24 19:00
285,3,799432,2022-03-24 20:00
286,9,799435,2022-03-24 21:00
287,12,799456,2022-03-24 22:00
288,6,799470,2022-03-24 23:00
289,9,799483,2022-03-25 00:00
290,17,799493,2022-03-25 01:00
291,14,799497,2022-03-25 02:00
292,15,799497,2022-03-25 03:00
293,25,799514,2022-03-25 04:00
294,22,799583,2022-03-25 10:00
295,4,799596,2022-03-25 11:00
296,7,799612,2022-03-25 12:00
297,5,799642,2022-03-25 14:00
298,9,799655,2022-03-25 15:00
299,7,799679,2022-03-25 16:00
300,1,799854,2022-03-26 07:00
301,1,799856,2022-03-26 08:00
302,1,799867,2022-03-26 09:00
303,1,799875,2022-03-26 10:00
304,1,799879,2022-03-26 11:00
