,rank,watchlist,date_updated
0,21,25611,2021-11-30 03:00
1,16,25613,2021-11-30 04:00
2,17,25613,2021-11-30 05:00
3,11,25610,2021-11-30 06:00
4,17,25613,2021-11-30 07:00
5,26,25613,2021-11-30 08:00
6,23,25616,2021-11-30 09:00
7,22,25667,2021-12-03 17:00
8,25,25673,2021-12-03 18:00
9,26,25679,2021-12-03 19:00
10,30,25684,2021-12-03 20:00
11,30,25694,2021-12-03 23:00
12,29,25707,2021-12-04 01:00
13,18,25709,2021-12-04 02:00
14,16,25792,2021-12-09 14:00
15,16,25890,2021-12-13 04:00
16,8,25895,2021-12-13 05:00
17,14,25895,2021-12-13 06:00
18,9,25903,2021-12-13 07:00
19,3,25914,2021-12-13 08:00
20,4,25921,2021-12-13 09:00
21,4,25930,2021-12-13 10:00
22,5,25936,2021-12-13 11:00
23,5,25949,2021-12-13 12:00
24,22,26022,2021-12-14 17:00
25,15,26042,2021-12-14 18:00
26,7,26076,2021-12-14 19:00
27,5,26103,2021-12-14 20:00
28,10,26122,2021-12-14 21:00
29,8,26132,2021-12-14 22:00
30,8,26143,2021-12-14 23:00
31,12,26149,2021-12-15 00:00
32,12,26149,2021-12-15 01:00
33,9,26157,2021-12-15 02:00
34,7,26167,2021-12-15 03:00
35,11,26171,2021-12-15 04:00
36,12,26177,2021-12-15 05:00
37,18,26177,2021-12-15 06:00
38,20,26223,2021-12-15 21:00
39,28,26235,2021-12-15 22:00
40,22,26233,2021-12-15 23:00
41,10,26242,2021-12-16 00:00
42,13,26245,2021-12-16 01:00
43,29,26264,2021-12-16 05:00
44,26,26264,2021-12-16 06:00
45,17,26265,2021-12-16 07:00
46,13,26267,2021-12-16 08:00
47,15,26272,2021-12-16 10:00
48,13,26282,2021-12-16 11:00
49,16,26292,2021-12-16 12:00
50,7,26297,2021-12-16 13:00
51,2,26350,2021-12-16 14:00
52,2,26419,2021-12-16 15:00
53,2,26486,2021-12-16 16:00
54,3,26524,2021-12-16 17:00
55,5,26563,2021-12-16 18:00
56,6,26586,2021-12-16 19:00
57,6,26609,2021-12-16 20:00
58,11,26628,2021-12-16 21:00
59,5,26645,2021-12-16 22:00
60,9,26659,2021-12-16 23:00
61,16,26664,2021-12-17 00:00
62,27,26669,2021-12-17 01:00
63,15,26677,2021-12-17 02:00
64,23,26683,2021-12-17 03:00
65,23,26683,2021-12-17 04:00
66,19,26689,2021-12-17 05:00
67,26,26707,2021-12-17 10:00
68,26,26712,2021-12-17 11:00
69,29,27380,2022-02-15 18:00
70,8,27399,2022-02-19 09:00
71,3,27404,2022-02-19 10:00
72,3,27404,2022-02-19 11:00
73,3,27408,2022-02-19 12:00
74,1,27411,2022-02-19 13:00
75,3,27418,2022-02-19 14:00
76,4,27424,2022-02-19 15:00
77,16,27424,2022-02-19 16:00
78,24,27423,2022-02-19 17:00
79,27,27528,2022-03-15 13:00
80,11,27533,2022-03-15 14:00
81,24,27542,2022-03-16 07:00
82,12,27545,2022-03-16 08:00
83,13,27545,2022-03-16 09:00
84,10,27548,2022-03-16 10:00
85,28,27571,2022-03-17 21:00
86,27,27571,2022-03-17 23:00
87,17,27572,2022-03-18 00:00
88,16,27626,2022-03-21 05:00
89,10,27626,2022-03-21 06:00
90,11,27628,2022-03-21 07:00
91,6,27631,2022-03-21 08:00
92,8,27631,2022-03-21 09:00
93,14,27632,2022-03-21 10:00
94,11,27637,2022-03-21 11:00
95,22,27668,2022-03-21 23:00
96,18,27674,2022-03-22 00:00
97,8,27680,2022-03-22 01:00
98,10,27691,2022-03-22 02:00
99,14,27691,2022-03-22 03:00
100,22,27691,2022-03-22 04:00
101,23,27694,2022-03-22 09:00
102,13,27695,2022-03-22 10:00
103,10,27695,2022-03-22 11:00
104,11,27712,2022-03-22 15:00
105,10,27722,2022-03-22 16:00
106,7,27735,2022-03-22 17:00
107,12,27750,2022-03-22 18:00
108,11,27761,2022-03-22 19:00
109,5,27803,2022-03-22 20:00
110,4,27865,2022-03-22 21:00
111,5,27883,2022-03-22 22:00
112,5,27893,2022-03-22 23:00
113,7,27893,2022-03-23 00:00
114,8,27901,2022-03-23 01:00
115,10,27892,2022-03-23 02:00
116,12,27895,2022-03-23 03:00
117,15,27900,2022-03-23 04:00
118,9,27899,2022-03-23 05:00
119,6,27899,2022-03-23 06:00
120,5,27902,2022-03-23 07:00
121,5,27905,2022-03-23 08:00
122,5,27907,2022-03-23 09:00
123,7,27907,2022-03-23 10:00
124,8,27910,2022-03-23 11:00
125,7,27910,2022-03-23 12:00
126,8,27915,2022-03-23 13:00
127,9,27929,2022-03-23 14:00
128,9,27989,2022-03-23 16:00
129,7,28018,2022-03-23 17:00
130,9,28043,2022-03-23 18:00
131,4,28076,2022-03-23 19:00
132,8,28097,2022-03-23 20:00
133,25,28119,2022-03-23 21:00
134,15,28148,2022-03-24 03:00
135,8,28150,2022-03-24 04:00
136,6,28158,2022-03-24 05:00
137,12,28158,2022-03-24 06:00
