,rank,watchlist,date_updated
0,30,355253,2021-11-29 05:00
1,2,355261,2021-11-29 06:00
2,1,355272,2021-11-29 07:00
3,1,355286,2021-11-29 08:00
4,1,355298,2021-11-29 09:00
5,3,355311,2021-11-29 10:00
6,9,355323,2021-11-29 11:00
7,29,355319,2021-11-29 16:00
8,4,355424,2021-11-30 16:00
9,2,355440,2021-11-30 17:00
10,2,355470,2021-11-30 18:00
11,4,355652,2021-12-01 19:00
12,1,355672,2021-12-01 20:00
13,1,355725,2021-12-01 21:00
14,1,355877,2021-12-01 22:00
15,3,355915,2021-12-01 23:00
16,3,355934,2021-12-02 00:00
17,23,355961,2021-12-02 01:00
18,21,355976,2021-12-02 02:00
19,7,355984,2021-12-02 03:00
20,3,356002,2021-12-02 04:00
21,2,356018,2021-12-02 05:00
22,2,356039,2021-12-02 06:00
23,2,356054,2021-12-02 07:00
24,3,356071,2021-12-02 08:00
25,4,356083,2021-12-02 09:00
26,3,356124,2021-12-02 10:00
27,5,356135,2021-12-02 11:00
28,6,356151,2021-12-02 12:00
29,5,356161,2021-12-02 13:00
30,12,356228,2021-12-02 15:00
31,2,356236,2021-12-02 16:00
32,8,356441,2021-12-03 16:00
33,6,356510,2021-12-03 20:00
34,5,356530,2021-12-03 21:00
35,10,356534,2021-12-03 22:00
36,8,356557,2021-12-03 23:00
37,8,356561,2021-12-04 00:00
38,13,356904,2021-12-06 10:00
39,3,356924,2021-12-06 11:00
40,2,356936,2021-12-06 12:00
41,2,356955,2021-12-06 13:00
42,2,356965,2021-12-06 14:00
43,15,356974,2021-12-06 15:00
44,10,356984,2021-12-06 16:00
45,21,357124,2021-12-07 18:00
46,2,357271,2021-12-08 17:00
47,23,357497,2021-12-10 01:00
48,5,357500,2021-12-10 02:00
49,2,357508,2021-12-10 03:00
50,1,357518,2021-12-10 04:00
51,1,357527,2021-12-10 05:00
52,1,357539,2021-12-10 06:00
53,2,357545,2021-12-10 07:00
54,3,357557,2021-12-10 08:00
55,5,357560,2021-12-10 09:00
56,7,357565,2021-12-10 10:00
57,10,357570,2021-12-10 11:00
58,10,357581,2021-12-10 12:00
59,27,357606,2021-12-10 14:00
60,2,357626,2021-12-10 15:00
