,rank,watchlist,date_updated
0,24,226267,2021-12-03 18:00
1,28,226299,2021-12-03 21:00
2,26,226526,2021-12-07 07:00
3,28,226614,2021-12-08 08:00
4,29,226671,2021-12-08 17:00
5,4,226826,2021-12-08 22:00
6,1,226912,2021-12-08 23:00
7,1,226941,2021-12-09 00:00
8,1,226955,2021-12-09 01:00
9,1,226975,2021-12-09 02:00
10,1,226972,2021-12-09 03:00
11,1,226987,2021-12-09 04:00
12,1,227001,2021-12-09 05:00
13,2,227008,2021-12-09 06:00
14,2,227010,2021-12-09 07:00
15,2,227015,2021-12-09 08:00
16,1,227014,2021-12-09 09:00
17,1,227018,2021-12-09 10:00
18,1,227023,2021-12-09 11:00
19,3,227024,2021-12-09 12:00
20,8,227040,2021-12-09 13:00
21,3,227049,2021-12-09 14:00
22,17,227050,2021-12-09 15:00
23,17,227041,2021-12-09 17:00
24,9,227031,2021-12-09 19:00
25,4,227039,2021-12-09 20:00
26,7,227067,2021-12-09 21:00
27,18,227081,2021-12-09 22:00
28,25,227087,2021-12-09 23:00
29,29,227096,2021-12-10 04:00
30,18,227094,2021-12-10 05:00
31,13,227100,2021-12-10 06:00
32,11,227104,2021-12-10 07:00
33,10,227104,2021-12-10 08:00
34,10,227102,2021-12-10 09:00
35,10,227105,2021-12-10 10:00
36,8,227107,2021-12-10 11:00
37,9,227106,2021-12-10 12:00
38,25,227113,2021-12-10 13:00
39,12,227149,2021-12-10 16:00
40,2,227166,2021-12-10 17:00
41,3,227176,2021-12-10 18:00
42,28,227174,2021-12-10 19:00
43,16,227202,2021-12-10 21:00
44,3,227310,2021-12-13 16:00
45,2,227330,2021-12-13 17:00
46,2,227355,2021-12-13 18:00
47,3,227384,2021-12-13 19:00
48,15,227458,2021-12-14 03:00
49,7,227466,2021-12-14 04:00
50,3,227470,2021-12-14 05:00
51,2,227479,2021-12-14 06:00
52,2,227490,2021-12-14 07:00
53,2,227490,2021-12-14 08:00
54,2,227495,2021-12-14 09:00
55,2,227496,2021-12-14 10:00
56,2,227502,2021-12-14 11:00
57,3,227507,2021-12-14 12:00
58,3,227511,2021-12-14 13:00
59,4,227524,2021-12-14 14:00
60,3,227541,2021-12-14 15:00
61,11,227591,2021-12-14 16:00
62,13,227719,2021-12-15 18:00
63,23,227833,2021-12-17 19:00
