,rank,watchlist,date_updated
0,30,329925,2021-12-06 19:00
1,13,330848,2021-12-09 20:00
2,26,331035,2021-12-10 19:00
3,26,331547,2021-12-13 21:00
4,21,332134,2021-12-15 20:00
5,28,332453,2021-12-16 16:00
6,5,332487,2021-12-16 17:00
7,9,332531,2021-12-16 18:00
8,12,332575,2021-12-16 19:00
9,7,332610,2021-12-16 20:00
10,15,333395,2021-12-20 08:00
11,6,333395,2021-12-20 09:00
12,5,333404,2021-12-20 10:00
13,5,333420,2021-12-20 11:00
14,9,333444,2021-12-20 12:00
15,22,333795,2021-12-21 16:00
16,13,333825,2021-12-21 19:00
17,24,333863,2021-12-21 20:00
18,21,334399,2021-12-23 17:00
19,20,335929,2021-12-29 20:00
20,24,336183,2021-12-30 19:00
21,17,337508,2022-01-04 17:00
22,12,339352,2022-01-10 13:00
23,20,340268,2022-01-13 09:00
24,15,340391,2022-01-13 16:00
25,24,341482,2022-01-18 07:00
26,23,341500,2022-01-18 08:00
27,25,341799,2022-01-19 04:00
28,15,341811,2022-01-19 05:00
29,14,341823,2022-01-19 06:00
30,30,341833,2022-01-19 07:00
31,7,342314,2022-01-20 21:00
32,23,342347,2022-01-20 22:00
33,14,342400,2022-01-20 23:00
34,9,342414,2022-01-21 00:00
35,12,342452,2022-01-21 01:00
36,11,342481,2022-01-21 02:00
37,9,342502,2022-01-21 03:00
38,10,342525,2022-01-21 04:00
39,11,342549,2022-01-21 05:00
40,9,342565,2022-01-21 06:00
41,13,342578,2022-01-21 07:00
42,15,342597,2022-01-21 08:00
43,17,342611,2022-01-21 09:00
44,13,342621,2022-01-21 10:00
45,17,342615,2022-01-21 11:00
46,12,342634,2022-01-21 12:00
47,13,342728,2022-01-21 17:00
48,15,343389,2022-01-24 12:00
49,22,343409,2022-01-24 13:00
50,15,343424,2022-01-24 14:00
51,29,343453,2022-01-24 15:00
52,15,343589,2022-01-24 18:00
53,16,343691,2022-01-24 21:00
54,18,343865,2022-01-25 12:00
55,2,343886,2022-01-25 13:00
56,1,343945,2022-01-25 14:00
57,15,344011,2022-01-25 15:00
58,13,344162,2022-01-25 18:00
59,20,344313,2022-01-26 01:00
60,17,344329,2022-01-26 02:00
61,27,344445,2022-01-26 11:00
62,17,344492,2022-01-26 12:00
63,30,344708,2022-01-27 05:00
64,19,346331,2022-02-01 23:00
65,16,346348,2022-02-02 00:00
66,9,346360,2022-02-02 01:00
67,17,346394,2022-02-02 02:00
68,26,346405,2022-02-02 03:00
69,26,346429,2022-02-02 04:00
70,15,346445,2022-02-02 05:00
71,14,346459,2022-02-02 06:00
72,22,346473,2022-02-02 07:00
73,25,346502,2022-02-02 08:00
74,14,346528,2022-02-02 11:00
75,25,348057,2022-02-08 04:00
76,7,348083,2022-02-08 07:00
77,7,348093,2022-02-08 08:00
78,4,348107,2022-02-08 09:00
79,2,348107,2022-02-08 10:00
80,2,348150,2022-02-08 11:00
81,4,348167,2022-02-08 12:00
82,11,348556,2022-02-09 17:00
83,6,348579,2022-02-09 18:00
84,27,348604,2022-02-09 19:00
85,24,349073,2022-02-11 08:00
86,11,350257,2022-02-15 11:00
87,9,350281,2022-02-15 12:00
88,3,350352,2022-02-15 16:00
89,4,350379,2022-02-15 17:00
90,5,350437,2022-02-15 18:00
91,8,350465,2022-02-15 19:00
92,6,350485,2022-02-15 20:00
93,10,350510,2022-02-15 21:00
94,9,350557,2022-02-15 22:00
95,12,350588,2022-02-15 23:00
96,15,350583,2022-02-16 00:00
97,26,350600,2022-02-16 02:00
98,12,350615,2022-02-16 03:00
99,12,350633,2022-02-16 04:00
100,11,350651,2022-02-16 05:00
101,15,350661,2022-02-16 06:00
102,12,350672,2022-02-16 07:00
103,11,350688,2022-02-16 08:00
104,14,350701,2022-02-16 09:00
105,10,350712,2022-02-16 10:00
106,9,350731,2022-02-16 11:00
107,11,350753,2022-02-16 12:00
108,8,350788,2022-02-16 13:00
109,12,350820,2022-02-16 14:00
110,4,350853,2022-02-16 15:00
111,6,350895,2022-02-16 16:00
112,10,350928,2022-02-16 17:00
113,4,350973,2022-02-16 18:00
114,3,351027,2022-02-16 19:00
115,1,351077,2022-02-16 20:00
116,1,351168,2022-02-16 21:00
117,1,351450,2022-02-16 22:00
118,1,351516,2022-02-16 23:00
119,1,351541,2022-02-17 00:00
120,1,351574,2022-02-17 01:00
121,1,351596,2022-02-17 02:00
122,1,351609,2022-02-17 03:00
123,1,351632,2022-02-17 04:00
124,1,351648,2022-02-17 05:00
125,1,351670,2022-02-17 06:00
126,1,351686,2022-02-17 07:00
127,1,351686,2022-02-17 08:00
128,1,351710,2022-02-17 09:00
129,1,351733,2022-02-17 10:00
130,2,351749,2022-02-17 12:00
131,2,351778,2022-02-17 13:00
132,2,351806,2022-02-17 14:00
133,2,351837,2022-02-17 15:00
134,1,351870,2022-02-17 16:00
135,3,351887,2022-02-17 17:00
136,15,351905,2022-02-17 18:00
137,20,351931,2022-02-17 19:00
138,23,352247,2022-02-18 16:00
139,4,353946,2022-02-25 20:00
140,10,357885,2022-03-18 14:00
141,23,358447,2022-03-21 12:00
142,14,358485,2022-03-21 14:00
143,5,358849,2022-03-22 16:00
144,2,358863,2022-03-22 17:00
145,7,358896,2022-03-22 18:00
