,rank,watchlist,date_updated
0,24,75356,2021-11-29 11:00
1,13,75358,2021-11-29 12:00
2,13,75393,2021-11-30 09:00
3,18,75391,2021-11-30 10:00
4,27,75391,2021-11-30 11:00
5,16,75394,2021-11-30 12:00
6,30,75396,2021-11-30 16:00
7,24,75416,2021-11-30 19:00
8,28,75425,2021-11-30 22:00
9,29,75426,2021-12-01 00:00
10,29,75520,2021-12-03 05:00
11,30,75521,2021-12-03 06:00
12,21,75546,2021-12-03 20:00
13,27,75547,2021-12-03 22:00
14,27,75546,2021-12-03 23:00
15,26,75609,2021-12-06 16:00
16,25,75625,2021-12-07 12:00
17,23,75635,2021-12-08 03:00
18,27,75638,2021-12-08 04:00
19,21,75641,2021-12-08 06:00
20,27,75642,2021-12-08 07:00
21,20,75714,2021-12-10 14:00
22,20,75755,2021-12-13 01:00
23,6,75760,2021-12-13 02:00
24,2,75775,2021-12-13 03:00
25,1,75802,2021-12-13 04:00
26,1,75861,2021-12-13 05:00
27,1,75884,2021-12-13 06:00
28,1,75909,2021-12-13 07:00
29,1,75909,2021-12-13 08:00
30,5,75923,2021-12-13 09:00
31,16,75933,2021-12-13 10:00
32,22,75916,2021-12-13 11:00
33,14,75922,2021-12-13 16:00
34,29,75931,2021-12-14 01:00
35,16,75940,2021-12-14 14:00
36,22,75951,2021-12-15 07:00
37,14,75952,2021-12-15 08:00
38,19,75955,2021-12-15 09:00
39,22,75955,2021-12-15 10:00
40,18,75988,2021-12-16 15:00
41,24,76004,2021-12-17 13:00
42,11,76007,2021-12-17 14:00
43,22,76025,2021-12-17 19:00
44,23,76079,2021-12-20 01:00
45,10,76083,2021-12-20 02:00
46,6,76083,2021-12-20 03:00
47,10,76095,2021-12-20 04:00
48,14,76101,2021-12-20 05:00
49,16,76103,2021-12-20 06:00
50,29,76149,2021-12-22 07:00
51,29,76332,2021-12-29 21:00
52,23,76666,2022-01-10 20:00
53,25,76717,2022-01-12 09:00
54,18,76718,2022-01-12 10:00
