,rank,watchlist,date_updated
0,27,752654,2021-12-08 09:00
1,16,752664,2021-12-08 10:00
2,9,753490,2021-12-10 05:00
3,5,753506,2021-12-10 06:00
4,3,753514,2021-12-10 07:00
5,1,753531,2021-12-10 08:00
6,1,753556,2021-12-10 09:00
7,1,753556,2021-12-10 10:00
8,2,753605,2021-12-10 11:00
9,2,753620,2021-12-10 12:00
10,6,753648,2021-12-10 13:00
11,4,753669,2021-12-10 14:00
12,19,753700,2021-12-10 15:00
13,13,753814,2021-12-10 17:00
14,30,754473,2021-12-13 17:00
15,16,754550,2021-12-13 19:00
16,11,754581,2021-12-13 20:00
17,12,754658,2021-12-14 01:00
18,6,754669,2021-12-14 02:00
19,6,754691,2021-12-14 03:00
20,9,754708,2021-12-14 04:00
21,7,754724,2021-12-14 05:00
22,6,754730,2021-12-14 06:00
23,11,754751,2021-12-14 07:00
24,10,754761,2021-12-14 08:00
25,30,754761,2021-12-14 09:00
26,14,754805,2021-12-14 12:00
27,18,754830,2021-12-14 14:00
28,11,754958,2021-12-14 18:00
29,13,755019,2021-12-14 21:00
30,20,755321,2021-12-15 20:00
31,29,755356,2021-12-15 23:00
32,19,755366,2021-12-16 00:00
33,7,755386,2021-12-16 01:00
34,6,755399,2021-12-16 02:00
35,8,755404,2021-12-16 03:00
36,19,755594,2021-12-16 16:00
37,4,755624,2021-12-16 17:00
38,16,755679,2021-12-16 18:00
39,15,755755,2021-12-16 20:00
40,20,755790,2021-12-16 21:00
41,24,755815,2021-12-16 22:00
42,16,755846,2021-12-16 23:00
43,10,755850,2021-12-17 00:00
44,5,755865,2021-12-17 01:00
45,4,755883,2021-12-17 02:00
46,4,755903,2021-12-17 03:00
47,6,755934,2021-12-17 04:00
48,7,755959,2021-12-17 05:00
49,9,755969,2021-12-17 06:00
50,28,755985,2021-12-17 07:00
51,5,756067,2021-12-17 13:00
52,13,756097,2021-12-17 14:00
53,10,756129,2021-12-17 15:00
54,11,756165,2021-12-17 16:00
55,14,757283,2021-12-21 16:00
56,12,757315,2021-12-21 19:00
57,11,757465,2021-12-22 06:00
58,10,757466,2021-12-22 07:00
59,8,757486,2021-12-22 08:00
60,14,757506,2021-12-22 09:00
61,5,757524,2021-12-22 10:00
62,4,757524,2021-12-22 11:00
63,2,757545,2021-12-22 12:00
64,1,757583,2021-12-22 13:00
65,4,757608,2021-12-22 14:00
66,8,757629,2021-12-22 15:00
67,5,757677,2021-12-22 16:00
68,2,757713,2021-12-22 17:00
69,8,757772,2021-12-22 18:00
70,29,757806,2021-12-22 19:00
71,14,757841,2021-12-22 20:00
72,20,757908,2021-12-22 22:00
73,14,757943,2021-12-22 23:00
74,12,757957,2021-12-23 00:00
75,6,757988,2021-12-23 01:00
76,7,757991,2021-12-23 02:00
77,10,758007,2021-12-23 03:00
78,8,758033,2021-12-23 04:00
79,9,758043,2021-12-23 05:00
80,7,758073,2021-12-23 06:00
81,7,758087,2021-12-23 07:00
82,22,758109,2021-12-23 08:00
83,16,758154,2021-12-23 11:00
84,29,758182,2021-12-23 12:00
85,26,758249,2021-12-23 15:00
86,5,758266,2021-12-23 16:00
87,8,758274,2021-12-23 17:00
88,1,758300,2021-12-23 18:00
89,29,758326,2021-12-23 19:00
90,9,758329,2021-12-23 20:00
91,30,758345,2021-12-23 21:00
92,23,758356,2021-12-23 22:00
93,27,758380,2021-12-23 23:00
94,21,759254,2021-12-27 16:00
95,12,759363,2021-12-27 21:00
96,15,759587,2021-12-28 13:00
97,14,759609,2021-12-28 14:00
98,25,759627,2021-12-28 15:00
99,12,759863,2021-12-29 03:00
100,5,759870,2021-12-29 04:00
101,2,759882,2021-12-29 05:00
102,2,759905,2021-12-29 06:00
103,3,759924,2021-12-29 07:00
104,7,759951,2021-12-29 08:00
105,6,759968,2021-12-29 09:00
106,7,759989,2021-12-29 10:00
107,6,760010,2021-12-29 11:00
108,8,760028,2021-12-29 12:00
109,18,760045,2021-12-29 13:00
110,4,760075,2021-12-29 14:00
111,13,760099,2021-12-29 15:00
112,11,760150,2021-12-29 16:00
113,17,760233,2021-12-29 19:00
114,18,760259,2021-12-29 20:00
115,16,760481,2021-12-30 13:00
116,7,760490,2021-12-30 14:00
117,1,760521,2021-12-30 15:00
118,28,760550,2021-12-30 16:00
119,26,760606,2021-12-30 18:00
120,10,760928,2021-12-31 14:00
121,26,761621,2022-01-03 00:00
122,5,761634,2022-01-03 01:00
123,5,761660,2022-01-03 02:00
124,5,761689,2022-01-03 03:00
125,5,761711,2022-01-03 04:00
126,8,761776,2022-01-03 05:00
127,9,761815,2022-01-03 06:00
128,7,761835,2022-01-03 07:00
129,7,761845,2022-01-03 08:00
130,5,761862,2022-01-03 09:00
131,1,761900,2022-01-03 10:00
132,1,761943,2022-01-03 11:00
133,1,761981,2022-01-03 12:00
134,2,762019,2022-01-03 13:00
135,4,762039,2022-01-03 14:00
136,2,762105,2022-01-03 15:00
137,25,762173,2022-01-03 16:00
138,15,762265,2022-01-03 17:00
139,13,762312,2022-01-03 18:00
140,2,762352,2022-01-03 19:00
141,1,762389,2022-01-03 20:00
142,1,762431,2022-01-03 21:00
143,1,762504,2022-01-03 22:00
144,1,762529,2022-01-03 23:00
145,1,762563,2022-01-04 00:00
146,1,762596,2022-01-04 01:00
147,2,762625,2022-01-04 02:00
148,3,762638,2022-01-04 03:00
149,3,762675,2022-01-04 04:00
150,6,762677,2022-01-04 05:00
151,11,762702,2022-01-04 06:00
152,12,762722,2022-01-04 07:00
153,12,762756,2022-01-04 08:00
154,4,762778,2022-01-04 09:00
155,10,762802,2022-01-04 10:00
156,12,762830,2022-01-04 11:00
157,21,762968,2022-01-04 15:00
158,8,763055,2022-01-04 17:00
159,15,763101,2022-01-04 18:00
160,24,763685,2022-01-05 20:00
161,23,763729,2022-01-05 21:00
162,29,763897,2022-01-06 08:00
163,17,763905,2022-01-06 09:00
164,28,763919,2022-01-06 10:00
165,23,764043,2022-01-06 16:00
166,24,765355,2022-01-10 14:00
167,23,766437,2022-01-12 20:00
168,27,766965,2022-01-13 18:00
169,17,767124,2022-01-13 21:00
170,18,767413,2022-01-14 13:00
171,10,767449,2022-01-14 14:00
172,7,771325,2022-01-24 13:00
173,10,771363,2022-01-24 14:00
174,15,771493,2022-01-24 15:00
175,24,771720,2022-01-24 18:00
176,15,771801,2022-01-24 19:00
177,28,772075,2022-01-25 07:00
178,17,772477,2022-01-25 20:00
179,25,772596,2022-01-26 01:00
180,21,772596,2022-01-26 02:00
181,29,772640,2022-01-26 03:00
182,3,773156,2022-01-26 20:00
183,1,773233,2022-01-26 21:00
184,1,773465,2022-01-26 22:00
185,1,773572,2022-01-26 23:00
186,1,773624,2022-01-27 00:00
187,1,773658,2022-01-27 01:00
