,date,close_balance,open_balance,amount_change,percent_change,moving_avg
67,2023-06-15,250.417,134.857,115.56,85.69,124.39214285714286
66,2023-06-14,134.857,133.059,1.8,1.35,98.84357142857142
65,2023-06-13,133.059,100.939,32.12,31.82,89.7522857142857
64,2023-06-12,100.939,86.001,14.94,17.37,74.08214285714287
63,2023-06-09,86.001,87.972,-1.97,-2.24,62.93257142857143
62,2023-06-08,87.972,77.5,10.47,13.51,57.577
61,2023-06-07,77.5,71.577,5.92,8.27,50.34628571428572
60,2023-06-06,71.577,71.218,0.36,0.51,47.05957142857143
59,2023-06-05,71.218,23.368,47.85,204.77,42.382428571428576
58,2023-06-02,23.368,22.892,0.48,2.1,39.276
57,2023-06-01,22.892,48.512,-25.62,-52.81,46.87285714285714
56,2023-05-31,48.512,37.357,11.16,29.87,53.364714285714285
55,2023-05-30,37.357,54.493,-17.14,-31.45,55.09957142857143
54,2023-05-26,54.493,38.837,15.66,40.32,57.95442857142857
53,2023-05-25,38.837,49.473,-10.64,-21.51,59.93142857142857
52,2023-05-24,49.473,76.546,-27.07,-35.36,67.90171428571429
51,2023-05-23,76.546,68.335,8.21,12.01,73.32428571428571
50,2023-05-22,68.335,60.656,7.68,12.66,82.38114285714285
49,2023-05-19,60.656,57.341,3.31,5.77,93.09242857142858
48,2023-05-18,57.341,68.332,-10.99,-16.08,106.54271428571428
47,2023-05-17,68.332,94.629,-26.3,-27.79,124.76757142857143
46,2023-05-16,94.629,87.431,7.2,8.24,145.73914285714287
45,2023-05-15,87.431,139.944,-52.51,-37.52,161.75128571428567
44,2023-05-12,139.944,143.314,-3.37,-2.35,179.07057142857144
43,2023-05-11,143.314,154.808,-11.49,-7.42,185.97985714285713
42,2023-05-10,154.808,184.915,-30.11,-16.28,196.20385714285717
41,2023-05-09,184.915,215.133,-30.22,-14.05,208.15457142857144
40,2023-05-08,215.133,206.714,8.42,4.07,226.93542857142856
39,2023-05-05,206.714,208.666,-1.95,-0.93,238.16171428571428
38,2023-05-04,208.666,188.309,20.36,10.81,250.94671428571428
37,2023-05-03,188.309,214.882,-26.57,-12.36,266.27014285714284
36,2023-05-02,214.882,238.463,-23.58,-9.89,283.2404285714286
35,2023-05-01,238.463,316.381,-77.92,-24.63,292.6732857142857
34,2023-04-28,316.381,293.717,22.66,7.71,298.5988571428571
33,2023-04-27,293.717,296.209,-2.49,-0.84,291.2722857142857
32,2023-04-26,296.209,315.93,-19.72,-6.24,285.3915714285714
31,2023-04-25,315.93,307.101,8.83,2.88,263.65871428571427
30,2023-04-24,307.101,280.912,26.19,9.32,237.79585714285713
29,2023-04-21,280.912,279.942,0.97,0.35,208.1368571428571
28,2023-04-20,279.942,265.095,14.85,5.6,180.37142857142857
27,2023-04-19,265.095,252.552,12.54,4.97,155.73242857142856
26,2023-04-18,252.552,144.079,108.47,75.29,135.71942857142855
25,2023-04-17,144.079,134.89,9.19,6.81,115.47228571428572
24,2023-04-14,134.89,99.488,35.4,35.58,111.02742857142857
23,2023-04-13,99.488,86.554,12.93,14.94,111.85571428571428
22,2023-04-12,86.554,107.469,-20.91,-19.46,117.69271428571429
21,2023-04-11,107.469,125.004,-17.54,-14.03,130.05714285714285
20,2023-04-10,125.004,110.822,14.18,12.8,140.089
19,2023-04-07,110.822,112.965,-2.14,-1.89,149.9935714285714
18,2023-04-06,112.965,140.688,-27.72,-19.7,157.413
17,2023-04-05,140.688,140.347,0.34,0.24,165.03914285714288
16,2023-04-04,140.347,173.105,-32.76,-18.92,173.64457142857142
15,2023-04-03,173.105,177.692,-4.59,-2.58,180.36142857142858
14,2023-03-31,177.692,194.336,-16.64,-8.56,183.19071428571428
13,2023-03-30,194.336,162.758,31.58,19.4,186.357
12,2023-03-29,162.758,166.348,-3.59,-2.16,190.681
11,2023-03-28,166.348,200.926,-34.58,-17.21,205.58714285714285
10,2023-03-27,200.926,187.365,13.56,7.24,221.84428571428572
9,2023-03-24,187.365,192.91,-5.54,-2.87,233.87028571428573
8,2023-03-23,192.91,199.856,-6.95,-3.48,246.7671428571429
7,2023-03-22,199.856,224.604,-24.75,-11.02,255.483
6,2023-03-21,224.604,267.101,-42.5,-15.91,259.4052857142857
5,2023-03-20,267.101,280.148,-13.05,-4.66,0.0
4,2023-03-17,280.148,285.108,-4.96,-1.74,0.0
3,2023-03-16,285.108,277.643,7.47,2.69,0.0
2,2023-03-15,277.643,253.921,23.72,9.34,0.0
1,2023-03-14,253.921,227.312,26.61,11.71,0.0
0,2023-03-13,227.312,208.074,19.24,9.25,0.0
