Symbol,Change Percent,Change,Day Open,Day Close,Day High,Day Low,Day Volume,Day VWAP,Last Trade Conditions,Last Trade Exchange,Last Trade Price,Last Trade Size,Last Trade Timestamp,Last Trade ID,Last Quote Bid Price,Last Quote Ask Price,Last Quote Ask Size,Last Quote Bid Size,Last Quote Timestamp,Minute Data Accumulated Volume,Minute Data Volume,Minute Data Close,Minute Data Open,Minute Data High,Minute Data Low,Minute Data VWAP,Prev Day Open,Prev Day Close,Prev Day High,Prev Day Low,Prev Day Volume,Prev Day VWAP
FTEC,1.5705178043849959,2.019999999999982,129.86,130.64,131,127.965,224781,130.6981,"[38, 41]",11,130.64,0,1688169600005832960,52983560288068,128.51,135,1,1,1688156340681159168,224280,3483,130.69,130.77,130.81,130.69,130.7473,128.54,128.62,128.85,127.965,147817,128.4462
ENV,1.7312307164895406,1.009999999999998,58.6,59.35,59.86,57.4,426707,59.3006,"[38, 41]",10,59.35,0,1688166000002348800,52983559041099,55.06,61.08,1,1,1688160828425252352,302063,27357,59.36,59.48,59.5,59.35,59.4126,57.69,58.34,58.685,57.4,315411,58.2545
PRPO,11.683848797250858,0.0408,0.3999,0.39,0.4008,0.339,501016,0.3916,"[8, 9, 41]",12,0.39,413,1688155200148133251,212,0.3552,0.4,1,1,1688169581291685667,500593,6775,0.38,0.38,0.390313,0.38,0.3835,0.341,0.3492,0.3645,0.339,138361,0.3451
AG,2.7522935779816415,0.14999999999999947,5.46,5.65,5.65,5.32,4107110.0,5.5581,[12],4,5.6,300,1688168672988731904,71701464566353,5.61,5.67,2,2,1688169600363670016,4107008.0,300,5.6,5.6,5.6,5.6,5.6,5.34,5.45,5.49,5.32,3078172.0,5.4282
CDRpC,11.531841652323594,1.3400000000000016,11.63,12.96,12.97,11.56,60502,12.4498,"[38, 41]",10,12.96,0,1688166000001848064,52983577464880,11.48,12.96,1,1,1688169600012312320,37867,120,12.88,12.88,12.88,12.88,12.88,11.7,11.62,11.78,11.56,5508,11.6331
DMB,-0.185356811862832,-0.019999999999999574,10.9,10.77,10.92,10.7614,36784,10.8231,"[38, 41]",10,10.77,0,1688166000003222528,52983576679765,10.75,11.03,1,1,1688156104080945664,35819,795,10.77,10.78,10.79,10.77,10.7786,10.84,10.79,10.85,10.7614,40722,10.8006
YELP,-0.1645187825610153,-0.060000000000002274,36.42,36.41,36.77,35.83,397477,36.5359,"[38, 41]",10,36.41,0,1688166000002582272,52983560353104,34.05,37.12,1,1,1688160251643694080,292811,25625,36.39,36.435,36.45,36.39,36.4174,35.87,36.47,36.64,35.83,451786,36.424
HMPT,0,0,2.31,2.32,2.32,2.31,15252,2.3172,"[12, 22, 41]",4,2.32,730,1688155357661865076,28,2.3,2.33,2,2,1688158500352897920,10848,426,2.32,2.315,2.32,2.315,2.3165,2.32,2.32,2.32,2.31,93428,2.3184
JUSA,1.357648104336548,0.6783000000000001,50.67,50.6397,50.67,49.9614,104,50.6666,"[38, 41]",11,50.6397,0,1688169600002871040,52983577260623,0,0,0,0,1688169600358228480,104,100,50.67,50.67,50.67,50.67,50.67,49.9614,49.9614,49.9614,49.9614,0,0
FLFR,1.5499007843378436,0.47879999999999967,31.365,31.3711,31.3944,30.875,447,31.3828,"[38, 41]",11,31.3711,0,1688169600004320512,52983560754773,28.38,34.4,1,1,1688155201390096640,446,190,31.3944,31.3944,31.3944,31.3944,31.3944,30.8983,30.8923,30.9,30.875,947,30.8845
UVXY,-2.888655462184878,-0.5500000000000007,18.63,18.49,18.81,18.5,5333928.0,18.4813,[38],19,18.49,0,1688169603619171072,52983525237875,18.49,18.52,4,4,1688169432666522624,5333928.0,222,18.51,18.51,18.51,18.51,18.51,18.56,19.04,19.15,18.5,5490795.0,18.8563
LUCY,4.1666666666666705,0.03600000000000003,0.864,0.8946,0.9,0.8314,339551,0.8728,[12],4,0.9,100,1688169493986071302,372,0.871,0.899,10,10,1688168985836473499,339551,100,0.9,0.9,0.9,0.9,0.9,0.951,0.864,0.951,0.8314,790468,0.8673
BODY,2.097560975609769,0.008600000000000052,0.41,0.4186,0.44,0.405,459714,0.4208,"[38, 41, 63]",10,0.4186,0,1688166000002912768,52983577069902,0.4198,0.44,110,110,1688156762771259648,459550,707,0.4198,0.4198,0.4198,0.4198,0.4198,0.4144,0.41,0.45,0.405,732401,0.4228
APACW,5.281690140845063,0.0014999999999999979,0.0299,0.0299,0.0299,0.0275,1188,0.02969,"[14, 41]",21,0.0299,100,1688152729377118579,1,0.01,0.05,8,8,1688162400023907225,1188,500,0.0299,0.0296,0.0299,0.0294,0.02962,0.027744,0.0284,0.0288,0.0275,1988,0.02801
CLOE,0,0,0,0,0,0,0,0,,0,0,0,0,,11.38,18.86,1,1,1688162403078988921,0,0,0,0,0,0,0,0,0,0,0,0,0
BECN,-0.4200168006720201,-0.3499999999999943,83.68,82.98,84.1,81.3597,423298,83.4092,"[12, 22]",4,82.98,182,1688155740191657666,2228,81.46,84.38,1,1,1688160828998232731,418449,8100,82.98,82.98,82.98,82.98,82.98,81.42,83.33,83.78,81.3597,543486,83.0049
ZIMV,-3.605150214592274,-0.41999999999999993,11.78,11.23,11.8,11.52,368738,11.2772,"[12, 22]",4,11.23,4332,1688155460918242488,802,5.5,11.68,1,1,1688167822148339413,364265,4200,11.23,11.23,11.23,11.23,11.23,11.88,11.65,12.16,11.52,133822,11.7732
THCX,-1.1617825559216235,-0.020100000000000007,1.74,1.71,1.748,1.69,12585,1.7199,"[38, 41]",11,1.71,0,1688169600004712704,52983576677709,1.68,1.87,1,1,1688169600249382912,12179,620,1.72,1.72,1.72,1.72,1.72,1.7,1.7301,1.7367,1.69,19062,1.7115
TOL,0.9576098059244127,0.75,78.72,79.07,79.27,76.93,1124357.0,78.9266,"[38, 41]",10,79.07,0,1688166000000399104,52983560293441,79,79.47,1,1,1688169555132346368,1123968.0,416,79.479,79.479,79.479,79.479,79.479,78.25,78.32,78.41,76.93,1688840.0,77.8814
DXPE,-1.2744034707158511,-0.47000000000000597,37.09,36.41,37.09,36.3,55653,36.6881,"[12, 22, 41]",4,36.41,1347,1688155322433541960,462,34.64,37.16,1,1,1688155211052153090,43461,2065,36.39,36.41,36.425,36.36,36.3898,36.3,36.88,37.08,36.3,75968,36.8915
EPHE,-0.6106870229007639,-0.16000000000000014,26.13,26.04,26.335,25.92,50323,26.0871,"[38, 41]",11,26.04,0,1688169600054155264,52983560618308,24.8,26.5,8,8,1688169600006870016,50322,6333,26.0198,26.0198,26.0198,26.0198,26.0198,26.09,26.2,26.265,25.92,67574,26.0974
STRC,-0.18099547511311898,-0.0005999999999999894,0.333,0.3215,0.3401,0.3302,694871,0.3252,[12],4,0.3309,1438,1688157776431109051,487,0.32,0.3415,5,5,1688169093474122876,694752,1438,0.3309,0.3309,0.3309,0.3309,0.3309,0.38,0.3315,0.38,0.3302,454374,0.3412
GEN,-0.998372219207819,-0.18400000000000105,18.61,18.55,18.67,18.18,2657880.0,18.5566,[12],4,18.246,200,1688163747537409651,6165,18.25,18.69,1,1,1688169555059846783,2657799.0,209,18.246,18.246,18.246,18.246,18.2539,18.25,18.43,18.44,18.18,2253455.0,18.377
IBDY,0.4791961664306744,0.11980000000000146,25.04,25.12,25.12,24.9784,4014,25.082,"[38, 41]",11,25.12,0,1688169600004527616,52983575949386,0,0,0,0,1688169600359847680,3474,474,25.12,25.12,25.12,25.12,25.12,25.03,25.0002,25.03,24.9784,6878,25.0195
IVOL,0.48828124999998956,0.09999999999999787,20.64,20.58,20.655,20.47,144224,20.5999,"[38, 41]",11,20.58,0,1688169600004804352,52983577392462,20.26,22,2,2,1688155202288680448,144071,4611,20.6,20.575,20.605,20.57,20.5878,20.62,20.48,20.66,20.47,283571,20.5651
NTLA,-0.2933985330073287,-0.11999999999999744,41.58,40.78,41.895,40.87,816267,40.9358,"[12, 22]",4,40.78,473,1688156772626180188,4393,40.8,42.16,6,6,1688156984723270109,798551,12182,40.78,40.78,40.78,40.78,40.7801,41.94,40.9,42.37,40.87,1168421.0,41.5314
VRSK,1.236171451605675,2.759999999999991,224.24,226.03,228.09,222.125,1072476.0,226.3272,[12],4,226.03,107206,1688164364783715622,6180,218.85,226,1,1,1688166019115677426,1072476.0,107206,226.03,226.03,226.03,226.03,226.03,222.67,223.27,224.315,222.125,1151476.0,223.3795
CRBG,-0.11312217194569894,-0.019999999999999574,17.83,17.66,17.95,17.37,1163052.0,17.7468,"[38, 41]",10,17.66,0,1688166000002245120,52983558977105,16.88,18,18,18,1688155201234737408,1157756.0,2543,17.66,17.66,17.66,17.66,17.66,17.5,17.68,17.72,17.37,3351243.0,17.5785
ASND,2,1.75,88.33,89.25,90.72,85.7,398178,89.1484,"[12, 22]",4,89.25,200,1688157058761412273,1045,84.38,89,1,1,1688163101101275711,373647,21451,89.4,89.2,89.49,89.04,89.2272,86.77,87.5,87.64,85.7,177187,87.1011
KOPN,6.341463414634163,0.13000000000000034,2.08,2.15,2.23,2.02,1446452.0,2.1656,[12],4,2.18,450,1688167783289687808,1324,2.14,2.19,2,2,1688164201867724441,1446444.0,450,2.18,2.18,2.18,2.18,2.18,2.06,2.05,2.21,2.02,1478552.0,2.1173
CLM,0.23923444976078173,0.02000000000000135,8.4,8.38,8.44,8.31,1229834.0,8.413,"[38, 41]",1,8.38,0,1688169600004599808,52983525552964,8.36,8.37,2,2,1688156304481019904,1229774.0,100,8.39,8.39,8.39,8.39,8.39,8.31,8.36,8.38,8.31,895121,8.3523
BKHY,0.6409812209826055,0.2959999999999994,46.34,46.4752,47.67,46.03,356036,46.4347,"[38, 41]",11,46.4752,0,1688169600003649536,52983575689550,43.96,49.01,1,1,1688162400019421952,356013,306,46.48,46.48,46.48,46.48,46.4774,46.1,46.1792,46.2,46.03,199940,46.1615
MODV,-2.312013828867762,-1.0700000000000003,46.93,45.21,47.7921,44.55,76554,45.8717,"[12, 22, 41]",4,45.21,169,1688155365239141092,531,44.87,45.5,1,1,1688161269456186677,76535,6521,45.21,45.21,45.21,45.21,45.21,44.87,46.28,47.76,44.55,189261,46.0859
SOI,-0.11990407673860656,-0.009999999999999787,8.41,8.33,8.45,8.1064,127803,8.3634,"[38, 41]",10,8.33,0,1688166000001761536,52983577464655,7.73,8.56,1,1,1688156108898029568,92603,5900,8.33,8.35,8.35,8.32,8.3323,8.14,8.34,8.35,8.1064,116699,8.2754
FVAL,0.9042334566379056,0.44000000000000483,48.99,49.1,49.2095,48.37,23676,49.109,"[38, 41]",11,49.1,0,1688169600004437248,52983559698767,45.99,52.02,2,2,1688162400026654720,23657,730,49.1,49.145,49.145,49.1,49.1264,48.37,48.66,48.66,48.37,22752,48.5545
SNV,-0.7220216606498158,-0.21999999999999886,30.76,30.25,30.91,29.95,1242944.0,30.4338,"[38, 41]",10,30.25,0,1688166000001899776,52983560031307,28.89,31.05,1,1,1688169600098530560,1242628.0,1130,30.25,30.25,30.25,30.25,30.25,30.01,30.47,30.56,29.95,993465,30.3336
FSEA,-1.0328615323864447,-0.08370000000000033,8.22,8.02,8.278,8.1037,12155,8.1259,,4,8.02,300,1688150207357107914,1,7.8,8.6,5,5,1688155820270828839,12051,300,8.02,8.02,8.02,8.02,8.02,8.1037,8.1037,8.1037,8.1037,199,8.1219
ADBE,0.959133472517941,4.640000000000043,482.74,488.99,492.81,479.6,3097606.0,489.1976,"[14, 12, 41]",11,488.41,200,1688169231872214361,6743,488.3,489.3,1,1,1688169404332368492,3097606.0,300,488.41,488.41,488.41,488.41,488.41,484.47,483.77,485.83,479.6,1905381.0,483.3522
MODN,-0.16939582156974103,-0.060000000000002274,35.65,35.36,35.96,34.26,246122,35.4629,"[38, 41]",10,35.36,0,1688166000004357632,52983576541496,34.99,36.42,1,1,1688161267133039104,196916,26515,35.33,35.34,35.4,35.33,35.3739,34.44,35.42,35.44,34.26,199522,35.1825
H,2.0211913453833104,2.269999999999996,113.03,114.58,114.88,110.35,457197,114.3493,"[38, 41]",10,114.58,0,1688166000003491584,52983577523526,114.15,114.93,1,1,1688160189650599424,438925,1268,114.58,114.58,114.58,114.58,114.58,110.35,112.31,112.68,110.35,386399,111.8712
CACG,1.0655380176103795,0.4446000000000012,42,42.17,42.354,41.7254,4443,42.18,"[38, 41]",12,42.17,0,1688156100015502778,17,38.09,46.19,1,1,1688155200344680302,4151,237,42.14,42.14,42.14,42.14,42.14,41.91,41.7254,41.91,41.7254,1390,41.7983
TCPC,-0.8181818181818169,-0.08999999999999986,11.12,10.91,11.165,10.71,355927,11.0354,"[12, 22, 41]",4,10.91,118,1688155314034239744,856,10.9,11.15,2,2,1688159364816652281,342296,5396,10.91,10.915,10.92,10.91,10.9145,10.71,11,11,10.71,210941,10.9039
MKUL,2.18340611353711,0.04999999999999982,2.2731,2.34,2.34,2.14,23055,2.2847,"[8, 9, 41]",12,2.34,343,1688155200045091836,33,2.1,2.34,9,9,1688162391018996124,22712,5552,2.34,2.29,2.34,2.29,2.3039,2.14,2.29,2.35,2.14,13770,2.2397
