,Ticker,Timespan,Bearish_MACD_Result,Bullish_MACD_Result,Bearish_RSI_Result,Bullish_RSI_Result
0,SPX,minute,,,,
1,SPX,hour,,,,
2,SPX,day,,,,
3,SPX,week,,,,
4,SPX,month,,,,
5,SPX,quarter,,,,
6,SPX,year,,,,
7,U,minute,False,False,False,False
8,U,hour,False,False,False,False
9,U,day,False,False,False,False
10,U,week,False,False,False,False
11,U,month,False,False,False,False
12,U,quarter,,,,
13,U,year,,,,
14,XLF,minute,False,False,False,False
15,XLF,hour,False,False,False,False
16,XLF,day,True,False,False,False
17,XLF,week,False,False,False,False
18,XLF,month,False,False,False,False
19,XLF,quarter,False,False,False,False
20,XLF,year,,,False,False
21,XLK,minute,False,False,False,False
22,XLK,hour,False,False,False,False
23,XLK,day,False,False,False,False
24,XLK,week,False,False,True,True
25,XLK,month,False,False,False,False
26,XLK,quarter,False,False,True,True
27,XLK,year,,,True,True
28,EWU,minute,False,False,False,False
29,EWU,hour,False,False,False,False
30,EWU,day,False,False,False,False
31,EWU,week,False,False,False,False
32,EWU,month,False,False,False,False
33,EWU,quarter,False,False,False,False
34,EWU,year,,,False,False
35,UUP,minute,False,False,False,False
36,UUP,hour,False,False,False,False
37,UUP,day,False,False,False,False
38,UUP,week,False,False,False,False
39,UUP,month,False,False,False,False
40,UUP,quarter,False,False,False,False
41,UUP,year,,,False,False
42,TNA,minute,False,False,True,True
43,TNA,hour,False,False,False,False
44,TNA,day,True,False,False,False
45,TNA,week,False,False,False,False
46,TNA,month,False,False,False,False
47,TNA,quarter,False,False,False,False
48,TNA,year,,,False,False
49,EWZ,minute,False,False,True,True
50,EWZ,hour,False,False,False,False
51,EWZ,day,False,False,False,False
52,EWZ,week,False,False,False,False
53,EWZ,month,False,False,False,False
54,EWZ,quarter,False,False,False,False
55,EWZ,year,,,False,False
56,DIA,minute,False,False,True,True
57,DIA,hour,False,False,False,False
58,DIA,day,False,False,True,True
59,DIA,week,False,False,False,False
60,DIA,month,False,False,False,False
61,DIA,quarter,False,False,False,False
62,DIA,year,,,True,True
63,UPRO,minute,False,False,True,True
64,UPRO,hour,False,False,False,False
65,UPRO,day,False,False,False,False
66,UPRO,week,False,False,True,True
67,UPRO,month,False,False,False,False
68,UPRO,quarter,False,False,False,False
69,UPRO,year,,,False,False
70,TMF,minute,False,False,False,False
71,TMF,hour,True,False,False,False
72,TMF,day,False,False,False,False
73,TMF,week,False,False,False,False
74,TMF,month,False,False,False,False
75,TMF,quarter,False,False,False,False
76,TMF,year,,,False,False
77,TQQQ,minute,False,False,True,True
78,TQQQ,hour,False,False,False,False
79,TQQQ,day,False,False,False,False
80,TQQQ,week,False,False,True,True
81,TQQQ,month,False,False,False,False
82,TQQQ,quarter,False,False,False,False
83,TQQQ,year,,,False,False
84,XOP,minute,False,False,True,True
85,XOP,hour,False,False,True,True
86,XOP,day,False,False,True,True
87,XOP,week,False,False,False,False
88,XOP,month,False,False,False,False
89,XOP,quarter,False,False,False,False
90,XOP,year,,,False,False
91,TZA,minute,False,False,False,False
92,TZA,hour,False,True,False,False
93,TZA,day,False,False,False,False
94,TZA,week,False,False,False,False
95,TZA,month,False,False,False,False
96,TZA,quarter,False,False,False,False
97,TZA,year,,,False,False
98,UCO,minute,False,False,True,True
99,UCO,hour,False,False,False,False
100,UCO,day,False,False,True,True
101,UCO,week,False,False,False,False
102,UCO,month,False,False,False,False
103,UCO,quarter,False,False,False,False
104,UCO,year,,,False,False
105,SMH,minute,False,False,True,True
106,SMH,hour,False,False,False,False
107,SMH,day,False,False,False,False
108,SMH,week,False,False,True,True
109,SMH,month,False,False,False,False
110,SMH,quarter,False,False,True,True
111,SMH,year,,,True,True
112,EWG,minute,False,False,False,False
113,EWG,hour,True,False,False,False
114,EWG,day,False,False,False,False
115,EWG,week,False,False,False,False
116,EWG,month,False,False,False,False
117,EWG,quarter,False,False,False,False
118,EWG,year,,,False,False
119,SOXS,minute,False,False,False,False
120,SOXS,hour,False,False,False,False
121,SOXS,day,False,False,False,False
122,SOXS,week,False,False,False,False
123,SOXS,month,False,False,False,False
124,SOXS,quarter,False,False,False,False
125,SOXS,year,,,False,False
126,HYG,minute,False,False,True,True
127,HYG,hour,True,False,False,False
128,HYG,day,False,False,False,False
129,HYG,week,False,False,False,False
130,HYG,month,False,False,False,False
131,HYG,quarter,False,False,False,False
132,HYG,year,,,False,False
133,IWM,minute,False,False,False,False
134,IWM,hour,False,False,False,False
135,IWM,day,False,False,False,False
136,IWM,week,False,False,False,False
137,IWM,month,False,False,False,False
138,IWM,quarter,False,False,False,False
139,IWM,year,,,False,False
140,XLP,minute,False,False,False,False
141,XLP,hour,False,False,False,False
142,XLP,day,False,False,False,False
143,XLP,week,False,False,False,False
144,XLP,month,False,False,False,False
145,XLP,quarter,False,False,False,False
146,XLP,year,,,True,True
147,SPXL,minute,False,False,True,True
148,SPXL,hour,False,False,False,False
149,SPXL,day,False,False,False,False
150,SPXL,week,False,False,True,True
151,SPXL,month,False,False,False,False
152,SPXL,quarter,False,False,False,False
153,SPXL,year,,,,
154,LQD,minute,False,False,False,False
155,LQD,hour,False,False,False,False
156,LQD,day,False,False,False,False
157,LQD,week,False,False,False,False
158,LQD,month,False,False,False,False
159,LQD,quarter,False,False,False,False
