,short_int,avg_vol,dtc,date,shortVol,shortExemptVol,totalVol,percentShorted
0,"['150001144', '148695965', '122085549', '116800869', '105904172', '134013830', '137465578', '138836691', '127209002', '125961266', '131637788', '118266052', '116364530', '113442490', '108487434', '100109744', '111534852', '101835976', '104360202', '98918241', '100011800', '102882941', '89152605']","['19705749', '20290947', '14378134', '13319845', '18627601', '17671690', '48170947', '27747225', '28580783', '62942093', '41570955', '33924264', '24449751', '27793689', '34743768', '22508104', '30217469', '19486818', '25956941', '25448389', '26913320', '56850037', '69383841']","['7.610000', '7.330000', '8.490000', '8.770000', '5.690000', '7.580000', '2.850000', '5.000000', '4.450000', '2.000000', '3.170000', '3.490000', '4.760000', '4.080000', '3.120000', '4.450000', '3.690000', '5.230000', '4.020000', '3.890000', '3.720000', '1.810000', '1.280000']",,,,,
1,,,,2023-07-28,8229534.0,932574.0,12978046.0,63.41
2,"['150001144', '148695965', '122085549', '116800869', '105904172', '134013830', '137465578', '138836691', '127209002', '125961266', '131637788', '118266052', '116364530', '113442490', '108487434', '100109744', '111534852', '101835976', '104360202', '98918241', '100011800', '102882941', '89152605']","['19705749', '20290947', '14378134', '13319845', '18627601', '17671690', '48170947', '27747225', '28580783', '62942093', '41570955', '33924264', '24449751', '27793689', '34743768', '22508104', '30217469', '19486818', '25956941', '25448389', '26913320', '56850037', '69383841']","['7.610000', '7.330000', '8.490000', '8.770000', '5.690000', '7.580000', '2.850000', '5.000000', '4.450000', '2.000000', '3.170000', '3.490000', '4.760000', '4.080000', '3.120000', '4.450000', '3.690000', '5.230000', '4.020000', '3.890000', '3.720000', '1.810000', '1.280000']",,,,,
3,,,,2023-07-27,14002309.0,907602.0,24291362.0,57.64
4,"['150001144', '148695965', '122085549', '116800869', '105904172', '134013830', '137465578', '138836691', '127209002', '125961266', '131637788', '118266052', '116364530', '113442490', '108487434', '100109744', '111534852', '101835976', '104360202', '98918241', '100011800', '102882941', '89152605']","['19705749', '20290947', '14378134', '13319845', '18627601', '17671690', '48170947', '27747225', '28580783', '62942093', '41570955', '33924264', '24449751', '27793689', '34743768', '22508104', '30217469', '19486818', '25956941', '25448389', '26913320', '56850037', '69383841']","['7.610000', '7.330000', '8.490000', '8.770000', '5.690000', '7.580000', '2.850000', '5.000000', '4.450000', '2.000000', '3.170000', '3.490000', '4.760000', '4.080000', '3.120000', '4.450000', '3.690000', '5.230000', '4.020000', '3.890000', '3.720000', '1.810000', '1.280000']",,,,,
5,,,,2023-07-26,9744237.0,812727.0,17905305.0,54.42
6,"['150001144', '148695965', '122085549', '116800869', '105904172', '134013830', '137465578', '138836691', '127209002', '125961266', '131637788', '118266052', '116364530', '113442490', '108487434', '100109744', '111534852', '101835976', '104360202', '98918241', '100011800', '102882941', '89152605']","['19705749', '20290947', '14378134', '13319845', '18627601', '17671690', '48170947', '27747225', '28580783', '62942093', '41570955', '33924264', '24449751', '27793689', '34743768', '22508104', '30217469', '19486818', '25956941', '25448389', '26913320', '56850037', '69383841']","['7.610000', '7.330000', '8.490000', '8.770000', '5.690000', '7.580000', '2.850000', '5.000000', '4.450000', '2.000000', '3.170000', '3.490000', '4.760000', '4.080000', '3.120000', '4.450000', '3.690000', '5.230000', '4.020000', '3.890000', '3.720000', '1.810000', '1.280000']",,,,,
7,,,,2023-07-25,18630091.0,1398695.0,33097591.0,56.29
8,"['150001144', '148695965', '122085549', '116800869', '105904172', '134013830', '137465578', '138836691', '127209002', '125961266', '131637788', '118266052', '116364530', '113442490', '108487434', '100109744', '111534852', '101835976', '104360202', '98918241', '100011800', '102882941', '89152605']","['19705749', '20290947', '14378134', '13319845', '18627601', '17671690', '48170947', '27747225', '28580783', '62942093', '41570955', '33924264', '24449751', '27793689', '34743768', '22508104', '30217469', '19486818', '25956941', '25448389', '26913320', '56850037', '69383841']","['7.610000', '7.330000', '8.490000', '8.770000', '5.690000', '7.580000', '2.850000', '5.000000', '4.450000', '2.000000', '3.170000', '3.490000', '4.760000', '4.080000', '3.120000', '4.450000', '3.690000', '5.230000', '4.020000', '3.890000', '3.720000', '1.810000', '1.280000']",,,,,
9,,,,2023-07-24,73453828.0,2599434.0,136723972.0,53.72
10,"['150001144', '148695965', '122085549', '116800869', '105904172', '134013830', '137465578', '138836691', '127209002', '125961266', '131637788', '118266052', '116364530', '113442490', '108487434', '100109744', '111534852', '101835976', '104360202', '98918241', '100011800', '102882941', '89152605']","['19705749', '20290947', '14378134', '13319845', '18627601', '17671690', '48170947', '27747225', '28580783', '62942093', '41570955', '33924264', '24449751', '27793689', '34743768', '22508104', '30217469', '19486818', '25956941', '25448389', '26913320', '56850037', '69383841']","['7.610000', '7.330000', '8.490000', '8.770000', '5.690000', '7.580000', '2.850000', '5.000000', '4.450000', '2.000000', '3.170000', '3.490000', '4.760000', '4.080000', '3.120000', '4.450000', '3.690000', '5.230000', '4.020000', '3.890000', '3.720000', '1.810000', '1.280000']",,,,,
11,,,,2023-07-21,6257026.0,194155.0,11146034.0,56.14
12,"['150001144', '148695965', '122085549', '116800869', '105904172', '134013830', '137465578', '138836691', '127209002', '125961266', '131637788', '118266052', '116364530', '113442490', '108487434', '100109744', '111534852', '101835976', '104360202', '98918241', '100011800', '102882941', '89152605']","['19705749', '20290947', '14378134', '13319845', '18627601', '17671690', '48170947', '27747225', '28580783', '62942093', '41570955', '33924264', '24449751', '27793689', '34743768', '22508104', '30217469', '19486818', '25956941', '25448389', '26913320', '56850037', '69383841']","['7.610000', '7.330000', '8.490000', '8.770000', '5.690000', '7.580000', '2.850000', '5.000000', '4.450000', '2.000000', '3.170000', '3.490000', '4.760000', '4.080000', '3.120000', '4.450000', '3.690000', '5.230000', '4.020000', '3.890000', '3.720000', '1.810000', '1.280000']",,,,,
13,,,,2023-07-20,7918791.0,245231.0,11667141.0,67.87
14,"['150001144', '148695965', '122085549', '116800869', '105904172', '134013830', '137465578', '138836691', '127209002', '125961266', '131637788', '118266052', '116364530', '113442490', '108487434', '100109744', '111534852', '101835976', '104360202', '98918241', '100011800', '102882941', '89152605']","['19705749', '20290947', '14378134', '13319845', '18627601', '17671690', '48170947', '27747225', '28580783', '62942093', '41570955', '33924264', '24449751', '27793689', '34743768', '22508104', '30217469', '19486818', '25956941', '25448389', '26913320', '56850037', '69383841']","['7.610000', '7.330000', '8.490000', '8.770000', '5.690000', '7.580000', '2.850000', '5.000000', '4.450000', '2.000000', '3.170000', '3.490000', '4.760000', '4.080000', '3.120000', '4.450000', '3.690000', '5.230000', '4.020000', '3.890000', '3.720000', '1.810000', '1.280000']",,,,,
15,,,,2023-07-19,5887078.0,332937.0,10753863.0,54.74
16,"['150001144', '148695965', '122085549', '116800869', '105904172', '134013830', '137465578', '138836691', '127209002', '125961266', '131637788', '118266052', '116364530', '113442490', '108487434', '100109744', '111534852', '101835976', '104360202', '98918241', '100011800', '102882941', '89152605']","['19705749', '20290947', '14378134', '13319845', '18627601', '17671690', '48170947', '27747225', '28580783', '62942093', '41570955', '33924264', '24449751', '27793689', '34743768', '22508104', '30217469', '19486818', '25956941', '25448389', '26913320', '56850037', '69383841']","['7.610000', '7.330000', '8.490000', '8.770000', '5.690000', '7.580000', '2.850000', '5.000000', '4.450000', '2.000000', '3.170000', '3.490000', '4.760000', '4.080000', '3.120000', '4.450000', '3.690000', '5.230000', '4.020000', '3.890000', '3.720000', '1.810000', '1.280000']",,,,,
17,,,,2023-07-18,4591797.0,366571.0,8117446.0,56.57
18,"['150001144', '148695965', '122085549', '116800869', '105904172', '134013830', '137465578', '138836691', '127209002', '125961266', '131637788', '118266052', '116364530', '113442490', '108487434', '100109744', '111534852', '101835976', '104360202', '98918241', '100011800', '102882941', '89152605']","['19705749', '20290947', '14378134', '13319845', '18627601', '17671690', '48170947', '27747225', '28580783', '62942093', '41570955', '33924264', '24449751', '27793689', '34743768', '22508104', '30217469', '19486818', '25956941', '25448389', '26913320', '56850037', '69383841']","['7.610000', '7.330000', '8.490000', '8.770000', '5.690000', '7.580000', '2.850000', '5.000000', '4.450000', '2.000000', '3.170000', '3.490000', '4.760000', '4.080000', '3.120000', '4.450000', '3.690000', '5.230000', '4.020000', '3.890000', '3.720000', '1.810000', '1.280000']",,,,,
19,,,,2023-07-17,3115665.0,203119.0,5740573.0,54.27
20,"['150001144', '148695965', '122085549', '116800869', '105904172', '134013830', '137465578', '138836691', '127209002', '125961266', '131637788', '118266052', '116364530', '113442490', '108487434', '100109744', '111534852', '101835976', '104360202', '98918241', '100011800', '102882941', '89152605']","['19705749', '20290947', '14378134', '13319845', '18627601', '17671690', '48170947', '27747225', '28580783', '62942093', '41570955', '33924264', '24449751', '27793689', '34743768', '22508104', '30217469', '19486818', '25956941', '25448389', '26913320', '56850037', '69383841']","['7.610000', '7.330000', '8.490000', '8.770000', '5.690000', '7.580000', '2.850000', '5.000000', '4.450000', '2.000000', '3.170000', '3.490000', '4.760000', '4.080000', '3.120000', '4.450000', '3.690000', '5.230000', '4.020000', '3.890000', '3.720000', '1.810000', '1.280000']",,,,,
21,,,,2023-07-14,5446242.0,140737.0,8871134.0,61.39
22,"['150001144', '148695965', '122085549', '116800869', '105904172', '134013830', '137465578', '138836691', '127209002', '125961266', '131637788', '118266052', '116364530', '113442490', '108487434', '100109744', '111534852', '101835976', '104360202', '98918241', '100011800', '102882941', '89152605']","['19705749', '20290947', '14378134', '13319845', '18627601', '17671690', '48170947', '27747225', '28580783', '62942093', '41570955', '33924264', '24449751', '27793689', '34743768', '22508104', '30217469', '19486818', '25956941', '25448389', '26913320', '56850037', '69383841']","['7.610000', '7.330000', '8.490000', '8.770000', '5.690000', '7.580000', '2.850000', '5.000000', '4.450000', '2.000000', '3.170000', '3.490000', '4.760000', '4.080000', '3.120000', '4.450000', '3.690000', '5.230000', '4.020000', '3.890000', '3.720000', '1.810000', '1.280000']",,,,,
23,,,,2023-07-13,4849252.0,111866.0,10995682.0,44.1
24,"['150001144', '148695965', '122085549', '116800869', '105904172', '134013830', '137465578', '138836691', '127209002', '125961266', '131637788', '118266052', '116364530', '113442490', '108487434', '100109744', '111534852', '101835976', '104360202', '98918241', '100011800', '102882941', '89152605']","['19705749', '20290947', '14378134', '13319845', '18627601', '17671690', '48170947', '27747225', '28580783', '62942093', '41570955', '33924264', '24449751', '27793689', '34743768', '22508104', '30217469', '19486818', '25956941', '25448389', '26913320', '56850037', '69383841']","['7.610000', '7.330000', '8.490000', '8.770000', '5.690000', '7.580000', '2.850000', '5.000000', '4.450000', '2.000000', '3.170000', '3.490000', '4.760000', '4.080000', '3.120000', '4.450000', '3.690000', '5.230000', '4.020000', '3.890000', '3.720000', '1.810000', '1.280000']",,,,,
25,,,,2023-07-12,5840692.0,111908.0,10407686.0,56.12
26,"['150001144', '148695965', '122085549', '116800869', '105904172', '134013830', '137465578', '138836691', '127209002', '125961266', '131637788', '118266052', '116364530', '113442490', '108487434', '100109744', '111534852', '101835976', '104360202', '98918241', '100011800', '102882941', '89152605']","['19705749', '20290947', '14378134', '13319845', '18627601', '17671690', '48170947', '27747225', '28580783', '62942093', '41570955', '33924264', '24449751', '27793689', '34743768', '22508104', '30217469', '19486818', '25956941', '25448389', '26913320', '56850037', '69383841']","['7.610000', '7.330000', '8.490000', '8.770000', '5.690000', '7.580000', '2.850000', '5.000000', '4.450000', '2.000000', '3.170000', '3.490000', '4.760000', '4.080000', '3.120000', '4.450000', '3.690000', '5.230000', '4.020000', '3.890000', '3.720000', '1.810000', '1.280000']",,,,,
27,,,,2023-07-11,5240812.0,135260.0,11026944.0,47.53
28,"['150001144', '148695965', '122085549', '116800869', '105904172', '134013830', '137465578', '138836691', '127209002', '125961266', '131637788', '118266052', '116364530', '113442490', '108487434', '100109744', '111534852', '101835976', '104360202', '98918241', '100011800', '102882941', '89152605']","['19705749', '20290947', '14378134', '13319845', '18627601', '17671690', '48170947', '27747225', '28580783', '62942093', '41570955', '33924264', '24449751', '27793689', '34743768', '22508104', '30217469', '19486818', '25956941', '25448389', '26913320', '56850037', '69383841']","['7.610000', '7.330000', '8.490000', '8.770000', '5.690000', '7.580000', '2.850000', '5.000000', '4.450000', '2.000000', '3.170000', '3.490000', '4.760000', '4.080000', '3.120000', '4.450000', '3.690000', '5.230000', '4.020000', '3.890000', '3.720000', '1.810000', '1.280000']",,,,,
29,,,,2023-07-10,4175044.0,182251.0,9421331.0,44.31
30,"['150001144', '148695965', '122085549', '116800869', '105904172', '134013830', '137465578', '138836691', '127209002', '125961266', '131637788', '118266052', '116364530', '113442490', '108487434', '100109744', '111534852', '101835976', '104360202', '98918241', '100011800', '102882941', '89152605']","['19705749', '20290947', '14378134', '13319845', '18627601', '17671690', '48170947', '27747225', '28580783', '62942093', '41570955', '33924264', '24449751', '27793689', '34743768', '22508104', '30217469', '19486818', '25956941', '25448389', '26913320', '56850037', '69383841']","['7.610000', '7.330000', '8.490000', '8.770000', '5.690000', '7.580000', '2.850000', '5.000000', '4.450000', '2.000000', '3.170000', '3.490000', '4.760000', '4.080000', '3.120000', '4.450000', '3.690000', '5.230000', '4.020000', '3.890000', '3.720000', '1.810000', '1.280000']",,,,,
31,,,,2023-07-07,4646667.0,239456.0,7822327.0,59.4
32,"['150001144', '148695965', '122085549', '116800869', '105904172', '134013830', '137465578', '138836691', '127209002', '125961266', '131637788', '118266052', '116364530', '113442490', '108487434', '100109744', '111534852', '101835976', '104360202', '98918241', '100011800', '102882941', '89152605']","['19705749', '20290947', '14378134', '13319845', '18627601', '17671690', '48170947', '27747225', '28580783', '62942093', '41570955', '33924264', '24449751', '27793689', '34743768', '22508104', '30217469', '19486818', '25956941', '25448389', '26913320', '56850037', '69383841']","['7.610000', '7.330000', '8.490000', '8.770000', '5.690000', '7.580000', '2.850000', '5.000000', '4.450000', '2.000000', '3.170000', '3.490000', '4.760000', '4.080000', '3.120000', '4.450000', '3.690000', '5.230000', '4.020000', '3.890000', '3.720000', '1.810000', '1.280000']",,,,,
33,,,,2023-07-06,8527823.0,168851.0,12186852.0,69.98
34,"['150001144', '148695965', '122085549', '116800869', '105904172', '134013830', '137465578', '138836691', '127209002', '125961266', '131637788', '118266052', '116364530', '113442490', '108487434', '100109744', '111534852', '101835976', '104360202', '98918241', '100011800', '102882941', '89152605']","['19705749', '20290947', '14378134', '13319845', '18627601', '17671690', '48170947', '27747225', '28580783', '62942093', '41570955', '33924264', '24449751', '27793689', '34743768', '22508104', '30217469', '19486818', '25956941', '25448389', '26913320', '56850037', '69383841']","['7.610000', '7.330000', '8.490000', '8.770000', '5.690000', '7.580000', '2.850000', '5.000000', '4.450000', '2.000000', '3.170000', '3.490000', '4.760000', '4.080000', '3.120000', '4.450000', '3.690000', '5.230000', '4.020000', '3.890000', '3.720000', '1.810000', '1.280000']",,,,,
35,,,,2023-07-05,3571593.0,147971.0,11423460.0,31.27
36,"['150001144', '148695965', '122085549', '116800869', '105904172', '134013830', '137465578', '138836691', '127209002', '125961266', '131637788', '118266052', '116364530', '113442490', '108487434', '100109744', '111534852', '101835976', '104360202', '98918241', '100011800', '102882941', '89152605']","['19705749', '20290947', '14378134', '13319845', '18627601', '17671690', '48170947', '27747225', '28580783', '62942093', '41570955', '33924264', '24449751', '27793689', '34743768', '22508104', '30217469', '19486818', '25956941', '25448389', '26913320', '56850037', '69383841']","['7.610000', '7.330000', '8.490000', '8.770000', '5.690000', '7.580000', '2.850000', '5.000000', '4.450000', '2.000000', '3.170000', '3.490000', '4.760000', '4.080000', '3.120000', '4.450000', '3.690000', '5.230000', '4.020000', '3.890000', '3.720000', '1.810000', '1.280000']",,,,,
37,,,,2023-07-03,2946656.0,343819.0,8198124.0,35.94
38,"['150001144', '148695965', '122085549', '116800869', '105904172', '134013830', '137465578', '138836691', '127209002', '125961266', '131637788', '118266052', '116364530', '113442490', '108487434', '100109744', '111534852', '101835976', '104360202', '98918241', '100011800', '102882941', '89152605']","['19705749', '20290947', '14378134', '13319845', '18627601', '17671690', '48170947', '27747225', '28580783', '62942093', '41570955', '33924264', '24449751', '27793689', '34743768', '22508104', '30217469', '19486818', '25956941', '25448389', '26913320', '56850037', '69383841']","['7.610000', '7.330000', '8.490000', '8.770000', '5.690000', '7.580000', '2.850000', '5.000000', '4.450000', '2.000000', '3.170000', '3.490000', '4.760000', '4.080000', '3.120000', '4.450000', '3.690000', '5.230000', '4.020000', '3.890000', '3.720000', '1.810000', '1.280000']",,,,,
39,,,,2023-06-30,3050665.0,167094.0,7714123.0,39.55
